ஆ|	A:A|
ச|ர:்|ல|ா|	S:a|r|l|a|
ச|ர:்|ள|ா|	S:a|r|l|a|
ச|ர|்:ய:ு|	S:a|r|y:u|
ச|ட:்|ன|ா|	S:a|t|n|a|
ச|த|்:ய:ா|	S:a|t|y:a|
ச:ௌ|ப|ல:்|	S:a:u|b:a|l|
ச|ெ:ள|த:ா|	S:a|u|d:a:a|
ச:ி|ம|ஸ:்|	S:e:a|m:u|s|
ச:ி|ஃ:ப:்|	S:e:i|f|
ஷ|த|ா|ப:்|	S:h|a:a:d|a:a|b|
ஷ|ப|ா|ப:்|	S:h:a|b|a|b|
ஷ|ப|ீ|ஹ:ா|	s:h:a|b|e:e|h:a:h|
ஷ|ப:்|ர|ி|	S:h:a|b|r|i|
ச|ஹ|ா|ன|ி|	S:h:a|h:a|a|n|e|
ஷ|ஹ|ீ|ர:்|	S:h:a|h|e:e|r|
ஷ|க:ி|ர:்|	S:h|a:k:i|r|
ஷ|க:ு|ன:்|	S:h|a:k:u|n|
ஷ|க:ு|ன|ி|	S:h|a:k:u|n|i|
ஷ|ல|ா|க|ா|	S:h:a|l:a|a|k:a|a|
ஷ|ம:ீ|ம:்|	S:h:a|m:e:e|m|
ஷ|ம|ெ:ல:்|	S:h:a|m|e:l|
ஷ|ம|ி|த|ா|	S:h:a|m|i|t|a|
ஷ|ம:ூ|த:ா|	S:h:a|m:o:o|d:a:h|
ஷ|க:ீ|க:ா|	S:h:a|q:e:e|q:a:h|
ஷ|ர|ா|ர|ா|	S:h:a|r|a|r|a|
ஷ|ர:ீ|க:்|	S:h:a|r:e:e|k|
ஷ|ர|ி|க|ா|	S:h:a|r|i|k|a|
ஷ|ர|ி|க:்|	S:h:a|r|i|q|
ஷ|ர|ி|க:ா|	S:h:a|r|i|q:a:h|
ஷ|ர:்|ல|ா|	S:h:a|r|l|a|
ச|ர:்|ம|ா|	S|h:a:r|m|a|
ஷ|த:ா|ய:ு|	S:h|a:t:a|a:y:u|
ஷ|த:்|ர|ு|	S:h:a|t|r|u|
ஷ|ீ:ட|ல|ா|	S:h:e|e:t:a|l:a|a|
ஷ:ி|ஃ:ப|ா|	S:h:i|f|a|
ச:ோ|ப|ன|ா|	S:h:o|b:h:a|n|a|
ஷ|ர|வ|ன|ா|	S:h|r:a|v:a|n|a|
ஷ|ர|வ|ன|ி|	S:h|r:a|v:a|n|i|
ச|ி|ப|ன|ி|	S|i|b:a|n|i|
ச|ி|ன|ன:்|	S|i|n:a|n|
ச|ி|வ|ன:்|	S|i|w:a|n|
ச|ோ|ம|ன:்|	S|o|m:a|n|
ச|ோ|ன|ல:்|	s|o|n:a|l|
ச:ூ|ர|த:்|	S:o:o|r:a|t|
ஸ|்|ட:ன:்|	S|t|a:n|
ச|ு|வ|த:்|	S|u|':a|d|
ஷ|ு|க|ர:்|	s|u|g:a|r|
ச|ு|ஜ|ல|ா|	S|u|j:a|l|a|
ச|ு|ஜ|ய:ா|	S|u|j|a:y:a|
ச|ு|ர|ஜ:்|	S|u|r:a|j|
ச|ு|ர|ம:ா|	S|u|r|a:m:a|
ச|ூ|ர:்|ய|	S|u|r|y:a|
ச|ு|ஸ|ன|்|	S|u|s:a|n|e|
ச|ு|ஷ|ம:ா|	S|u|s:h|a:m:a|
ச|ு|த|ப|ா|	S|u|t:a|p|a|
த|ப:்|ல|ா|	t:a|b|l|a|
த|ஹ|ி|ன|ா|	t:a|h|i|n|a|
த|க:்|ல|ே|	T:a|k|l|e|
த|ல|ா|ல:்|	T:a|l|a|l|
ட:ம|ா|ஸ:்|	T:a:m|a|s|
ட:ம|ா|த:ா|	T:a:m|a|t:h:a|
த:ம|ி:ழ:்|	T:a:m|i:l|
த|ன|ி|க|ா|	T:a|n|i|k|a|
த|ன|ு|ஜ|ா|	T:a|n|u|j|a|
ட|ப|ா|ன:்|	T:a|p|a|n|
த:ப|ா|ஸ|ி|	T:a:p|a|s|i|
த:ப|ே|ஷ|்|	T:a:p|e|s|h|
த:ப|்|த:ி|	T:a:p|t|i|
த|ா|ர|க:்|	T|a|r:a|k|
த:ர|ு|ண|ா|	T:a:r|u|n|a|
த:ர|ு|ண|ி|	T:a:r|u|n|i|
ட:ா|ர|ஸ:்|	T:a:u|r:u|s|
ட:வ|ி|த|ா|	T:a:v|i|t|a|
ட|ீ|க|ல|்|	T|e|g|e|l|
த|ே|ஜ|ல:்|	T|e|j:a|l|
த|ல:ா|ப:ா|	T:h:a|':l:a|b:a:h|
த|ல|ா|ஸ|ா|	T:h:a|l|a|s:s|a|
த|ம|ா|ர:்|	T:h:a|m|a|r|
த|ம|ீ|ன:ா|	T:h:a|m|i|n:a:h|
த:ா|ப|ர:்|	T:h:a|p:a|r|
த|த:்|த:ா|	T:h:a|t|t:h:a|
த|வ|ா|ப:்|	t:h:a|w|a|b|
த|ய|ே|ர:்|	T:h:a|y|e|r|
த:ோ|ச|ர:்|	T:h:o|s:a|r|
த:ு|ம|ல:்|	T:h:u|m|l|
ட:ி:ய|ர|ா|	T:i|e:r:r|a|
த|ி|ல|க:்|	T|i|l:a|k|
ட|ை|ட|ஸ:்|	T|i|t:u|s|
த|ோ|ர|ன:்|	T|o|r:a|n|
ட:ல|்:ஸ|ா|	T:u:c|s|o:n|
த|ு|க|ல:்|	t|u|g:a|l|
த|ு|ள|ச|ி|	T|u|l|s|i|
ட|ர|்:ல|ே|	T|u:r|l|e:y|
ட|ை|ம|ன:்|	T|y|m:o|n|
உ|ப|ே|ஜ|ா|	u|b|e|j|a|
உ|த|ி|ய|ா|	U|d|i|y|a|
உ|க|ா|ன|ி|	U|g:a|a|n|i|
உ|ஜ|ா|ல|ா|	U|j:a|a|l:a|a|
உ|ஜ|ா|ஸ:்|	U|j|a|s|
ஊ:ல:்|க|ா|	U:l|k|a|
உ|ம:ீ|த:்|	U|m:e:e|d|
உ|ம|ே|ஷ|்|	U|m|e|s|h|
உ|ன:்|ய|ோ|	U|n|y|o|
உ|க:்|ப:ா|	U|q|b:a:h|
ய:ூ|ர|ன:்|	U|r:a|n|
உ:ர:ு|த|ு|	U:r|d|u|
உ|ர:்|ம|ி|	U|r|m|i|
உ|ர:ூ|ஜ:்|	U|r:o:o|j|
உ|ச|ா|ம|ா|	U|s|a|m:a|h|
உ|ஷ:ா|ஷ:ி|	U|s:h:a|s:h:i|
உ:ஹ|ா:ர|ி|	U:w:h|a:r:r|i:e|
உ|ஸ:்|ம|ா|	U|z|m|a|
வ|ா|ச|வ:ி|	V:a|a|s:a|v:e:y|
வ:ை|ப|வ:்|	V:a:i|b|h:a:v|
வ|ல|ே|ர|ி|	V:a:l|l|e|r|i:e|
வ|ல|ோ|ர|ா|	V:a|l|o|r|a|
வ|ன|்:ஸ:்|	V:a|n|c:e|
வ|ன|ி|க:்|	V:a|n|i|g|
வ|ர:்|த:ா|	V:a|r|d:h:a|
வ|ர|ி|த|ா|	V:a|r|i|t:a|a|
வ|ர:்|ண|ா|	V:a|r|n|a|
வ|ர|ு|ண|ா|	V:a|r|u|n|a|
வ|ர|ு|ண|ி|	V:a|r|u|n|i|
வ|த:்|ஸ:்|	v:a|t|s|
வ|த:்|ஸ|ா|	V:a|t|s|a|
வ|ே|த|க|ி|	V|e|d:a|g|y|
வ|ீ|ன|ஸ:்|	V|e|n:u|s|
வ|ே|வ|ய:்|	V|e|v:a|y|
வ|ி|ஜ|ய:ா|	V|i|j|a:y:a|
வ|ி|ம|ல|ா|	V|i|m:a|l:a|a|
வ|ி|ன|ய:ா|	V|i|n|a:y:a|
வ|ி|ர|ஜ:்|	V|i|r:a|j|
வ|ி|ஷ|ய:ா|	V|i|s:h|a:y:a|
வ|ஹ|ீ|த|ா|	W:a|h|e:e|d|a|
வ|ஹ|ி|ப:ா|	W:a|h|i|b:a:h|
வ|ஹ|ி|த:்|	W:a|h|i|d|
வ|ஜ|ஹ|த:்|	W:a|j:a|h:a|t|
வ|ல|ி|ய:ா|	W:a|l|i|y:a:h|
வ|ர|ி|த|ா|	W:a|r|i|t:h:a|h|
வ:ஸ|ி|ல:ா|	W:a:s|i|l:a:h|
வ:ஸ|ி|ம|ா|	W:a:s|i|m:a|h|
வ|ை:ய|த:்|	W:h|y|e:t:h|
உ:ல|ஃ:ப:்|	W:o:l|f|
உ|ட:்|ஸ:்|	w:o:o|d|s|
உ:ட|்:ட:ி|	W:o:o|d:y|
வ|ி|ய|த|்|	W|y|e|t|h|
வ|ய:்|ல:ி|	W|y|l:i:e|
ய|ா|ஜ|க:்|	Y:a|a|j:a|k|
ய|ா|ஹ:்|ய|	Y|a|h|y:a|
ய|ம:ீ|ன:்|	Y:a|m:e:e|n|
ய:ம|ி|ன:ா|	Y:a:m|i|n:a:h|
ய:ம|ு|ன|ா|	Y:a:m|u|n|a|
ய|ச:ோ|த|ா|	Y:a|s:h:o|d|a|
ய|ச:ோ|த:ா|	Y:a|s:h:o|d:h:a|
ய|த:ீ|ம:்|	Y:a|t:e:e|m|
ய:ௌ|வ|ன|ி|	Y:a:u|v:a|n|i|
எ:ல|ே|ன|ா|	Y:e:l|e|n|a|
ய|ோ|ஜ|ன|ா|	Y|o|j:a|n|a|
ய|ு|ச|ர:்|	y|u|s|r|
ய|ு|வ|த:ி|	Y|u|v|a:t:i|
ஜ:க|ி|ர|ி|	Z:A:G|I|R|I|
ஜ:ஹ|ீ|ர:ா|	Z:a:h|e:e|r:a:h|
ஜ:ம|ீ|ல:ா|	Z:a:m|e:e|l:a:h|
ஜ:ர|ீ|ன:ா|	Z:a:r|e:e|n:a:h|
ஜ:ர|ீ|ன|்|	Z:a:r|i|n|e|
ஜ:ே|ன|ப:்|	Z:a:y|n:a|b|
ச|ய|ி|த:்|	S|a|e|d|
ஹ|வ:ா|ஸ:்|	H|a:v:a|s|
க|ோ|ர|ல:்|	c|o|r:a|l|
ஸ:ீ|	s:e:a|
ஹ|ா|ர:்|வ|ஸ:்|ட:்|	h|a|r|v:e|s|t|
அ|ன:்|க|்|	A|n|k|h|
ப|ட:்|ல|ே|	b:a|d|l|e|
இ|ர|ா|ன:்|	I|r|a|n|
ஆ|ப|ா|ஸ:்|	a:a|p|a|s|
ஆ|ஸ|ா|த|ி|	A|z|a|d|i|
ப|ம:்|ப|ை|	B:a|m|b|a:i|
ப|ச|ே|ர|ே|	b:a|s|e|r|e|
ஹ:ூ|ர:்|	h:o:o|r|
ச|ம|ே|ல|ி|	c:h:a|m|e|l|i|
த|ர|்|த:ி|	D:h:a|r|t|i|
ஜ:வ|ா|ன|ி|	J:a:w|a|n|i|
க|ு|ண|ா|	g|u|n:a|h|
ம:ௌ|த:்|	m:a:u|t|
ச|ன:்|ஜ|்|	S:a|n|j|h|
க:ீ|த:்|	G:e:e|t|
ஷ:ா|ஹ|ர:்|	S:h:a|h:a|r|
ஹ:ம|ே|ன:்|	H:a:m|e|n|
ச|ல|்|த:ி|	C:h:a|l|t|i|
க|ா|ட|ி|	G:a|a|d|i|
க|ோ|த:்|	G|o|d|
ஜ|ி:ந:்|த|க|ி|	Z|i:n|d:a|g|i|
ப:ா|ர|த:்|	B:h:a|r:a|t|
ஹ|ல|ா|ல:்|	h:a|l|a|l|
க|ம:ா|ய:்|	K|a:m:a|i|
ஈ:ன|்:ட:்|	e:e:n|t|
ப|த:ா|ர:்|	P:a:t|t:h:a|r|
அ|ன:்|ஸ:ூ|	A|n|s:o:o|
ஆ|ஷ|்:ல|ி|	A|s:h|l|e:y|
ம|ஹ|ர|ா|ஜ|ா|	M:a|h:a|r|a|j|a|
ப|ி|ல:்|ல|ி|	B|i|l|l|i|
த|ா|ஹ|ர:்|	D|a|h:a|r|
ப|ா|ல|ா|ஜ|ி|	B|a|l|a|j|i|
க|ோ|ம|த|ி|	G|o|m|t|i|
ஹ|ச|ீ|ன|ோ|	H:a|s|e:e|n|o|
த|ே|வ|்:த:ா|	D|e|v|t:a|
ஜ|ி|ஸ:ம:்|	j|i|s:m|
ர|ி|ஷ|்|ட|ா|	r|i|s:h|t|a|a|
ல:க|ா:வ:ோ|	L:a:g|o:a|
ப|ி|க:்:ஸ|ி|	P|e:i|x|e|
ந:ஸ|ா|ர:்|	N:a:z|a|r|
ஷ:ி|க|ா|ர:்|	S:h:i|k|a|r|
ச|ா|ஜ|ன:்|	S:a|a|j:a|n|
ச|ா|ஹ|ே|ள|ி|	S|a|h|e|l|i|
ஸ|ச|ா|ய:ி|	s:a|c:h|a|i|
த|ா|க|ா|த:்|	t|a|q|a|t|
ச|ஜ|ீ|வ|ா|	S:a|j|e:e|w|a|
வ|க:்|த:்|	W:a|q|t|
த|ீ|வ|ா|ர:்|	D|e:e|w|a|r|
ஸ:ம|ா|ன|ெ|	Z:a:m|a|n|e|
ட|ி|க:ா|ன|ா|	D|i|k:h:a|n|a|
ம|ம|்:த:ா|	M:a|m|t:a|
ச|ா|வ:ு|ன:்|	C:h:h|a|o|n|
ஆ:த|ா|த:்|	A:a:d|a|t|
ம|ஜ:்|ப:ூ|ர:்|	M:a|j|b:o:o|r|
ச|ந:்|த|ா|ன:்|	S:a|n|t:a|a|n|
ஸ|ச:்:ச|ே|	S:a|c:h|c:h:e|
ப|ோ|ல:்|ப|ல|ா|	B|o|l|b:a|l|a|
ல:ெ:ய|்|ர|ெ:ன:்|	L:e|h|r|e:n|
ம|த:ி|ன|ெ|	M|a:d:i|n|e|
க|ா|ல|ி|ய:ா|ன:்|	g|a|l:i|y|a|n|
ஷ:ா|ஹ:்:ஸ|ா|த|ே|	S:h:a|h:z|a|d|e|
வ|ா|த|ன:்|	W|a|t:a|n|
த|ா|க|்:வ:ா|ல|ே|	r|a|k:h|w:a|l|e|
அ|ல|ி:ய:ா|	a|l|i:a|
அ|ம:ீ|ர:்|	A|m:e:e|r|
ஸ:த|ி|	Z:a:d|i|
அ|ன|்|க:ி|	A|n|o|k:h:i|
அ|ட|ா|	A|D|A|
ப|ா:ர:த|ி|	B:h:a|r:t|i|
ஏ|ர:்|	a:i|r|
ட|ே|ர|ன:்|	D|a|r|r:e:n|
ச|ம:ி|	S:a|m:m:y|
எ|ம|ி|ல|ி|	E|m|e|l|e|
அ|ப|ோ|	a|b|o|
ஃ:ப:ெ|ட:்|	f:e|d|
ஜ|ீ|வ|ன:்|	J|e:e|v:a|n|
ந|ய:ா|	N:a|i:y:a|
ச|ஜ|ி|த:்|	S:a|j|i|d|
ம|ர|்:த:ே|	M:a|r|t:e|
த|ம:்|	d:a|m|
த|க:்|	t:a|k|
ஆ|ன:்|ச:ூ|	A:a|n|s:o:o|
ப|ன:்|	b:a|n|
க|ய|ே|	G:a|y|e|
அ|ன:்|ச:ூ|	A|n|s:o:o|
இ|ன|ா|ம:்|	I|n|a|m|
த|ஸ:்|	d:u|s|
ஹ|ஸ|ர:்|	H:a|z:a|r|
ப|ர|ா|ய|ெ|	P:a|r|a|y|e|
ப|ஸ:்|	b:a|s|
ச|ா:ப:்|	S|A:B|
ர|ி:வ|ர:்|	R|i:v:e|r|
ப|ே|ம|ி|ல|ி|	f|a|m|i|l|y|
அ|க|ே|ல|ே|	A|k|e|l|e|
க|ஹ|ே|	K:a|h|e|
ப:ி:ர|ே:ய|ர:்|	p:r|a:y:e|r|
ச|ங:்:க|ர:்|ஷ|்|	S:a|n:g|h:u:r|s|h|
ஜ|ோ|ஹ|ர:்|	J|o|h:a|r|
க|ா|ஷ|்:ம|ி|ர:்|	K|a|s:h|m|i|r|
க|ல|ா|த:்|	Q:a|l|a|t|
ப|ஹ:்|ர:ெ:ய|ி|ன:்|	B:a|h|r:a|i|n|
அ:ல:்|-|த|ி|ன:்|	a:l|-|D|i|n|
ர|ு|ம|ி|	R|u|m|i|
ஆ|க:்|ர|ி|	A|a:k:h|r|i|
ச|ீ|க|்|	c:h|e:e|k|h|
க|ோ|ல|ி|	G|o|l|i|
க:ா|த:்|	k:h:a|t|
ஆ|ல|்:ஹ|ா|	A:A|L|H|A|
உ:த|ல:்|	U:d:a|l|
அ|த:ி|ஸ:்|	A|d:d:i|s|
அ|ப|ே|ப|	A|b|a|b:a|
ர|ே|க:ா|	R|e|k:h:a|
அ|க|ோ|ர|ி|	A|g|o|r|i|
க:ா|ஸ:்|	K:h:a|s|
ஆ|க:்|ர|ா|	A|g|r|a|
ஆ|க|ா|ஷ|்|	A|k|a|s|h|
ப|ா|ர|ி|	p|a|r|i|
அ|ந:்:த|ா|	A|n:d|h:a|
அ|ன|ோ|க:ி|	A|n|o|k:h:i|
அ|ப:்|ப|ு|	A|p|p|u|
ஷ|ோ:ர|ி|	S:h|o:u:r|i:e|
ஆ|ஷ|்:வ:ா|	A|s:h|w:a|
க:ோ|ஷ|்|	G:h:o|s|h|
ஆ|ஸ|ா|த:்|	A|z|a|d|
ப|க|ு|ல|ா|	B:a|g|u|l|a|
ப|க|த:்|	B:h:a|g:a|t|
ப|வ:ா|ன|ி|	B|a:w:a|n|i|
க:ே|ர|ா|	K:h:e|r|a|
ப|க:்|த|ி|	B:h:a|k|t|i|
க|ு|ப:்|	K|u|p|
ப|வ|ா|ன|ி|	B|h:a:v|a|n|i|
ஷ|ோ|ம|்|	s:h|o|m|e|
ப|ி|ர|ஜ:்|	B|i|r:a|j|
ப|ட:்:ட|ி|	b:u|d:d|y|
ஹ|ோ|ல:ி|	H|o|l:l:y|
ப|ர|்:ம|ா|	B|u:r|m|a:h|
ச|ம|ி|ல|ா|	C:h:a|m|i|l|a|
க:ம|க:ே|	G:a:m|a:g:e|
ச|ண:்:ட|ி|	C:h:a|n:d|i|
ச|ஹ:ை|ல|ா|	C:h|h:a:i|l|a|
ச|வ:ு|க|்|	C:h|u|c|k|
ட:ல|ா|ய:்|	D:a:l|a|i|
ல|ா|ம|ா|	L|a|m|a|
ட|ி|ப|ங:்|	D|i|b|a:n:g|
வ:ா|ல:ி|	V:a:l|l:e:y|
க|ட:்|ர|ா|	G:a|d|r|a|
க|ர|ி|ப:்|	G:a|r|i:e|p|
ஐ:ய|ா|ன:்|	I|a|n|
ஹ:ே|ல|ி|	H:e:a|l|y|
இ|ண:்:ட|ோ|	I|n:d|o|
ஜ:க|்:த:ே|	J:a:g|t:e|
ஜ:ம|ா|ய:்|	J:a:m|a|i|
ஜ|ா|ன|ட:்|	J|a|n:e|t|
ஜ|ம:்|ப:்|	j:u|m|p|
ர|ோ|ப|்|	r|o|p|e|
க|ப|ு|ல|ி|	K:a|b|u|l|i|
க|ச:்:ச|ே|	K:a|c:h|c:h:e|
த|ா|க:ே|	D:h|a|a:g:e|
க|ச|்|ச|ி|	K:a|c|h|c:h|i|
க|ர|ி|ப|ா|	K:a|r|i|b|a|
ல|ஹ|ெ|ர|ி|	L:a|h|e|r|i|
ம|ங:்:க|ல|	M:a|n:g|l:a|
ம|ம:்|ம|ி|	m:u|m|m|y|
ட|ா|ட:ி|	D|a|d:d:y|
க|ோ|ர|ி|	G:h:a|u|r|i|
ந|க|்:ர:ெ|	N:a|k:h|r:e|
வ|ா|ல|ி|	W|a|l|i|
ந|க:்|ல|ி|	N:a|q|l|i|
ச|ப:்|ஸ:்|	S:a|b|z|
ப:ா|க:்|	B|A:A:G|
ஸ|ச|்|ச|ா|	S:a|c|h|c:h|a|
ஜ|ூ|த:ா|	J:h|u|t:h:a|
ச|ன:்|த:்|	S:a|n|t|
ர|ா|க:ு|	R|a|g:h:u|
ச|ெ:வ|ன:்|	s|e:v:e|n|
ச:ீ|ஸ:்|	s:e:a|s|
ஷ|ப|ா|ஷ|்|	S:h:a|b|a|s|h|
ப|ஹ|ர:்|	P:a|h:a|r|
ஆ|ல|ன:்|	A|l:l:e|n|
ஃ:ப:ா|ர:்|	f:o|r|
ஃ:ப|ா|த|ர:்|ல|ே|ண:்|ட:்|	f|a|t:h:e|r|l|a|n|d|
ஊ|ன|்:ச:்|	O:o|n|c:h|
ந|ீ|ச|்|	N|e:e|c|h|
ப|ீ|ச|்|	B|e:e|c|h|
அ|ம:்|ர|ி|த:்|	A|m|r|i|t|
அ|ல|்:க:ா|	A|l|k:a|
வ|ே|ல|ர:்|	v|a|l|o:u:r|
ம|ெ|ட|ல:்|	m|e|d|a:l:s|
ஹ:ா:ன|ர:்|	h:o|n:o:r|
ப|ர|ா|ய|ே|	P:a|r|a|y|e|
ல|ோ|க:்|	l|o|g|
ஜ|ா|ய|ே|க|ி|	j|a|y|e|g|i|
ப|ப|ு:வ:ா|	P:a|p|u:a|
க|ி|ன|ி|ய:ா|	G:u|i|n|e|a|
ச|ப:்|ச|ே|	S:a|b|s|e|
ப:ா|த:ா|	B|a:d:a|
ந|ா|ச|ி|ர:்|	N|a|s|i|r|
ஆ|க:்|ர|ோ|	a|g|r|o|
ஃ:ப|ு|ட:்|ஸ:்|	f|o:o|d|s|
உ|ஷ:ா|க|ோ|வ:்|	U|s:h:a|k|o|v|
ம|ே|ஜ|ர:்|	m|a|j:o|r|
ல|க:்|ர|ோ|ஸ|்|	l:a|c|r|o|s:s|e|
ர:ூ|க:்:க|ி|	r:o:o|k|i:e|
இ:ய|ர:்|	y:e:a|r|
அ|ஃ|ப|ன:்|ச|ி|வ|்|	o|f|f:e|n|s|i|v|e|
ப:்:ள|ே:ய|ர:்|	p:l|a:y:e|r|
ஹ|ீ|ர|ோ|ய:ி|ச|ம:்|	H|e|r|o|i|s|m|
ம|ி|ல|ி|ட:்:ட|ர|ி|	m|i|l|i|t:a|r|y|
அ|ப|ி|ஸ|ோ|	A|b|i|s:s|o|
அ|ப:்|ர|ி|	A|b|r|i|
அ|ஜ|ி|ர:்|	a|j|i|r|
க|ர|ி|ப:்|	G:a|r|i|b|
அ|ம:ீ|ர|ி|	A|m:e:e|r|i|
க|ர:ீ|ப|ி|	g:a|r:e:e|b|i|
அ|ம|ி|த:்|	A|m|i|t|
ம|ி|ஷ|ர|ா|	M|i|s:h|r|a|
அ|ன|ோ|க:ா|	A|n|o|k:h:a|
அ:ப:்|ன|ே|	a:p|n|e|
அ|ர:்|த|்|	A|r|d|h|
ஆ|ர:்|க:்|	A|r|k|
அ|ஸ:்|ல|ி|	A|s|l|i|
ப|க:வ|த:்|	B:h:a|g:w:a|t|
ம|ஹ|ி|ம|ா|	M:a|h|i|m|a|
ப|ோ|ன|ட:்|	b|o|n:n:e|t|
ப:ி:ள|ம:்|	p:l|u:m:e|
ச|ல|்:த:ே|	C:h:a|l|t:e|
ச|க|ோ|ர|ி|	C:h:a|k|o|r|i|
ட|ே|ர|ன:்|	D|a|r:e|n|
க|ய:ி|ர:்|	G:a|i|r|
க|ன:ூ|ன|ி|	K:a|n:o:o|n|i|
ஹ|ே|ம|ங:்|	H|e|m|a:n:g|
ப|த:ா|ன|ி|	B|a:d:a|n|i|
ம:ர|்|த:்|	M|A:R|D|
ஷ|ர:்|ம|ா|	S:h:a|r|m|a|
ல|ி|ய:ம:்|	L|i|a:m|
ந|ீ|ச|ன:்|	N|e:e|s:o|n|
ம|ல|ி|க|ா|	M:a|l|i|k|a|
ச|ல|ோ|ம|ி|	S:a|l|o|m|i|
ம|ஞ:்:ச|ு|	M:a|n:j|u|
ம|வ:ா|ன|ா|	M|a:w:a|n|a|
ச|ு|க|ர:்|	s|u|g:a|r|
ம|ோ|ச|ர:்|	M|o|s:e|r|
ப|ி:ய|ர:்|	B:a|e|r|
ஓ:ல:்|ட:்|	o:l|d|
ர|ோ|ம|ன:்|	R|o|m:a|n|
ஓ|ப|ெ|ர|ா|	O|p|e|r|a|
ப|ூ|ன|ர:்|	p|u|n:a|r|
ஆ|ர|்:ச:்|	a|r|c:h|
ஆ|ச|ா|த:்|	A|z|a|d|
ஷ|ட:ா|ப:்|	S:h|a:d:a|b|
க|ப|ீ|ர:்|	K:a|b|i|r|
ஷ|ௌ|ர:்|ய|	S:h:a|u|r|y:a|
த:ர|ு|ன:்|	T:a:r|u|n|
வ|ி|ஜ|ய:்|	V|i|j:a|y|
ய|ா|த|வ:்|	Y|a|d:a|v|
ஹ|ன:்|ச|ோ|	H:a|n|s|o|
வ|ா|ல|ோ|	W|a|l|o|
அ|ம|ி|ர:்|	A|m|i|r|
க:ஹ|ோ|ர|ா|	C:a:h|o|r|a|
ப|ஸ:்:ஸ|ா|	B:a|s:s|a|
அ|ப:்|ச|ர|ா|	A|p|s:a|r|a|
ஆ|ந:்|த:ி|	A:a|n|d:h:i|
ப:த|ோ|ன:்|	b:a:t|o|n|
த:ச|ா|ய:்|	D:a:z|a|i|
ஒ|ச|ா|ம|ு|	O|s|a|m|u|
ர:ெ|ஸ:்:க|்:ய:ூ|	r:e:s|c|u:e|
அ:ட:்|	a:t|
ல:ோ|ய:ர:்|	l:o:w|e:r|
ந|ி|ர|ர:்|	N|i|r:a|r|
ம|ி|ல|ம:்|	M|i|l:a|m|
ப|ெ|த|ன|ி|	B|e|t:h:a|n|y|
ஆ|க:ி|ர:்|	A:a|k:h:i|r|
க|ி|ய:ோ|ன:்|	K|y|o|n|
ஆ|ம|ீ|ர:்|	A:a|m|e|r|
ம|ா|ல|ி|க:்|	M|a|l|i|k|
அ:க|ி|ப:்|	A:a:q|i|b|
ஜ|ா|வ|ெ:த:்|	J|a|v|e:d|
அ|த|ூ|ஸ:்|	a|d|u|z|
ஸ|ா|ஹ|ி|ர:்|	Z|a|h|i|r|
ப:ி:ர|ே|ம:்|	P:r|e|m|
ச|ா|க:்|ஷ:ி|	S|a|k|s:h:i|
ஆ|ன:்:ட|ி|	A|n:d|y|
ல|ா|ய:்|ட:்|	L|l:o|y|d|
ஆ|ஷ:ி|ஷ|்|	A|s:h:i|s|h|
ந|ெ|ஹ:்|ர|ா|	N|e|h|r|a|
அ|ஷ|ோ|க:்|	A|s:h|o|k|
ம|ன:்|க|த:்|	M:a|n|k:a|d|
ஹ|ஃ:ப|ீ|ஸ:்|	H:a|f|e:e|z|
ப|ஜ|ா|ஜ:்|	B:a|j|a|j|
ட|ெ:ம:்|ப|ோ|	t|e:m|p|o|
ப|ல|ா|ம|ு|	B:a|l|a|m|u|
ப|ன:்|ச|ி|	B:a|n|s|i|
ப|ி|ர:்|ஜ|ு|	B|i|r|j|u|
ப|ய:ா|ன|ா|	B|a:y:a|n|a|
ப:ய|ி|ன|ி|	B:h:a|i|n|i|
க:ு|ர:்|த:்|	K:h:u|r|d|
ப|ட:்|ண|ி|	B:h:a|t|n|i|
ச:ி:ய|ா:வ:ு|	S:i|a:u|
ச|ப|்:ர:ா|	C:h:h|a:b|r:a|
க|ு|க|ோ|ர:்|	G|u|g|o|r|
க|ா|ர|ஸ:்|	C|o|r:u|s|
க:ு:ர|ூ|ப:்|	g:r|o:u|p|
ட|ங:்:க|ா|	D:a|n:g|a|
ஃ:ப|ச|ா|த:்|	f|a:s|a|d|
ப|ா|வ:ெ|ல:்|	P|o|w:e:l|l|
த|ீ|ப|க:்|	D|e:e|p:a|k|
ச:ோ|ப:்|ர|ா|	C:h:o|p|r|a|
த|ே|க|ன|ா|	D|e|g:a|n|a|
ஈ|ஸ|்:ட:்|	E|a:s|t|
ந|ி|ம|ா|த:்|	N|i|m|a|d|
எ:ட:்|ட|ி|	E|D|I|
ம|ர|்:ஃ:ப|ி|	M|u:r|p:h|y|
எ|ம|ி|ல|ி|	E|m|i|l|y|
ஹ|ா:ர|ி:ல|்|	H|a:r:r|i|s|
எ:ஸ:்|ர|ா|	E:z|r|a|
ம|ோ|ஸ|்|ல:ீ|	M|o|s|e|l:e:y|
க|ே|ர|த:்|	G|a|r|e:t:h|
ப:்:ர|ீ|ஸ|்|	B:r|e:e|s|e|
க|ட:ம|ல:ா|	G:u:a|t:e:m|a:l:a|
ஹ:ம|ா|ர|ே|	h:u:m|a|r|e|
த|ு|ம|ா|ர|ே|	t|u|m|h:a|r|e|
ஹ|ா|ர:்:வ|ே|	H|a|r:v|e:y|
