ஆ|	A:a|
ப:ல|்:ர|ா:ம:்|	B:a:l|r|a:m|
ப:ல|்:ர|ா:ம:்|	B:a:l|r|a:m|
ஸ|்|ர|ீ:க:ி|ர|ு:ஷ|்:ண:ா|	S|h|r|i:k|r|i:s:h|n:a|
ப:ல|்:ச|ா:ம|ண:்|ட:்|	B:a:l|s|a:m:a|n|d|
ப:ல|ு|க|ா|ன:்|	B:a:l|u|g|a|n|
ப:ல|ு|ர|ா|ன:்|	B:a:l|u|r|a|n|
ப:ல|்:வ|ீ|ர:்|	B:a:l|v|e:e|r|
ப:ல|்:வ|ா|ர|ா|	B:a:l|w|a|r|a|
ப|ா|ல|ய|ோ|க|ி|	B|a|l|y|o|g|i|
உ|ப|ம|ன|்:ய|ு|	U|p|m|a:n|y|u|
ப:ம|க:ோ|	B:a:m|a:k:o|
ப:ம|ன|்:ஹ:ே|ர|ி|	B:a:m|a:n|h:e|r|i|
ப:ம|்:ப|ை|	B:a:m|b|a:i|
க|ா|	K|a|
ப|ா|ப|ு|	B|a|b|u|
ப:ம|்:ப|ை|	B:a:m|b|a:i|
க|ா|	K|a|
ம|ஹ|ர|ா|ஜ|ா|	M|a:h:a|r|a|j|a|
ப:ம|்:ப|ை|	B:a:m|b|a:i|
க|ி|	K|i|
ப|ி|ல:்:ல|ி|	B|i|l:l|i|
ப|ா:ம:்|ர|ா|	B|a:m|r|a|
ப|ா|ம:்:ச|ி:ன:்|	B|a|m:s|i:n|
ப|ன:ஜ|ி:த:்|	B:a|n:a:j|i:t|
ப:ன|ம:ா|ல|ா|	B:a:n|a:m:a|l|a|
ப|ா|ன|ா:ர:்|	B|a|n|a:r|
ப:ன|ா|ர:ச|ி|	B:a:n|a|r:a:s|i|
த|ு|க:்|	T:h|u|g|
ப|ா|ன|ா|ர|ா|ட:்|	B|a|n|a|r|h:a|t|
ப|ா|ன|ா:ச|ண:்:ட|்:ர|ா|	B|a|n|a:s:a|n:d|r|a|
ப|ா|ங|்:க:ோ|	B|a|n|c:o|
ட|ூ|	D|o|
ப|ி:ர|ா|ஸ|ி|ல:்|	B|r|a|s|i|l|
ப|ே:ங:்|க:்|ர|ா:ஃ:ப|்:ட:்|	B|a:n|c|r|o:f|t|
ப:்:ர|ை|ஸ|்|	P:r|i|z|e|
ப|ே:ண:்|ட:்|	B|a:n|d|
ம|ா|ஸ:்|ட|ர:்|	M|a|s|t:e|r|
ப|ா|ண:்:ட|ா|	B|a|n:d|a|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப:ந|்:த|ன:்|	B:a:n|d:h:a|n|
ப:ந|்:த|ன:்|	B:a:n|d:h:a|n|
அ|ஞ:்:ச|ன:ா|	A|n:j|a:n:a|
ப:ந|்:த|ு|	B:a:n|d|h:u|
ப:ந|்:த|ி|ன|ி|	B:a:n|d|i|n|i|
ப:ந|்:த|ி|ப|ூ:ர:்|	B:a:n|d|i|p|u:r|
ப|ண:்:ட|்:ர|ா|	B:a|n:d|r|a|
ட|ெ|ர:்:ம|ி|ன|ஸ|்|	T|e|r:m|i|n|u|s|
ப:ந|்:த:ு|ல|ா|	B:a:n|d:u|l|a|
வ|ர:்|ண:ப|ூ|ர|ா|	W:a|r|n:a:p|u|r|a|
ப|ண:்:ட|ூ|ர|ா|	B:a|n:d|u|r|a|
ப|ா|ன:்:ஃ|ப:்|	B|a|n:f|f|
ப|ா|ங|்:க|ா|	B|a|n|g|a|
ப|ெ|ங|்:க|ள:ூ|ர|்|	B|a|n|g|a:l:o|r|e|
ப|ெ|ங|்:க|ள:ூ|ர|்|	B|a|n|g|a:l:o|r|e|
ச:ி:ட|்:ட:ி|	C:i|t:y|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப:ங|்:க|ா:ர:்|ப:ே|ட:்|	B:a:n|g|a:r|a:p:e|t|
ப|ங:்|ர|ோ|ட:்|	B|a:n:g|r|o|d|
ப:ன|்:ஹ|ி:ஷ|ி|க:ா|	B:a:n|h|i:s:h|i|k:h:a|
ப:ன|ி|	B:a:n|i|
ப|ா|ன|ி|	B|a|n|i|
ப|ஞ:்:ச|ர:ன|்|	B:a|n:j|a:r:a|n|
ப|ஞ:்:ச|ர|ே|	B:a|n:j|a:r|e|
ப|ே:ங:்|க:்|	B|a:n|k|
ஆ:ப:்|	O:f|
அ|ம|ெ|ர|ி|க:்:க|ா|	A|m|e|r|i|c|a|
க|ா:ர:்|ப|்:ப:ர|ே|ட|்|	C|o:r|p|o:r|a|t|e|
ச|ெ|ன|்:ட|ர|்|	C|e|n|t|r|e|
ப|ே:ங:்|க:்|	B|a:n|k|
ஆ:ப:்|	O:f|
அ|ம|ெ|ர|ி|க:்:க|	A|m|e|r|i|c:a|
ப:ி|ள|ா|ஸ|ா|	P|l|a|z|a|
ப|ே:ங:்|க:்|	B|a:n|k|
ஆ:ப:்|	O:f|
ச:ை|ன|ா|	C:h:i|n|a|
ப|ே:ங:்|க:்|	B|a:n|k|
ஆ:ஃ|ப:்|	O|f|
ப|ஞ|்|ச|ா:ப:்|	P|u|n|j|a:b|
ப|ே:ங:்|க:்|	B|a:n|k|
ஒ|ன|்|	O|n|e|
ட:வ|ர|்|	T:o:w|e|r|
ப:ங|்:க|ா|	B:a:n|k|a|
ப:ங|்:க|ா|ட|ா|	B:a:n|k|a|t|a|
ப:ங|்:க|ே|	B:a:n|k|e|
ச:ன|்:வ|ா|ர|ி:ய|ா|	S:a:n|w|a|r|i|a|
ப|ா|ங|்:க|ே|ப|ி:ஹ|ா|ர:ி|	B|a|n|k|e|b|i:h:a|a|r:e:e|
ப|ா|ங|்:க|ே|ப|ி:ஹ|ா|ர|ி|	B|a|n|k|e|b|i:h:a|a|r|i|
ப|ா|ங|்:க|ே|ப|ி|ஹ|ா|ர:ி|	B|a|n|k|e|b|i|h|a|r:e:e|
ப:ங|்:க|ி:ம|்:ச|ந:்:த|ி:ர|ா|	B:a:n|k|i:m:a|c:h:a|n:d|r|a|
ப:ங|்:க|ி|ம|்:ச|ந:்:த|ி:ர|ா|	B:a:n|k|i|m|c:h:a|n:d|r|a|
ப:ங|்:க|ி:ம:்|ச:ந|்:த:ி|ர|	B:a:n|k|i:m|c:h:a|n:d|r:a|
ச|ா|ட:்:ட|ர|்:ஜ|ி|	C:h|a|t|a:r|j|e:e|
ப:ன|்:ம|ங|்:க|ி|	B:a:n|m|a:n|k|h:i|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப:ன|்:ன:ோ|	B:a:n|n:o|
ப:ன|்:ப|ூ|ல:்|	B:a:n|p|h:o:o|l|
ப:ன|்:ச:ா|ல:்|	B:a:n|s:a|l|
ப:ன|்:ச:ா|ர|ி|	B:a:n|s:a|r|i|
ப|ா|ல|ா|	B|a|l|a|
ப:ன|்:ஸ|ீ|ல|ா|ல:்|	B:a:n|s|e:e|l|a:a|l|
ப:ன|்:ஸ|ீ|ல|ா|ல:்|	B:a:n|s|e:e|l|a|l|
ப:ன|்:ஷ:்|ல|ா|ய:்|	B:a:n|s:h|l|a|i|
ப|்:ர|ி|ட:்:ஜ|்|	B|r|i|d:g|e|
ப:ன|்:ச|ி|	B:a:n|s|i|
ப|ி|ர|்:ஜ:ு|	B|i|r|j:u|
ப:ன|்:ஸ|ி|	B:a:n|s|i|
ப|ஹ|ர|்:ப:ூ|ர:்|	P|a:h:a|r|p:u|r|
ப:ன|்:ஸ|ீ|ல|ா|ல:்|	B:a:n|s|i|l|a|l|
ப:ன|்:ஸ|ி|ப|ூ:ர:்|	B:a:n|s|i|p|u:r|
ப:ன|்:ஸ:்|த|ா|ல|ி|	B:a:n|s|t:h|a|l|i|
ந|ி|வ|ா|ய:்|	N|i|w|a|i|
ப:ன|்:ஸ:ு|ர|ி|	B:a:n|s:u|r|i|
ப|ா|ன|ு|த:்|	B|a|n|u|d|
ப|ா|ன|்:வ|ெ|த:்|	B|a|n|w|e|t|
ப|ே:ன:்|ய|ன:்|	B|a:n|y:a|n|
ப|ா|ன|்:ய:ா|ர:்|ட:்|	B|a|n|y:a|r|d|
ப|வ:ோ|ர|ி|	B:a|o|r|i|
த|ி|க:்|ர|ி:ய|ா|	T:h|i|k|r|i|a|
ப|ா:ப|த:்|	B|a:p:a|t|
ப:ப|ா|ட|்:ல|ா|	B:a:p|a|t|l|a|
ப|ா|க|ி|	B|a|q|i|
ப|ா|க:்:க|ி:ர:்|	B|a|q|i:r|
ப:ர|ா|ப|ங|்:க|ி|	B:a:r|a|b|a:n|k|i|
ப:ர|ா|ப|ம:்|	B:a:r|a|b|h:u:m|
ப|ா|ர:த|ா|ர|ி|	B|a|r:a:d|a|r|i|
ப|ா|ர|ா:க|ோ:ன:்|	B|a|r|a:g:a|o:n|
ப:ர|ா|ய:்:க|்:ர|ா:ம:்|	B:a:r|a|i:g|r|a:m|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப:ர|ா|க:ா|	B:a:r|a|k:a:h|
ப|ா|ர|ா|ன:்|	B|a|r|a|n|
ப|ா|ர|ா:ர:்|	B|a|r|a:r|
ப:ர|ா|ர|ா|	B:a:r|a|r|a|
ப|ா|ர|ா|ர|ா|	B|a|r|a|r|a|
ப|ா|ர|ா|ச|ா|ட:்|	B|a|r|a|s|a|t|
ப:ர|த:்|	B:a:r|a:t:h|
ப|ா:ர:்|ப:ர|ா|	B|a:r|b:a:r|a|
ஸ:்:ட|ா|ன|்:வ|ி|க|்|	S:t|a|n|w|y|c|k|
ப|ா:ர:்|ச:்:ச|ி|	B|a:r|c:h|i|
ர:ோ|ட:்|	R:o:a|d|
ப|ா|ர|்:க:ி|ள:ே|ஸ:்|	B|a|r|c|l:a:y|s|
ப:ர|்:த:்|த|ம|ா|ன:்|	B:a:r|d|d:h:a|m|a|n|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப:ர|ே|ல|ி|	B:a:r|e:i:l|l|y|
ப:ர|்:க|ா|ர|்|	B:a:r|g|a|r|h|
ர:ோ|ட:்|	R:o:a|d|
ப|ா|ர|்:ஹ|ா|ன:்|	B|a|r|h|a|n|
ப|ா|ர|்:ஹ|ா|ர|்:வ|ா|	B|a|r|h|a|r|w|a|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப|ா|ர|ி|	B|a|r|i|
ப|்:ர|ா|ஹ:்|ம|ன:்|	B|r|a|h|m:a|n|
ப|ா|ர|ி|ந:்:த|்:ர|ா|	B|a|r|i|n:d|r|a|
ப|ே|ர|ி|ய:ம:்|	B|a|r|i|u:m|
ப:ர|்:க|ா|த:்|	B:a:r|k|a:a|t|
ப:ர|்:க|ன|்:ட|ி|	B:a:r|k|a:n|d|i|
ப:ர|்:க|்:க:ா|	B:a:r|k|h:a|
ப:ர|்:க|்:க:ா|	B:a:r|k|h:a|
ப|ஹ|ர:்|	B|a:h:a|r|
ப|ா|ர|்:க:்|ஸ:்|	B|a|r|k|s|
ப:ர|்:க|ூ:ர:்|	B:a:r|k|u:r|
ப|ா|ர|்:ன:ெ|ட|்|	B|a|r|n:e|t|t|
ப|ா:ர:்|ன:ே|	B|a:r|n:e:y|
ர|ோ:ஜ|ர:்|ஸ:்|	R|o:g:e|r|s|
ப|ா|ர|்:ன|்:ஸ|்:ட|ே:ப:ி|ள|்|	B|a|r|n|s|t|a:b|l|e|
ப:ர|ோ:க:்|	B:a:r|o:g|
ப:ர|ூ|த:்|	B:a:r|o:o|d|
ப:ர|்:ப|ா|ல|ி|	B:a:r|p|a|l|i|
ப:ர|்:ப|ே|ட:்:ட|ா|	B:a:r|p|e|t|a|
ர:ோ|ட:்|	R:o:a|d|
ப|ா|ர|்:க:ி|	B|a|r|q:i|
ப|ா|ர|்:ர|ோ|	B|a|r|r|o:w|
ப|ே|ர:ி|	B|a|r:r:y|
ம:ன|ி|ல:ோ|	M:a:n|i|l:o:w|
ப:ர|்:ஸ|ா|த:்|	B:a:r|s|a:a|t|
ப|ா|ர|்:ஸ|ி|	B|a|r|s|i|
த:க|்:ல|ி|	T:a:k|l|i|
ப|ா|ர|்:ச:ோ|ய:்|	B|a|r|s:o|i|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
அ:ப:்|ர|ு|ஆ|	B:a|r|u|a|
ப:ர|ு:ண:்|	B:a:r|u:n|
ப|ா|ர|ு|வ|ா|	B|a|r|u|v|a|
ப|ா:ர:்|வ|ே|	B|a:r|v|e|
ப|ா|ர|்:வ|ா|ட:ி|	B|a|r|w|a|d:i:h|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப:ர|்:ஜ|ா|ஹ:்|	B:a:r|z|a|h|
ப|ர:்:ஸ|ா|ப|ி|	B|a:s|a|b|i|
ப:ச|ந|்:த:்|	B:a:s|a:n|t|
ப|ஹ|ர:்|	B|a:h:a|r|
ப:ச|ந|்:த:்|	B:a:s|a:n|t|
ப:ஞ|்:ச|ம|ி|	P:a:n|c:h:a|m|i|
ப:ச|வ|	B:a:s|a:v:a|
ச|ா:க|ர:்|	S|a:g:a|r|
ட|ே|ம:்|	D|a|m|
ப:ச|ே|ர|ே|	B:a:s|e|r|e|
க|ி|	K|i|
ஹ|ூ|ர:்|	H|o:o|r|
ப|ஷ:ீ|ர:்|	B:a|s:h:i|r|
ப|ஷ:ீ|ர:ா|	B:a|s:h:i|r:a:h|
ப|ஸ:ீ|ம:ா|	B|a:s:i|m:a:h|
ப|ே:ஸ:்|க|ட|்|ப|ா|ல|்|	B|a:s|k|e|t|b|a|l|l|
ஹ|ா|ல|்|	H|a|l|l|
ஆ:ஃ|ப:்|	O|f|
ஃ:ப|ே|ம|்|	F|a|m|e|
ப|ா|ஸ:்|ம|த:்|	B|a|s|m:a|t|
ப:ஸ|்:ர|ா|	B:a:s|r|a|
ப:ஸ|்:ஸ|ி|	B:a:s|s|i|
ப|ா|ஸ|்:ட|ா|	B|a|s|t|a|
ப|ஸ:்|த|ர:்|	B:a|s|t:a|r|
ப:ஸ|்:த:ி|	B:a:s|t:i|
ப|ட:்:ட|ா|ல|ா|	B:a|t|a|l|a|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப|ே:ட|்:ஸ:்|	B|a:t:e|s|
ப:த|ோ:ன:்|	B:a:t|o:n|
ப:த|ோ:ன:்|	B:a:t|o:n|
ம:ெ:ய|ி:ன:்|	M:e|i:n|
ப:த|ூ|ல:்|	B:a:t|o:o|l|
ப|ட:ு|	B|a:t:u|
ட|ே|ம:்|	D|a|m|
ப|ா|ட|ு|க:்|	B|a|t|u|q:u:e|
ப:த|்:வ|ா|ர|ா|	B:a:t|w|a|r|a|
ப|வ:ு|த|்|	B:a|u|d|h|
ப|ௌ|த|்|	B|a:u|d:h:d|h|
ப|ா|வ|ல:்|	B|a|w:a|l|
ப:வ|ா|ன|ி|	B:a:w|a|n|i|
க|ே|ர|ா|	K:h|e|r|a|
ப|ா|வ:ூ|	B|a|w:o:o|
ப:ய|ா|ன|ா|	B:a:y|a|n|a|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப|ா|ய|ர|்|	B|a|y|e|r|
இ|ந:்:த|ி:ய|ா|	I|n:d|i|a|
ப:ஸ|ூ|ப:ந|்:த:்|	B:a:z|o:o|b:a:n|d|
ப:ீ|ஸ:்|	B:e:a|s|
ப:ீ|வ:ர|்:ஹ|ெ|ட|்|	B:e:a|v:e:r|h|e|a|d|
ப:ே|வ:ர|்:ட:ன|்|	B:e:a|v:e:r|t:o|n|
க:ி|ற:ி|ஸ|்:ட|ி|ய:ன:்|	C|h:r:i|s|t|i|a:n|
ப|ே|ப|ஸ|்|	B|e|b|u|s|
ப|ெ|க:்|ஸ:்|	B|e|c:k:'|s|
ஃ:ப:்|ய:ூ:ச|்|ச|ர|்|ஸ:்|	F|u|t|u|r|e|s|
ப|ெ|த|ே:க|ர:்|	B|e|d|e:k:a|r|
ப|ெ|த|ே|ட|்:ட|ி|	B|e|d|e|t|t|i|
ப|ெ|ட:்:ஃ|ப:்|ப:ோ:ர|்:ட:ு|	B|e|d|f|o:r|d|
ப|ே|ட|ி|	B|e|d|i|
ப|ீ|ட:்|	B|e:e|d|
ப|ீ|ன|ா|	B|e:e|n|a|
ப|ீ|ர|ா|ச|ி|ங|்|	B|e:e|r|a|s|i|n|h|
ப|ீ|ஸ|்:வ:ி|	B|e:e|s|v:i|
ச|ா|த|ி|	S|a|d|i|
ப|ே|க|ு|	B|e|g|u|
ச:ர|ா|ய:்|	S:a:r|a|i|
ப|ெ|க|ு:ய:ி|ன|்|	B|e|g|u:i|n|e|
ப|ெ|க|ு|ன:ா|	B|e|g|u|n:a:h|
க:ய|்:த|ி|	Q:a:i|d|i|
ப|ெ|ஹ|ன|்|	B|e|h|a|n|
ப:ே:ட|்|ட|ா|க|ோ|க|ு:ல:்|	B:e|h|t|a|g|o|k|u:l|
ப|ெ|ய:்:ஜ|ி|ங|்|	B|e|i:j|i|n|g|
ப|ெ|க:்|ர|ா:ர:்|	B|e|k|r|a:r|
ப|ே|ல|ா|	B|e|l|a|
ப|ே|ல|ா|	B|e|l|a|
த|ா|ல:்|	T|a|l|
ப|ெ|ல:்:ப|ா|ஸ|்:ட:்|	B|e|l:f|a|s|t|
ச:ி:ட|்:ட:ி|	C:i|t:y|
ப|ெ|ல:்:ஜ|ி|ய:ம:்|	B|e|l:g|i|u:m|
ப|ெ|ல|ி|ச|ா|ர|ி|ய:ோ|	B|e|l|i|s|a|r|i|o|
ட|ோ|ம|ி:ன:ி|க:்:வ|ெ:ஸ:்|	D|o|m|i:n|g:u|e:z|
ம|ெ:ட|ல:்|	M|e:d:a|l|
ஆ:ஃ|ப:்|	O|f|
ஹ|ா:ன|ர:்|	H|o:n:o|r|
ப|ெ|ல:்:ல|ே|வ:ு|	B|e|l:l|e|v:u:e|
க:ி|ற:ி|ஸ|்:ட|ி|ய:ன:்|	C|h:r:i|s|t|i|a:n|
ப|ெ:ல|்:ச|ௌ:த|்|	B|e:l:l|s|o:u:t|h|
ப|ே|ல:்|த|ா|ர|ா|	B|e|l|t:h|a|r|a|
ர:ோ|ட:்|	R:o:a|d|
ப|ெ|ன|்:ப|ோ|	B|e|n|b|o:w|
ப|ெ|ன|ெ|ட|ெ|ட|்:ட|ோ|	B|e|n|e|d|e|t|t|o|
ப|ி:ர|ி:ன:்|	B|r|i:n|
ப|ெ|ங|்:க|ா|ள|ி|	B|e|n|g|a|l|i|
ப|ெ|ன|ி:ன:்|	B|e|n|i:n|
ப|ெ|ன:ி:ட|்:ட|ோ|	B|e|n:i|t|o|
ஜ|ா|ர|ெ:ஸ:்|	J:u|a|r|e:z|
ப|ெ|ன|்|ன|ட|்|	B|e|n|n|e|t|t|
ப|ெ|ன|்:ன|ி:ங|்:ட:ன|்|	B|e|n|n|i:n:g|t:o|n|
ப|ி:ய|ோ:ஹ|ர|ி|	B|e|o:h:a|r|i|
ப|ெ|ர|ா|ஹ|ம:்|	B|e|r|a|h:a|m|
ப|ெ|ர|ா|ஹ|ம:்|	B|e|r|a|h:a|m|
த:ா:க|்:க|ு|	D:a|k|u|
ப|ெ|ர|்:ச:்|ட|ெ|ஸ|்:க|ா|ர:்:ட|ன:்|	B|e|r|c:h|t|e|s|g|a|d:e|n|
ப|ெ|ர:்:ஜ|ர|்|	B|e|r:g|e|r|
ப|ெ:ய:ி|ண|்:ட:்|ஸ:்|	P|a:i|n|t|s|
ப|ே|ர|ி|	B|e|r|i|
ப|ெ|ர|்:க|ே|ல|ி|ய:ம:்|	B|e|r|k|e|l|i|u:m|
ப|ெ|ர:்:ல|ி:ன:்|	B|e|r:l|i:n|
ப|ெ:ர:்|ன|ா:ர:்|ட:்|	B|e:r|n|a:r|d|
ஜ|ூ|ல|ி|ய:ன:்|	J|u|l|i|e:n|
ப|ெ|ர|்:ர|ி|ய:ன:்|	B|e|r|r|i|e:n|
ப|ெ|ர|்:ர:ி|	B|e|r|r:y|
ஹ:ெ|ட:்|	H:e:a|d|
ஃ:ப:்|ப:ோ:ர|்:ட:்|	F|o:r|t|
ப|ெ|ர|்:ட:்|	B|e|r|t|
வ|ா|ன|்:ச:ி|	V|a|n|c:e|
ப|ெ|ஷ:ா|க:்|	B|e|s:h:a|q:u:e|
ப|ெ|ஷ:ா|ர|ம:்|	B|e|s:h:a|r:a|m|
ப|ே|ட|ா|வ|ா|ட:்|	B|e|t|a|v|a|d|
ப|ீ|ட|ெ|ல|்:ஸ|்:ம|ன|்|	B|e|t|e|l|s|m|a:n|n|
ப|ெ:த|ே|ல:்|	B|e:t:h|e|l|
அ|ப|ோ|ஸ|்:த:ொ|ல|ி:க:்|	A|p|o|s|t:o|l|i:c|
ப|ெ:த|்|ல:ஹ|ம:்|	B|e:t:h|l|e:h:e|m|
ல|ு|த:ெ|ர|ன|்|	L|u|t:h:e|r|a|n|
ப|ே|ட|ி|	B|e|t|i|
ப|ே|ட|ி|	B|e|t|e|
ப|ெ|ட|்:ட|ே|	B|e|t|t|e|
ட|ே|வ|ி|ஸ:்|	D|a|v|i|s|
ப|ெ:வ:்|	B|e:v|
க|ா|ங|்|ட:ன|்|	C|o|n:g|d|o|n|
ப|ே|வ|ஃ|ப:்:ப|ை|	B|e|w|a|f|a:i|
ப|ெ|க:்:ஸ|ா:ர:்|	B|e|x|a:r|
ப:ா|ல|ச|ந:்:த|ர:்|	B:h:a|a:l:a|c:h:a|n:d|r|
ப:ா|ங|்:க|ு|	B:h:a|a:n|g|u|
ப|ா|ன|ு|ம|ு:க|ி|	B:h:a|a|n|u|m|u:k:h|e:e|
ப:ா|ர|த:்|	B:h:a|a:r:a|t|
ப|ா|ர:த|ி|	B:h:a|a|r:a:t|e:e|
ப|ா|த:்|வ:த|ே:க|ர:்|	B:h:a|a|t|v:a:d|e:k:a|r|
ப:ா|ப:்:ப|ா:ர:்|	B:h:a|b:h|a:r|
ப:ா|ப:ி|	B:h:a|b:h:i|
ப|ச:்:ச|ா:வ:்|	B:h:a|c:h|a:u|
ப:ா|த|ன:்|	B:h:a|d:a|n|
ப|த|்:ல|ி|	B:h:a|d|l|i|
ப:ா|த:்|ர:ா|க:்|ஷ:ா|	B:h:a|d|r:a:a|k|s:h:a|
ப|த|்:ர|ா:ச|ல|ம:்|	B:h:a|d|r|a:c:h|a:l:a|m|
ப:ா|த:்|ர|க:்|	B:h:a|d|r:a|k|
ப:ா|த|்:ர|ா|க:்|	B:h:a|d|r|a|k|
ப:ா|த|்:ர|ா|க|்:ஷ:்|	B:h:a|d|r|a|k|s:h|
ப:ா|த|்:ர|ா|க:்|ஷ:ா|	B:h:a|d|r|a|k|s:h:a|
ப|த|்:ர|ா|ன:்|	B:h:a|d|r|a|n|
ப|த|்:ர|ீ|ஷ|்|	B:h:a|d|r|e|s|h|
ப|க|ம:்|	B:h:a|g:a|m|
ப:ா|க:்|	B:h:a|g|
ப|க:வ|ா|ன:்|	B:h:a|g:a:v|a:a|n|
ப|க|வ|த:்|	B:h:a|g|a:v:a|t|
ப|க|ே|க|ா|	B:h:a|g|e|g|a|
ப:ா|க|ீ|ர:த|்|	B:h:a|g|i|r:a:t|h|
ப:ா|க|ி|ர|த|ி|	B:h:a|g|i|r|a:t:h|i|
ப|க:்|த|ா|	B:h:a|g|t|a|
ப|க:வ|ந:்|த|ி|	B:h:a|g:w:a|n|t|i|
ப|க:வ|த:்|	B:h:a|g:w:a|t|
ம:ஹ|ி|ம|ா|	M:a:h|i|m|a|
ப|க:வ|த|ி|	B:h:a|g:w:a|t|i|
ப:ா|க:்|ய|வ:ா|ன:்|	B:h:a|g|y|a:w:a|n|
ப:ா|க:்|ய|வ:த|ி|	B:h:a|g|y:a|w:a:t|i|
ப:ா|ய:்|	B:h:a|i|
ப:ஹ|ே|ன:்|	B:a:h|e|n|
ப:ா|ய:்|	B:h:a|i|
ப:ா|ய:்|	B:h:a|i|
ப:ா|ய:்|	B:h:a|i|
ஹ|ோ|	H|o|
த|ோ|	T|o|
ஏ|ச|ி:ய|ா|	A|s|i|a|
ப:ா|ய:்|	B:h:a|i|
ஜ|ா|ன:்|	J:a|a|n|
ப:ா|ய:்|	B:h:a|i|
க|ா|	K|a|
ப:ி|ய|ா:ர:்|	P|y|a:r|
ப:ா|ய:்|	B:h:a|i|
ச|ா|ஹ|ே|ப:்|	S|a|h|e|b|
ப:ய|ி|ன|ி|	B:h:a|i|n|i|
க|ு:ர:்|த:்|	K:h|u:r|d|
ப|ை|ய|ா|ல|ா|ல:்|	B:h|a:i|y|a|a:l:a|a|l|
ப|ஜ|ன:்|	B:h|a:j:a|n|
ப|ஜ:ர|ா|ம:்|	B:h:a|j:a:r|a:a|m|
ப|க:்|த:்|	B:h:a|k|t|
த|ு:ர|ு:வ:்|	D:h|r|u:v|
க|ு|ம|ா:ர:்|	K|u|m|a:r|
ப|க:்|த:்|	B:h:a|k|t|
ச|ு|ர|்:த|ா|ஸ:்|	S|u|r|d|a|s|
ப|க:்|த|	B:h:a|k|t:a|
க:ப|ி:ர:்|	K:a:b|i:r|
ப|க:்:த|ி|	B:h:a|k:t|i|
ந|க|ர:்|	N:a|g:a|r|
ப:ா|ல|	B:h:a|l:a|
ம:ன|ு|ஸ:்|	M:a:n|u|s|
ப:ா|ல|ே|	B:h:a|l|e|
ப|ல|ே|ர|ா:வ:்|	B:h:a|l|e|r|a:o|
ப|ல:்:ல|ா|	B:h:a|l:l|a|
ப:ா|ம:்|	B:h:a|m|
ப:ா|ம:்:ப|்|ர|ா|	B:h:a|m:b|h|r|a|
ப:ா|ம:்:ர|ா|	B:h:a|m:r|a|
ப:ா|ன|ா|	B:h:a|n|a|
ப:ா|ந:்:த|ப:ே|	B:h:a|n:d|a:p:e|
ப:ா|ங|்:க|ு|	B:h:a|n|g|u|
ப:ா|ன|ு|த|ா|ஸ:்|	B:h:a|n|u|d|a|s|
ப:ா|ன|ு:ப:ி|ர:ச|ா|த:்|	B:h:a|n|u:p|r:a:s|a|d|
ப|ன:்|வ:ர|ா|	B:h:a|n|w:a:r|a|
ப:ா|ப:்:ப|ா|	B:h:a|p|a|
ப|ர|ண:ி|	B:h:a|r|a:n:i|
ப|ர|த:்|	B:h|a:r:a|t|
அ|ர|ு:ண:்|	A|r|u:n|
ப:ா|ர|த:்|	B:h:a|r:a|t|
ப:ா|ர|த:்|	B:h:a|r:a|t|
ஃ:ப|ோ|ர:்:ஜ|்|	F|o|r:g|e|
ப:ா|ர|த:்|	B:h:a|r:a|t|
க|ே|	K|e|
ஷ|ஹ:ீ|த:்|	S:h:a|h:e:e|d|
ப:ா|ர|த:்|	B:h:a|r:a|t|
க|ி|	K|i|
ச|ந:்|த:ா|ன:்|	S:a|n|t:a:a|n|
ப:ா|ர|த:்|	B:h:a|r:a|t|
க|ு:ப:்|	K|u:p|
ப:ா|ர|த:்|	B:h:a|r:a|t|
ச:ம|ா|ச|்|ச:ர:்|	S:a:m|a|c|h|a:r|
ப|ர:த|்|	B:h:a|r:a:t|h|
ர|ெ|ட|்:ட:ி|	R|e|d|d:y|
ப:ா|ர:த|்:க|ு:ந:்|த:்|	B:h:a|r:a:t|k|u:n|d|
ப:ா|ர:த|்:ம|ு|ன|ி|	B:h:a|r:a:t|m|u|n|i|
ப|ர:த|்:ப:ூ|ர:்|	B:h:a|r:a:t|p:u|r|
ஜ|ங|்|ஷ:ன|்|	J|u|n|c:t:i|o:n|
ப:ா|ர|்:த|்:வ|ா|ஜ:்|	B:h:a|r|d|w|a|j|
ப|ர|்:ட|ே|ண:்:ட|ு|	B:h:a|r|t|e|n:d|u|
