a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
c:a:t|t:o|	แ:ค|โ:ต:้|
c:a|t:t:o|n|	แ:ค:ต|เ:ต|ิ:้:น|
c:a|t:t|y|	แ:ค:ต|ต|ี:้|
c:a|t|w|a|l|k|	แ:ค:็|ต|ว|อ|ล:์|ก|
c:a:u|c|a:s|o|i:d|	ค:อ|เ:ค|ซ|อ|ย:ด:์|
c:a:u|c|a:s|u|s|	ค:อ|เ:ค|ซ|ั|ส|
c:a:u|c:h|y|	โ:ค|ช|ี|
c:a:u|c:h:y|	โ:ค|ซ:ี|
c:a:u|d|a|l|	ค:อ|ด:เ:ด|ิ|ล|
c:a:u|d|i|l:l|	ค:อ|เ:ด|ิ|ล|
c:a:u|d|l:e|	ค:อ|เ:ด:ิ|ล|
c:a:u|l|e:y|	ค:อ|ล|ี:ย:์|
c:a:u|l|f:i:e|l|d|	ค:อ|ล|ฟ:ิ|ล|ด:์|
c:a:u|l:i|f|l|o:w|e|r|	ค:อ|ล:ิ:เ|ฟ|ล|า:ว:์|เ:อ|อ:ร:์|
c:a:u|s|e|y|	ค:อ|ส:ซ|ี|่:ย:์|
c:a:u|s|l|a|n:d|	ค:ั|ส|เ:ล|ิ:่|น:ด:์|
c:a:u|s|l|e:y|	ค:อ|ส|ล|ี:ย:์|
c:a:u|s:s:e|	โ:ก|ส|
c:a:u|s:s:e|	โ:ค|ส|
c:a:u|s|t|i|c|	ค:อ|ส|ต|ิ|ก|
c:a:u|s|t|i|c|◊:s:o|d|a|	ค:อ|ส|ต|ิ|ก|โ:ซ|ด|า|
c|a|v|a|d:a|s|	ค|า|ว|า|เ:ด:ิ|ส|
c|a|v:a:l|l:o|	เ:ค|อ|แ:ว|ล:โ:ล|
c:a|v|a|n|	แ:ค:เ|ว|ิ|น|
c:a|v|a|n|a|g:h|	แ:ค:เ|ว|ิ|น|แ|น:็:ก|
c:a|v|a|n:a|u:g:h|	แ:ค:เ|ว|อ|น|อ|
c|a:v:e|	เ:ค|ฟ|
c|a|v:e|l:l|	เ:ค|อ|เ:ว:ิ|ล|
c|a|v|e:n|d|i|s:h|	ค|า|เ:ว|น|ด|ิ|ช|
c:a|v|e|n|d|i|s:h|	แ:ค:เ|ว|ิ|น|ด|ิ|ช|
c:a|v|e:r|s|	เ:ค:เ|ว|ิ:ร:์|ส|
c:a|v|e:r|s:h:a|m|	แ:ค:เ|ว|อ:ร:์|แ:ช|ม|
c:a|v:i|a|r|	ค:า:เ|ว|ี:ย|ร:์|
c:a|v:i|a|r|	แ:ค:เ|ว|ี:ย|ร:์|
c:a|v|i|l:l|	แ:ค:เ|ว|ิ|ล|
c|a:v|i|n|e:s:s|	เ:ค|ว|ี|น|ิ:ส|
c|a:v:i|t|a|t:i:o|n|	แ:ค|ว:ิ|เ|ต|ช:ั|น|
c|a:v:i|t|y|	แ:ค|ว:ิ|ด|ี|
c|a:w|	ค|อ:ว:์|
c|a:w|l|e:y|	ค|อ|ล|ี:ย:์|
c|a|w:o:o|d|	ค|า|ว:ู|๊:ด|
c|a:y|	ค|ี:ย:์|
c|a|y|	เ:ค|ย|์|
c:a:y|c:e|	เ:ค|ส|
c|a:y|l:e|y|	เ:ค|ย:์:เ|ล|ย:์|
c|a|y|t|o:n|	เ:ค|ย|์|เ:ต|ิ:้:น|
c|b|o|d|	ซ:ี|บ:ี|โ:อ|ด:ี|
c|b|r|	ซ:ี|บ:ี:อ|า:ร:์|
c|b|s|	ซ:ี|บ:ี|เ:อ:ส|
c|c|	ซ:ี|ซ:ี|
c|c|d|	ซ:ี|ซ:ี|ด:ี|
c|c|e|	ซ:ี|ซ:ี|อ:ี|
c|c|t|v|	ซ:ี|ซ:ี|ท:ี|ว:ี|
c|c|u|	ซ:ี|ซ:ี|ย:ู|
c|d|	ซ:ี|ด:ี|
c|d:-|r|o|m|	ซ|ี:ด:ี|ร|อ|ม|
c|d|m|a|	ซ:ี|ด:ี:เ|อ:็:ม|เ:อ|
c|e|	ซ:ี|อ:ี|
c|e:b|u|	เ:ซ|บ|ู|
c|e|c:e|r:e|	เ:ช|เ|ช|ร:ี:่|
c:e|c:h|	เ:ซ:็|ก|
c|e|c|i|l|	ซ|ี|ซ|ิ|ล|
c|e|c|i|l|	เ|ซ|ซ|ิ|ล|
c|e|c|i|l:e|	เ|ซ|ซ|ิ|ล|
c|e|c:i|l:i|a|	ซ|ิ|ซ:ี:เ|ล|ี:ย|
c|e|c:i|l:i|a|	เ|ซ|ซ:ี:เ|ล|ี:ย|
c|e|c|i:l|y|	ซ|ิ|ซ:ี|ล|ี|
c|e|c|i|l|y|	เ|ซ|ซ|ิ|ล|ี|
c|e:d|a|r|	ซ:ี|ด|า|ร:์|
c:e|d|a|r|v|i|l:l:e|	ซ:ี:เ|ด|อ|ร:์|ว|ิ:ล|ล:์|
c|e:d:e|r|b:e|r|g|	ซ:ี|เ:ด|อ:ร:์|เ:บ:ิ|ร:์|ก|
c|e:d|r|i|c|	เ:ซ|ด|ร|ิ|ก|
c|e:l:e|n|t|a|n:o|	เ:ช|เ:ล|น|ท|า|โ:น:่|
c|e:l:e|r|y|	เ:ซ|เ:ล|ร|ี|
c|e:l:e|r|y|	เ:ซ|เ:ล|อ:ร|ี|
c|e:l:e|s:t|i|t|e|	เ:ซ|เ:ล|ส|ไ:ท|ต|์|
c:e|l:i|a|	ซ:ี:เ|ล|ี:ย|
c:e:l|l|	เ:ซ|ล|
c|e:l|l|	เ:ซ|ล|ล:์|
c|e:l|l|a|	เ:ซ|ล|ล|า|
c|e:l|l:e|r|	เ:ซ|ล|เ:ล:อ|ร:์|
c|e:l|l|i|n|i|,:◊|b|e:n|v|e:n|u:t|o|	เ:ช|ล|ล|ี|น|ี|,:◊:เ|บ|น|เ:ว|น|ู|โ:ต|
c:e:l|l:o|	เ:ซ|ล:โ:ล|
c|e:l|l:o|p:h|a:n:e|	เ:ซ|ล|โ:ล:เ|ฟ|น|
c|e:l|l|u|l|i:t|e|	เ:ซ|ล|ล|ู|ไ:ล|ต|์|
c|e:l|l|u|l|o|s:e|	เ:ซ|ล|ล|ู|โ|ล|ส|
c|e:l|s|i|u:s|	เ:ซ|ล|เ:ซ|ี:ย|ส|
c|e:l|s|u|s|	เ:ค|ล|ซ|ุ|ส|
c|e:l|t|	เ:ค|ล|ต:์|
c|e:l|t|i|c|	เ:ค|ล|ต|ิ|ก|
c:e|m:e|n|t|	ซ:ี:เ|ม|น|ต:์|
c|e|m|s|	ซ:ี|อ:ี:เ|อ:็:ม|เ:อ:ส|
c|e|n|n|i|	เ:ค|็|น|น|ี:่|
c|e:n|o|z|o|i|c|	ซ:ี:โ|น|โ|ซ|อ|ิ|ก|
c|e:n|s|o|r|	เ:ซ|น|เ:ซ|อ|ร:์|
c|e:n|t|	เ:ซ|น|ต:์|
c:e|n|t|	เ:ซ:็|น|ต:์|
c:e|n|t:a:u|r|	เ:ซ:็|น|ท:อ|ร:์|
c|e:n|t:e|r|	เ:ซ|น|เ:ต:อ|ร:์|
c:e|n|t:e|r|	เ:ซ:็|น|เ:ต:อ|ร:์|
c:e|n|t:e|r:◊|h|a|l|f|	เ:ซ:็|น:เ|ต|อ:ร:์|ฮ|า|ล:์|ฟ|
c|e:n|t|i|g|r|a|m|	เ:ซ|น|ต|ิ|ก|ร|ั|ม|
c|e:n|t|i|g|r|a|m:m:e|	เ:ซ|น|ต|ิ|ก|ร|ั|ม|
c|e:n|t|i|l|i|t:e|r|	เ:ซ|น|ต|ิ|ล|ิ|ต|ร|
c|e:n|t|i|l|i|t:r:e|	เ:ซ|น|ต|ิ|ล|ิ|ต:ร|
c|e:n|t:i|m:e|t:e|r|	เ:ซ|น|ต:ิ:เ|ม|ต|ร|
c|e:n|t:i|m:e|t:r:e|	เ:ซ|น|ต:ิ:เ|ม|ต:ร|
c|e:n|t:o:l|a|	เ:ช|น|โ:ท|ล:่:า|
c|e:n|t|r|a|l|	เ:ซ|น|ท|ร|ั|ล|
c:e|n|t|r|a:l:◊|l:o|c:k|	เ:ซ:็|น|ท|ร|ั:ล|ล:็:อ|ก|
c:e|n|t|r:a|t:e|	เ:ซ:็|น|เ:ท|ร|ด|
c|e:n|t|r:e|	เ:ซ|น|เ:ต|อ:ร:์|
c:e|n|t|r:e|	เ:ซ:็|น|เ:ต|อ:ร:์|
c:e|n|t|r:e:◊|b:o:a|r|d|	เ:ซ:็|น|เ:ต:อ|ร:์|บ:อ|ร:์|ด|
c|e:n|t|r|e|-:b|a|c:k|	เ:ซ|น|เ:ต|อ:ร:์|แ|บ|็|ก|
c|e:n|t|r:e|-|h|a|l|f|	เ:ซ|น|เ:ต:อ|ร|์|ฮ|า|ล:์|ฟ|
c|e:n|t|r:e|b:o:a|r|d|	เ:ซ|น|เ:ต|อ:ร:์|บ:อ|ร:์|ด|
c|e:n|t|r:e|x|	เ:ซ|น|เ:ท|ร|ก:ซ:์|
c|e:n|t|r|i|o|l:e|	เ:ซ|น|ท|ร|ิ|โ:อ|ล|
c|e:n|t|r|o|i:d|	เ:ซ|น|ท|ร|อ|ย:ด:์|
c|e:n:t|r:o|m:e|r:e|	เ:ซ|น|โ:ท:ร|เ:ม:ี|ย:ร:์|
c|e:n|t|r|o|s|o:m:e|	เ:ซ|น|โ:ท|ร|โ|ซ|ม|
c|e:n|t|u|m|	เ:ค|น|ต|ุ|ม|
c|e|o|	ซ:ี|อ:ี|โ:อ|
c|e:p:h|a|l|o|n|	เ|ซ:ฟ|า|ล|อ|น|
c|e:p:h|a|l:o|n|i|a|	เ|ซ:ฟ|า|โ:ล:เ|น|ี|ย|
c|e|p:h|a|s|	เ:ซ|เ|ฟ|ิ|ส|
c|e:r|a|	เ:ซ|ร|่:า|
c|e|r:a:m|i|c|	เ:ซ|ร|า:ม|ิ|ก|
c:e:r|a|r|g|y|r|i:t|e|	เ:ซ|ร|า:ร:์|จ|ี|ไ:ร|ต|์|
c|e:r|a|t|i:t|e|	เ:ซ|ร|า|ไ:ท|ต|์|
c:e|r|c|l|a|	เ:ซ:อ|ร:์|ค|ล|า|
c|e|r|c:o|n:e|	เ:ช|อ:ร:์|โ|ค|น:ี:่|
c|e|r:e|b:e|l|l|u|m|	ซ|ี|ร:ี:เ|บ|ล|ล|ั|ม|
c|e:r|e|b|e|l|l|u|m|	เ:ซ|ร|ี|เ|บ|ล|ล|ั|ม|
c|e:r|e|b|r|u|m|	เ:ซ|ร|ี|บ|ร|ั|ม|
c:e|r|f|	เ:ซ:ิ|ร:์|ฟ|
c:e|r:i|u:m|	ซ:ี:เ|ร|ี:ย:ม|
c:e|r|n|	เ:ซ:ิ|ร:์|น|
c:e:r|n|e:y|	เ:ซ|น|ี:ย:์|
c|e:r|n:y|	เ:ค|อ:ร:์|น:ี:่|
c:e:r|r:a|	เ:ซ|ร:่:า|
c:e|r|r|a:d:o|	เ:ซ:อ|ร:์|ร:า|โ:ด|
c:e|r|r:o|◊|l|a|◊|s|i|l|l:a|	เ:ซ:อ|โ|ร|◊|ล|า|◊|ซ|ิ|ล|ย:่:า|
c:e|r|t|i|f|i|c:a:t|i:o|n|	เ:ซ:อ|ร:์|ต|ิ|ฟ|ิ|เ:ค|ช:ั:่|น|
c|e:r|u|s|s|i:t|e|	เ:ซ|ร|ั|ส:ไ|ซ|ต|์|
c:e|r|v|a|n|t|e:s|	เ:ซ:อ|ร:์|ว|อ|น|ต:์|ส|
c|e:r|y|	เ:ช|ร|ี:่|
c|e|s:a|r|	ซ|ี|ซ:่:า|ร:์|
c:e|s:i|u:m|	ซ:ี:เ|ซ|ี:ย:ม|
c:e|t|a:n:e|	ซ:ี:เ|ท|น|
c|e:v:a|	เ:ช|ว:า|
c|e:v:a|	เ:ซ|ว:า|
c:e|y|l|o|n|	ซ|ี|ล|อ|น|
c|e:z|a|n|n|e:,:◊|p:a:u|l|	เ:ซ|ซ|า|น|น:์|,:◊|ป:อ|ล|
c|f|f|a|s|	ซ:ี|เ:อ:ฟ|เ:อ:ฟ|เ:อ|เ:อ:ส|
c|g|	ซ:ี|จ:ี|
c|g|i|	ซ:ี|จ:ี|ไ:อ|
c|g|s|	ซ:ี|จ:ี|เ:อ:ส|
c:h|a:◊:c|h:a:◊|c:h|a|	ช|ะ:ช|ะ|ช|่:า|
c:h|a:-:c|h:a:-|c:h|a|	ช|ะ:ช|ะ|ช|่:า|
c|h:a:-|c|h:a:-|c:h|a|	ช|่:า|ช|่:า|ช|่:า|
c:h:a|b|a|s|i|t|e|	แ:ค|บ|า|ไ|ซ|ต|์|
c:h:a|b|l:e|	เ:ช|เ:บ:ิ|ล|
c:h:a|b|o:n|	เ:ช|เ:บ|ิ:้:น|
c:h:a|c|o:n|	แ:ช|เ:ค|ิ:่:น|
c:h:a|d|	ช:า|ด|
c:h:a|d|b:o:u|r|n|	แ:ช|ด|บ:ุ|ร:์|น|
c:h:a|d|b:o:u|r|n:e|	เ:ช|ิ:ด|บ:ุ|ร:์|น|
c:h:a|d|w:e|l:l|	แ:ช|็:ด:เ|ว|ล|
c:h:a|d|w|i|c:k|,|◊:j:a|m:e|s|	แ:ช|ด|ว|ิ|ก|,:◊|เ:จ|ม|ส:์|
c:h:a|f:e|e|	แ:ช|ฟ|ี:่|
c:h:a|f|f:e|e|	แ:ช|ฟ|ฟ|ี:่|
c:h:a|f:f|i:n|	แ:ช|ฟ|ิ:้:น|
c:h:a|g:a|l:l|,:◊|m|a|r|c|	ช:า|ก:ั:ล|ล|์:,:◊|ม|า|ร:์|ก|
c:h:a|g|o|s|	ช:า|ก|อ|ส|
c:h:a|i:k:i|n|	ไ:ช|ค|ิ:่:น|
c:h:a|i:n|	เ:ช|น|
c:h:a|i:r:◊|b|a|l:l|	แ:ช|ร:์|บ|อ|ล|
c:h:a|i:r|b|a|l:l|	แ:ช|ร|์:บ|อ|ล|
c:h:a|i:t|	เ:ช|ต|
c:h|a|l|c:e|d:o|n|i|c|	ค|า|ล|ซ|ิ:โ:ด|น|ิ|ก|
c:h|a|l|c:e|d:o|n|y|	ค|า|ล|ซ|ิ:โ:ด|น|ี|
c:h|a|l|c:o|	ค|า|ล:โ|ค|
c:h|a|l:c|o:c:i|t|e|	ค|า|ล:โ:ค|ไ:ซ|ต|์|
c:h:a|l|f|a|n|t|	แ:ช|เ|ฟ|ิ:่|น|ต:์|
c:h:a|l:f:o|n|t|	แ:ช|ฟ:อ|น|ต:์|
c:h|a|l|k|	ช|อ|ล:์|ก|
c:h:a|l|k|l:e|y|	แ:ช|ล|ก|ล|ี:่|
c:h:a|l|l|e:n|	แ:ช|ล|เ:ล|ิ:่:น|
c:h:a|l|l|e:n|g:e|r|	แ:ช|ล|เ:ล|น|เ:จ:อ|ร:์|
c:h:a|l|m:e|r|s|	ช:า|ล|เ:ม:อ|ร:์|ส|
c:h:a|l|o:u:p|k:a|	เ:ช|อ:ล|ู:ป|ค:่:า|
c:h|a|l|y|b|i:t|e|	ค|า|ล|ิ|ไ:บ|ต|์|
c:h|a|l|y|b|i:t|e|	ค|า|ล|ี|ไ:บ|ต|์|
c:h:a|l|y|b|i:t|e|	แ:ค|ล|ิ|ไ:บ|ต|์|
c:h:a|m|b|e|r|	เ:ช|ม|เ|บ|อ:ร:์|
c:h:a|m|b|e|r:◊|m:u|s|i|c|	เ:ช|ม|เ|บ|อ:ร:์|ม:ิ:ว|ส|ิ|ก|
c:h:a|m|b|e|r:◊|m:u|s|i|c|	แ:ช|ม|เ|บ|อ:ร:์|ม:ิ:ว|ส|ิ|ก|
c:h:a|m|b|e|r|l:a:i|n|,|◊|j|o|h|n|	เ:ช|ม|เ|บ|อ:ร:์|เ:ล|น|,|◊|จ|อ|ห:์|น|
c:h:a|m|b|e|r|l:a:i|n|,|◊:w:i|l|t|	เ:ช|ม|เ|บ|อ:ร:์|เ:ล|น|,:◊|ว:ิ|ล|ต:์|
c:h:a|m|b:e|r|l:a:y|n:e|	เ:ช|ม|เ:บ:อ|ร:์:เ|ล|น|
c:h:a|m|b|e|r|l|i|n|	เ:ช|ม|เ|บ|อ:ร:์|ล|ิ|น|
c:h:a|m|b:e|r|s|	เ:ช|ม|เ:บ:อ|ร|ส:์|
c:h:a|m|b|l|i|n|	แ:ช|ม|บ|ล|ิ|น|
c:h:a|m|b|l|i|s:s|	แ:ช|ม|บ|ล|ิ|ส|
c:h:a|m|o|i|s|	ช:า|ม|ั|ว|ส:์|
c:h:a|m:p|	แ:ช|ม:ป:์|
c:h:a|m|p|a|g:n:e|	แ:ช|ม|เ|ป|ญ|
c:h:a|m|p|a|i:g:n|	แ:ช|ม|เ|ป|ญ|
c:h:a|m|p|a:i:n|	แ:ช|ม|เ:ป|ญ|
c:h:a|m|p|i|g|n:o:n|	แ:ช|ม|ป|ี|ญ|อ:ง|
c:h:a|m|p|i|g:n:o|n|	แ:ช|ม|ป|ี|ย:อ|ง|
c:h:a|m|p|i|o:n|	แ:ช|ม|เ:ป|ี:ย|น|
c:h:a|m|p|i|o:n|s:h|i|p|	แ:ช|ม|เ:ป|ี:ย|น|ช|ิ|ป|
c:h:a|m|p|l|i|n|	แ:ช|ม|พ|ล|ิ|น|
c:h:a|n:a:r|a:l|	ช:า|ญ:า|ร:ั:ล|
c:h:a|n|c:e|l|	แ:ช|น|เ:ซ:ิ|ล|
c:h:a|n|c:e|r|y|	ช:า|น|เ:ซ:อ|ร|ี|
c:h:a|n:d|	แ:ช|น:ด:์|
c:h:a|n|d:a|	แ:ช|น|ด:้:า|
c:h:a|n|d:e|l:i|e|r|	แ:ช|น|เ:ด:เ|ล|ี:ย|ร:์|
c:h:a|n:d|l:e|r|	ช:า|น:ด:์|เ:ล:อ|ร:์|
c:h:a|n|d:o|s|	แ:ช|น:โ|ด|ส|
c:h:a|n|e:y|	เ:ช|น|ี:ย:์|
c:h:a|n|n|e:l|	แ:ช|น|เ:น|ล|
c:h:a|n|n|e:l|	แ:ช|น|แ:น|ล|
c:h:a|n:n|i|n:g|	แ:ช|น|น|ิ:่:ง|
c:h:a|n|n|o:n|	แ:ช|น|เ:น|ิ:่:น|
c:h:a|n|t:e|r|	แ:ช|น|เ:ต:อ|ร:์|
c:h:a|p|a|d|a|	ช:า|ป|า|ด|า|
c:h:a|p:a:r|r|a:l|	ช:า|ป:า|ร:์|ร:ั:ล|
c:h:a|p:e|l|	แ:ช|ป:เ:พ|ิ:่:ล|
c:h|a|p:e|l|l|e|	ช|ั|ป:เ:ป|ิ:ล|ล|์|
c:h:a|p:e|r|o:n|	แ:ช|เ:ป:อ|โ:ร|น|
c:h:a|p:e|r|o:n:e|	แ:ช|เ:ป:อ|โ:ร|น|
c:h:a|p|l|i|n|	แ:ช|ป|ล|ิ|น|
c:h:a|p|l|i:n|	แ:ช|ป:เ:ป|ล|ิ:้:น|
c:h:a|p|m|a:n|	แ:ช|ป|แ:ม|น|
c:h:a|p|p|e|l|	แ:ช|ป|เ:ป:ิ|้|ล|
c:h:a|p|p|l:e|	แ:ช|ป|เ:ป|ิ:้:ล|
c:h:a|r|	ช:า|ร:์|
c:h:a|r|a|c|t:e|r|◊:m:a|p|	แ:ค|แ|ร|ก|เ:ต:อ|ร:์|แ:ม|ป|
c:h:a|r|a|c|t:e|r|i|s|t|i|c|	แ:ค|แ|ร|ก|เ:ท:อ|ร|ิ|ส|ต|ิ|ก|
c:h:a|r|c:o:a|l|	ช:า|ร:์|โ:ค|ล|
c:h:a|r|d|	ช:า|ร:์|ด|
c:h|a|r|d:i|n|,|◊|j:e:a|n|-|b|a|p:t:i|s|t|e:-|s:i|m:e|o|n|	ช|า:ร:์|แ|ด|ง|,|◊|ช:อ|ง|-|บ|า|ต:ี|ส|ต:์|-|ซ:ี:เ|ม|อ|ง|
c:h|a|r|d:i|n|,|◊:p|i:e|r|r:e|◊|t:e|i:l|h:a|r|d|◊|d:e|	ช|า:ร:์|แ|ด|ง|,:◊|ป|ี|แ|ย:ร:์|◊:เ|ต|ย|า|ร|์|◊|เ:ด:อ|
c:h:a|r|g:e|	ช:า|ร:์|จ|
c:h:a|r|i|t|o:n|	แ:ช|ไ:ร|เ|ต|ิ:้:น|
c:h:a|r|l|a|n:d|	ช:า|ร:์|เ:ล|ิ:่|น:ด:์|
c:h:a|r|l:e|	ช:า|ร:์|ล:ส:์|
c:h:a|r|l|e|m:a|g:n:e|	ช:า|ร:์|เ:ล|อ:เ|ม|น|
c:h:a|r|l:e:s|	ช:า|ร:์|ล|
c:h:a|r|l:e|s|	ช:า|ร:์|ล|ส:์|
c:h:a|r:l:e|s|	ช:า|ล|ส:์|
c:h:a|r|l:e|s|◊|k|e:n|d|a|l:l|◊|a|d|a|m|s|	ช:า|ร:์|ล|ส:์|◊|เ:ค|น|ด|อ|ล:ล:์|◊|แ:อ|ด|ั|ม|ส:์|
c:h:a|r:l:e|s|,|◊:r:a|y|	ช:า|ล|ส:์|,:◊|เ:ร|ย:์|
c:h:a|r|l:e|s|t|o|n|	ช:า|ร:์|ล|ส|ต|ั|น|
c:h:a|r|l:e|s|w:o|r|t:h|	ช:า|ร:์|ล|ิ:ส|เ:ว:ิ|ร:์|ท|
c:h:a|r|l:e|v|i|l:l:e|	ช:า|ร:์|ล|ว|ิ:ล|ล:์|
c:h:a|r|l|i:e|	ช:า|ร:์|ล|ี|
c:h:a|r:l|i:e|	ช:า|ล|ี|
c:h:a|r|l:i|e:r|	ช:า|ร:์|เ:ล:ี|ย:ร:์|
c:h:a|r|l|o|t:t:e|	ช:า|ร:์|ล|อ|ต|
c:h:a|r|l|o|t|t|e|	ช:า|ร:์|ล|อ|ต|ต|์|
c:h:a|r|l|o|t|t:e|	ช:า|ร:์|ล|อ|ท|เ:ท:อ|
c:h:a|r|l:o|t:t|e:◊:a|m|a|l|i:e|	ช:า|ร:์|ล:็:อ|ต|อ:า|ม|า|ล|ี|
c:h:a|r|l|t|o:n|	ช:า|ร:์|ล|เ:ต|ิ:้:น|
c:h:a|r|m|a|n|	ช:า|ร:์|เ:ม|ิ:่|น|
c:h:a|r|n|e:y|	ช:า|ร:์|น|ี:ย:์|
c:h:a|r|n|i|a:n|	ช:า|ร:์|เ:น|ี:ย|น|
c:h:a|r|n|w:o:o|d|	ช:า|ร:์|น|ว:ู|ด|
c:h:a|r|o|n|	ช:า|ร|อ|น|
c:h:a|r|r:e|t:t:e|	แ:ช|ร:์|เ:ร:็|ต|
c:h:a|r:r:o|n|	เ:ช|เ:ร|ิ:้:น|
c:h:a|r|t|	ช:า|ร:์|ต|
c:h:a|r|t:e|r|	ช:า|ร:์|เ:ต:อ|ร:์|
c:h:a|r|t:e|r|i|s|	ช:า|ร:์|เ:ต:อ|ร|ิ|ส|
c:h:a|r|t|i|s:m|	ช:า|ร:์|ท|ิ|ส:ต:์|
c:h:a|r|t|i|s|t|	ช:า|ร:์|ท|ิ|ส|ต:์|
c:h:a|r|t|i|s|t|s|	ช:า|ร:์|ท|ิ|ส|ต|์|
c:h:a|r|t|r|a|n:d|	ช:า|ร:์|เ:ท|ร|ิ:่|น:ด:์|
c:h:a|r|t:s|	ช:า|ร:์|ต|
c:h:a|r|t|w:e|l:l|	ช:า|ร|์:ต:เ|ว|ล:ล:์|
c:h:a|s|	แ:ช|ส|
c:h:a|s:e|	เ:ช|ส|
c:h:a|s|e:n|	เ:ช|เ:ซ|ิ:่:น|
c:h:a|s|s:i:s|	แ:ช|ส|ซ:ี|
c:h:a|s|s|i|s|	แ:ช|ส|ซ|ี|่|
c:h:a|t|a|w:a|y|	แ:ช|็:ต:เ|ต|อ:เ:ว|ย:์|
c:h:a|t:e|r|	เ:ช|เ:ต:อ|ร:์|
c:h:a|t|f:i:e|l|d|	แ:ช|็:ต|ฟ:ิ|ล|ด:์|
c:h:a|t:h:a|m|	แ:ช|แ:ธ|ม|
c:h:a|t|m:a|n|	แ:ช|็:ต|เ:ม:ิ|น|
c:h:a|t|t|	แ:ช|ต|ต:์|
c:h:a|t|t|e:n|	แ:ช|็:ต|เ:ท|ิ:่:น|
c:h:a|t|t:e|r:s|	แ:ช|็:ต:เ|ท|อ:ร:์|
c:h:a|t|t:e|r|t|o:n|	แ:ช|ต|เ:ต:อ|ร:์|เ:ต|ิ:้:น|
c:h:a|t|t|i|n|	แ:ช|็:ต|ต|ิ|น|
c:h:a|t|w|i|n|	แ:ช|็:ต|ว|ิ|น|
c:h|a:u|c:e|r|,:◊|g:e:o|f|f|r|e:y|	ช|อ|เ:ซ:อ|ร|์:,:◊|เ:จ|ฟ|ฟ|ร|ี:ย:์|
c:h:a|v:e|	เ:ช|ฟ|
c:h:a|v:e|s|	เ:ช|ฟ|ส:์|
c:h|a|v:e|z|	ช|า:เ|ว|ส|
c:h:a|y:e:s|	เ:ช|ส|
c:h:e|a:p:e|	ช:ิ|๊:ป|
c:h:e|a|t:h:a|m|	ช:ี|ต|เ:ท|ิ:่:ม|
c:h:e|c:h|i|	เ:ช|ก|ี:้|
c:h:e|c:h|l|e:y|	เ:ช|ก|ล|ี:ย:์|
c:h:e|c|k|	เ:ช|็|ก|
c:h:e|c|k|	เ:ช|็|ค|
c:h:e|c:k:◊|i|n|	เ:ช|็:ก|อ:ิ|น|
c:h:e|c:k:◊|o:u|t|	เ:ช|็:ก|เ:อ:า|ต:์|
c:h:e|c:k:-|i|n|	เ:ช|็:ก|อ:ิ|น|
c:h:e|d|d|a|r|	เ:ช|ด|ด|า|ร:์|
c:h|e:e|k|	ช|ี|ก|
c:h:e|e|r|	เ:ช|ี:ย|ร:์|
c:h:e|e|r|l:e:a|d:e|r|	เ:ช|ี:ย|ร:์|ล:ี|ด:เ:ด|อ:ร:์|
c:h:e|e|r|l:e:a|d:e|r:s|	เ:ช|ี:ย|ร:์|ล:ี|ด:เ:ด|อ:ร:์|
c:h:e|e|r|s|	เ:ช|ี:ย|ร:์|ส|
c:h|e:e|s:e|	ช|ี|ส|
c:h|e:e|s:e|c:a|k:e|	ช|ี|ส|เ:ค:้|ก|
c:h|e:e|s:e|m:a|n|	ช|ี|ส|เ:ม:ิ|น|
c:h:e|e|t:h:a|m|	ช:ี|ต|เ:ท|ิ:่:ม|
c:h|e:e|v:e|r|	ช|ี|เ:ว:อ|ร:์|
c:h:e|f|	เ:ช|ฟ|
c:h:e|f:f|	เ:ช|ฟ|
c:h:e|k|a|	เ:ช|ก|า|
c:h:e|k:e|	ช:ิ|ก|
c:h:e|k:h:o|v|,|◊|a|n|t|o|n|	เ:ช|ค:อ|ฟ|,|◊|แ:อ|น|ต|ั|น|
c:h:e|l|s:e:a|	เ:ช|ล|ซ:ี|
c:h:e|l|t|o:n|	เ:ช|ล|เ:ต|ิ:้:น|
c:h:e|m:o|	ค|ี:โ:ม|
c:h:e|m:o:s|t|a|t|	ค:ี|โ:ม|ส|แ|ต:ต|
c:h:e|m:o:t|r:o|p:h:s|	ค:ี|โ:ม|โ:ท:ร|ฟ|
c:h:e|n:e|r|y|	เ:ช|อ:เ:น|อ:ร|ี:่|
c:h:e|n:e|y|	เ:ช|น|ี:่|
c:h:e|n|o|w|e|t:h|	เ:ช|เ:น|า|ว|เ:อ|ท|
c:h:e|q:u:e|	เ:ช|็:ค|
c:h:e|r|n|i|n|	เ:ช|อ:ร:์|น|ิ|น|
c:h:e|r|n|o|f:f|	เ:ค|อ:ร:์|น|อ|ฟ|
c:h:e|r|n:o|z:e|m|	เ:ช|อ:ร:์|โ:น:เ|ซ|ม|
c:h:e|r|o:k:e|e|	เ:ช|โ:ร|ก|ี|
c:h:e|r|r:y|◊:b:r|a:n|d|y|	เ:ช|อ:ร:์|ร:ี:่|บ:ร|ั:่:น|ด|ี|
c:h:e|r|t|	เ:ช|ิ:ร:์|ต|
c:h:e|r|u|b|	เ:ช|ร|ั|บ|
