a:'|m|a|r|i:e|	ಅ|ಮ|ಾ|ರ|ೀ|
d|a|k|o|r|	ಡ|ಾ|ಕ|ೊ|ರ:್|
d:a|k|s|h:a|	ದ|ಕ|್|ಷ|
d|a|k|s:h|a|y:a|n|i|	ದ|ಾ|ಕ:್|ಷ|ಾ|ಯ|ನ|ಿ|
b:h|u|p:a|t|	ಭ|ೂ|ಪ|ತ:್|
b|i|j|l|e:e|	ಬ|ಿ|ಜ|ಲ|ಿ|
h|i|m|m:a|t|w|a|l|i|	ಹ|ಿ|ಮ:್|ಮ|ತ:್|‌:ವ|ಾ|ಲ|ಿ|
d:a|l|a|l|	ದ|ಲ|ಾ|ಲ:್|
d|a|l:a|u|d|a|	ದ|ಾ|ಲ|ಾ|ದ|ಾ|
d:a|l|e|l|	ದ|ಲ|ೆ|ಲ:್|
d:a|l|e|l|n|a:g|a|r|	ದ|ಲ|ೆ|ಲ:್|‌:ನ|ಗ|ರ|್|
d:a|l|e|r|	ದ|ಲ|ೆ|ರ:್|
d:a|l|e|v|i|l:l|e|	ದ|ಲ|ೆ|ವ|ಿ|ಲ|್|
d:a|l|i|a|	ದ|ಲ|ಿ|ಯ:ಾ|
d:a|l|i|l|a|	ದ|ಲ|ಿ|ಲ|ಾ|
d:a|l|i|y|a|	ದ|ಲ|ಿ|ಯ|ಾ|
d:a|l|k|h|a|i|	ದ|ಲ:್|ಕ|ಾ|ಹ|ಯ:್|
d|a|l|m|a|u|	ದ|ಾ|ಲ|ಮ|ಾ|ವ:್|
d:a|l|m|e|r|a|	ದ|ಲ:್|ಮ|ೇ|ರ|ಾ|
d|a|l|m|i|a|	ಡ|ಾ|ಲ:್|ಮ|ಿ|ಯ:ಾ|
c|e|m|e|n|t|	ಸ|ಿ|ಮ|ೆ|ಂ|ಟ:್|
d:a|l|p:a|t|p|u|r|	ದ|ಲ|ಪ|ತ:್|‌:ಪ|ು|ರ:್|
d:a|m|a|r|a|	ಡ|ಮ|ಾ|ರ|ಾ|
d:a|m|a|s|c:u|s|	ದ|ಮ|ಾ|ಸ:್|ಕ|ಸ:್|
d:a|m|e:e|r|	ದ|ಮ|ೀ|ರ:್|
d|a|m|i|a|	ಡ|ಾ|ಮ|ಿ|ಯ:ಾ|
d:a|m|i:e|n|	ಡ|ಮ|ೈ|ನ:್|
m|a|r|t|y|n|	ಮ|ಾ|ರ:್|ಟ|ಿ|ನ:್|
d|a|m|i|n|i|	ದ|ಾ|ಮ|ಿ|ನ|ಿ|
d:a|m|m|i|k:a|	ಡ|ಮ:್|ಮ|ಿ|ಕ|
p|r:a|s|a|d|	ಪ:್|ರ|ಸ|ಾ|ದ:್|
d|a|m|o:h|	ಡ|ಾ|ಮ|ೋ|
d|a|n|	ಡ|ಾ|ನ:್|
c:u|l|l:e|n|	ಕ|ಲ:್|ಲ|ನ:್|
d|a|v|i|d|	ಡ|ೇ|ವ|ಿ|ಡ:್|
q|u|a|y|l|e|	ಕ|್:ವ|ಾ|ಯ:್|ಲ|ೇ|
d|a|n|a|	ದ|ಾ|ನ|ಾ|
p|a|n|i|	ಪ|ಾ|ನ|ಿ|
d|a|n|c|e|	ಡ|ಾ|ನ:್|ಸ|್|
d:a|n|d|i|y|a|	ದ|ಂ|ಡ|ಿ|ಯ|ಾ|
d|a|n|e|	ಡ|ೇ|ನ|್|
d:a|n|g|a|	ದ|ಂ|ಗ|ಾ|
f:a|s|a|d|	ಫ|ಸ|ಾ|ದ:್|
d|a|n|i|e|l|	ಡ|ೇ|ನ|ಿ|ಯ|ಲ:್|
p|a|t|r|i:c|k|	ಪ:್|ಯ:ಾ|ಟ:್|ರ|ಿ|ಕ:್|
m|o|y|n|i|h|a|n|	ಮ|ೋ|ಯ:್|ನ|ಿ|ಹ|ಾ|ನ:್|
v|e|t|t|o|r|i|	ವ|ೆ|ಟ:್|ಟ|ೋ|ರ|ಿ|
d|a|n|i|s|h|	ಡ:್|ಯ:ಾ|ನ|ಿ|ಶ|್|
k:a|n|e|r|i|a|	ಕ|ನ|ೇ|ರ|ಿ|ಯ:ಾ|
d|a|n|n|i:e|	ಡ:್|ಯ|ಾ|ನ|ಿ|
h:e|i|n|e|m:a|n|	ಹ|ೈ|ನ|ೆ|ಮ|ನ:್|
d|a|n|n|i|e|l|l|	ಡ:್|ಯ|ಾ|ನ|ಿ|ಯ|ಲ|್|
d|a|n|n|y|	ಡ:್|ಯ|ಾ|ನ|ಿ|
s|a:w|y:e|r|	ಸ|ಾ|ಯ|ರ:್|
d|a|n|o|n|e|	ಡ|ೆ|ನ|ೊ|ನ|ೆ|
f|o|r|	ಫ|ಾ|ರ:್|
n|u|t|r|i|t:i|o|n|	ನ:್|ಯ:ೂ|ಟ:್|ರ|ೀ|ಶ|ನ|್|
d|a|n|s|k|e|	ದ|ಾ|ನ:್|ಸ:್|ಕ|ೆ|
d|a|n|t|e|w|a|d:a|	ಡ|ಾ|ಂ|ಟ|ೆ|ವ|ಾ|ಡ|
d|a|n|w:a|r|	ದ|ಾ|ನ|ವ|ರ:್|
d|a|n|z:o|n|	ಡ:್|ಯ:ಾ|ನ:್|ಸ|ನ:್|
d|a|p|e|n|g|	ದ|ಾ|ಪ|ೆ|ಂ|ಗ:್|
d|a|p|o|d|i|	ದ|ಾ|ಪ|ೋ|ದ|ೀ|
d|a|r|a|	ದ|ಾ|ರ|ಾ|
d:a|r:a|b:a|a|r|	ದ|ರ|ಬ|ಾ|ರ:್|
d|a|r|a|b|u|k:a|	ಡ|ಾ|ರ|ಾ|ಬ|ು|ಕ|
d|a|r|a|g:a|n|j|	ದ|ಾ|ರ|ಾ|ಗ|ಂ|ಜ:್|
d|a|r:a|k|h|s:h|a:a|n|	ದ|ಾ|ರ|ಕ|್|ಷ|ಾ|ನ:್|
d:a|r|b|a|n|	ದ|ರ|ಬ|ಾ|ನ:್|
d:a|r|b:h|a|g:a|	ದ|ರ:್|ಭ|ಾ:ಂ|ಗ|
d:a|r|b:h|a|n|g|a|	ದ|ರ|ಭ|ಾ|ಂ|ಗ|ಾ|
d|a|r|c|i:e|	ದ|ಾ|ರ:್|ಸ|ಿ|
d:a|r|d|	ದ|ರ:್|ದ:್|
d:a|r|e|h|	ದ|ರ|ೆ|ಹ:್|
d:a|r|e|n|a|	ಡ|ರ|ೇ|ನ|ಾ|
d:a|r|i|a|	ಡ|ರ|ಿ|ಯ:ಾ|
d|a|r|k|	ಡ|ಾ|ರ:್|ಕ:್|
s|t|r|e:e|t|	ಸ:್|ಟ:್|ರ|ೀ|ಟ:್|
d|a|r|l|a|	ದ|ಾ|ರ:್|ಲ|ಾ|
d:a|r|n|a|r|i|k|	ದ|ರ|ನ|ಾ|ರ|ಿ|ಕ:್|
d|a|r|n|e|l|l|	ಡ|ಾ|ರ:್|ನ|ೆ|ಲ|್|
d:a|r|p:a|d|	ದ|ರ:್|ಪ|ದ:್|
d|a|r:r|e|n|	ಡ|ಾ|ರ|ೆ|ನ:್|
d|a|r|r|i|n|	ಡ:್|ಯ|ಾ|ರ|ಿ|ನ:್|
m|u|r:r|a:y|	ಮ|ು|ರ|ೇ|
d|a|r:r|i|t|o|l|a|	ದ|ಾ|ರ|ೀ|ತ|ೋ|ಲ|ಾ|
d:a|r:r|y|l|	ಡ|ರ|ೆ|ಲ:್|
b|r|o:w|n|	ಬ:್|ರ|ೌ|ನ:್|
d:a|r|s|h|	ದ|ರ:್|ಶ|್|
d:a|r|s:h|a:n|a|	ದ|ರ:್|ಶ|ಣ|ಾ|
d|a|r|w|i|n|	ಡ|ಾ|ರ:್|ವ|ಿ|ನ:್|
d|a|r|y|l|l|	ಡ|ೆ|ರ|ಿ|ಲ|್|
c:u|l:l|i|n:a|n|	ಕ|ಲ|ಿ|ನ|ನ:್|
d|a|s|h|	ಡ:್|ಯ:ಾ|ಶ|್|
d:a|s:h|a:r|a:t|h|	ದ|ಶ|ರ|ತ|್|
d:a|s:h|a:r|h|	ದ|ಶ|ರ|ಾ|
d:a|s:h|a:s|y:a|j|i|t|	ದ|ಶ|ಾ|ಯ|ಜ|ಿ|ತ:್|
d:a|s:h|a|v|t|a|r|	ದ|ಶ|ಾ|ವ|ತ|ಾ|ರ:್|
d:a|s:h|e:h|r|a|	ದ|ಶ|ಹ|ರ|ಾ|
d|a|s:h|e|r|	ಡ:್|ಯ:ಾ|ಶ|ರ|್|
d:a|s|n|a|	ದ|ಸ|ನ|ಾ|
d:a|s|s:a|u|l|t|	ದ|ಸ:್|ಸ|ಾ|ಲ:್|ಟ:್|
d:a|s|u|h|a|	ದ|ಸ|ೂ|ಹ|ಾ|
d:a|s|u|y|a|	ದ|ಸ|ು|ಯ|ಾ|
d|a|t:h|e:r|i|n|e|	ದ|ಾ|ಥ|ರ|ೇ|ನ|್|
d|a|t|i|a|	ದ|ಾ|ತ|ಿ|ಯ:ಾ|
d:a|t|t|a|	ದ|ತ:್|ತ|ಾ|
d:a|u|l:a|t|a|b|a|d|	ದ|ೌ|ಲ|ತ|ಾ|ಬ|ಾ|ದ:್|
d:a|u|n|d|	ದ|ೌ|ನ:್|ದ:್|
d:a|u|r|a|i|	ದ|ೌ|ರ|ಾ|ಯ:್|
d:a|u|r|a|l|a|	ದ|ೌ|ರ|ಾ|ಲ|ಾ|
d:a|u|r:a|m|	ದ|ೌ|ರ|ಂ|
m:a|d|h|p|u|r|a|	ಮ|ಧ|್|ಪ|ು|ರ|ಾ|
d:a|u|s|n|i|	ದ|ೌ|ಸ:್|ನ|ಿ|
d|a|v|e|	ಡ|ೇ|ವ|್|
c:a|l|l:a|g:h|a|n|	ಕ|ಾ|ಲ|ಘ|ನ|್|
g|i|l|b:e|r|t|	ಗ|ಿ|ಲ:್|ಬ|ರ:್|ಟ:್|
h:o|u:g|h:t|o|n|	ಹ|ೌ|ಟ|ನ|್|
m|o|h:a|m|m:e|d|	ಮ|ೊ|ಹ|ಮ:್|ಮ|ದ:್|
r|i|c:h|a|r|d|s:o|n|	ರ|ಿ|ಚ|ರ|್|ಡ:್|ಸ|ನ:್|
b|r:a|i|n|	ಬ:್|ರ|ೈ|ನ:್|
c|a|p|e|l|	ಕ|ೇ|ಪ|ೆ|ಲ:್|
c:h|a|p|e|l|	ಚ|ಾ|ಪ|ೆ|ಲ:್|
m:i|s:s|i:o|n:a|r|y|	ಮ|ಿ|ಶ|ನ|ರ|ಿ|
h|e|y|n|	ಹ|ೇ|ಯ:್|ನ:್|
h|o:o|k|e|s|	ಹ|ೂ|ಕ|್|ಸ:್|
m|u|t|e|n|d:e|r|a|	ಮ|ು|ಟ|ೆ|ಂ|ಡ|ರ|ಾ|
t:e|r|b|r:u|g:g|e|	ಟ|ರ:್|ಬ:್|ರ|ಗ|್|
t|i|k|o|l|o|	ಟ|ಿ|ಕ|ೊ|ಲ|ೊ|
d|a|v|i|d|s:o|n|	ಡ|ೇ|ವ|ಿ|ಡ:್|ಸ|ನ:್|
d:a|v|i|n|a|	ಡ|ವ|ಿ|ನ|ಾ|
d|a|v|i|s|	ಡ|ೇ|ವ|ಿ|ಸ:್|
d|a|v|p|e|c|h|	ದ|ಾ|ವ|ಪ|ೆ|ಚ|್|
d|a|w|l:a|h|	ದ|ಾ|ವ:್|ಲ|ಾ|
d:a|w|l:a|t|	ದ|ೌ|ಲ|ತ:್|
d|a|w|s:o|n|	ಡ|ಾ|ವ:್|ಸ|ನ:್|
d:a|y|a|n:a|n|d|	ದ|ಯ|ಾ|ನ|ಂ|ದ|
d|a|y|l|e|	ಡ|ೇ|ಯ:್|ಲ|್|
h|a|d|l|e:e|	ಹ:್|ಯ:ಾ|ಡ:್|ಲ|ೀ|
d:a|y|t:o|n|	ಡ|ೇ|ಟ|ನ:್|
i|n|s|t|i|t|u|t|e|	ಇ|ನ:್|ಸ:್|ಟ|ಿ|ಟ:್|ಯ:ೂ|ಟ|್|
r|u|y:t|e|r|	ರ|ೂ|ಥ|ರ|್|
d|e:a|b|i|a|	ದ|ೀ|ಬ|ಿ|ಯ:ಾ|
d|e:a|c:o|n|	ಡ|ೀ|ಕ|ನ:್|
d|e:a|n|	ಡ|ೀ|ನ:್|
d|e|a:n|d|r|a|	ಡ|ೆ|ಂ|ಡ:್|ರ|ಾ|
d|e|b|r|a|	ಡ|ೆ|ಬ:್|ರ|ಾ|
w|i|n|g:e|r|	ವ|ಿ|ಂ|ಗ|ರ:್|
d|e|c|c:a|n|	ಡ|ೆ|ಕ:್|ಕ|ನ:್|
c|h|r|o|n|i|c|l|e|	ಕ|್|ರ|ಾ|ನ|ಿ|ಕ|ಲ|್|
h|e|r|a|l|d|	ಹ|ೆ|ರ|ಾ|ಲ:್|ಡ:್|
d|e|c|l|a|n|	ಡ|ೆ|ಕ:್|ಲ|ೇ|ನ:್|
d|e|c|t|r|o|n|	ಡ|ೆ|ಕ:್|ಟ:್|ರ|ಾ|ನ:್|
d|e|d|a|l|o|	ಡ|ಿ|ಡ|ಾ|ಲ|ೊ|
d|e:e|d|a|r|	ದ|ೀ|ದ|ಾ|ರ:್|
e|	ಎ|
y:a|a|r|	ಯ|ಾ|ರ:್|
d|e:e|k|s:h|a:a|p:a|t|i|	ದ|ೀ|ಕ:್|ಷ|ಾ|ಪ|ತ|ಿ|
d|e:e|n|	ದ|ೀ|ನ:್|
i|m|a|n|	ಇ|ಮ|ಾ|ಮ:್|
d|e:e|n:a|b:a|n|d:h|u|	ದ|ೀ|ನ|ಬ|ಂ|ಧ|ು|
d|e:e|p:a|b|a|l|i|	ದ|ೀ|ಪ|ಬ|ಾ|ಲ|ಿ|
d|e:e|p:a|k|	ದ|ೀ|ಪ|ಕ:್|
d|e:e|p:a|n|	ದ|ೀ|ಪ|ನ:್|
d|e:e|p:a|n|k:a|r|	ದ|ೀ|ಪ|ಂ|ಕ|ರ:್|
d|e:e|p|a|n|w|i|t:a|	ದ|ೀ|ಪ|ಾ|ನ:್|ವ|ಿ|ತ|
d|e:e|p|e|n|d|u|	ದ|ೀ|ಪ|ೇ|ಂ|ದ|ು|
d|e:e|p|t|e|n|d|u|	ದ|ೀ|ಪ:್|ತ|ೇ|ಂ|ದ|ು|
d|e:e|p|t|i|k|a|n|a|	ದ|ೀ|ಪ:್|ತ|ಿ|ಕ|ಾ|ನ|ಾ|
d|e:e|p|t|i|m|o|y|	ದ|ೀ|ಪ:್|ತ|ಿ|ಮ|ಯ|ಿ|
d|e:e|r|e|	ಡ|ೀ|ರ|ಿ|
d|e:e|r|g:h|a:r|a:a|g:a|a|	ದ|ೀ|ರ:್|ಘ|ರ|ಾ|ಗ|ಾ|
d|e:e|v:a|a|n|	ದ|ೀ|ವ|ಾ|ನ:್|
d|e:e|w|a|n|a|	ದ|ೀ|ವ|ಾ|ನ|ಾ|
d|e:e|w|a|n|g|e:e|	ದ|ೀ|ವ|ಾ|ನ|ಗ|ೀ|
d|e|h|l|o|	ದ|ೆ|ಹ:್|ಲ|ೋ|
d|e|h|r|a|b|a|d|	ದ|ೆ|ಹ:್|ರ|ಾ|ಬ|ಾ|ದ:್|
d|e|h|r|i|	ದ|ೆ|ಹ|ರ|ೀ|
o|n|	ಆ|ನ:್|
s|o|n|e|	ಸ|ೋ|ನ|ಿ|
d:e|i|d|r|a|	ಡ|ಿ|ಡ:್|ರ|ಾ|
d:e|i|t:e|r|	ಡ|ೀ|ಟ|ರ:್|
d|e|k|a|p:a|m|	ಡ|ೆ|ಕ|ಾ|ಪ|ಮ:್|
d|e|l|a|w|a|r|e|	ಡ|ೆ|ಲ|ಾ|ವ|ೆ|ರ|್|
d|e|l|h:a|i|z|e|	ಡ|ೆ|ಲ:್|ಹ|ೈ|ಜ|್|
d|e|l|h|i|	ದ|ೆ|ಲ|್|ಲ:ಿ|
d|e|l|i|a|	ದ|ೆ|ಲ|ಿ|ಯ:ಾ|
d|e|l|l|a|	ಡ|ೆ|ಲ:್|ಲ|ಾ|
d|e|l|m|a|r|v:a|	ಡ|ೇ|ಲ:್|ಮ|ಾ|ರ:್|ವ|
d|e|l|o|r|a|	ಡ|ೆ|ಲ|ೇ|ರ|ೊ|
d|e|l|ph|i|	ಡ|ೆ|ಲ:್|ಫ|ಿ|
d|e|l|ph|i|n|a|	ಡ|ೆ|ಲ:್|ಫ|ಿ|ನ|ಾ|
d|e|l|r|a|n|	ಡ|ೆ|ಲ:್|‌|ರ|ನ:್|
d|e|l|t|a|	ಡ|ೆ|ಲ:್|ಟ|ಾ|
g:a|l|i|l|	ಗ|ಲ|ೀ|ಲ:್|
d|e|l|v|a|d|a|	ದ|ೆ|ಲ|ವ|ಾ|ಡ|ಾ|
d|e|m|e|t|r|i|a|	ಡ|ೆ|ಮ|ಿ|ಟ:್|ರ|ಯ|ಾ|
d|e|n|a|	ದ|ೇ|ನ|ಾ|
d|e|n|e|s|h|	ದ|ೇ|ನ|ೆ|ಶ|್|
r|a|m|d|i|n|	ರ|ಾ|ಮ:್|ದ|ಿ|ನ:್|
d|e|n|i|s|	ಡ|ೆ|ನ|ಿ|ಸ:್|
a|b:e|r|h:a|r|t|	ಅ|ಬ|ರ|ಾ|ರ:್|ಟ:್|
d|e|n|i|s|e|	ಡ|ೆ|ನ|ೈ|ಸ|್|
d|e|n:n|i|s|	ಡ|ೆ|ನ|ಿ|ಸ:್|
r|o|d|m:a|n|	ರ|ಾ|ಡ:್|ಮ|ನ:್|
d|e|o|	ಡ|ಿ|ಯ:ೊ|
d|e|o|b:a|n|d|	ಡ|ಿ|ಯ:ೋ|ಬ|ಂ|ದ:್|
d|e|o|l|	ಡ|ಿ|ಯ:ೊ|ಲ:್|
d|e|o|r|i|a|	ಡ|ಿ|ಯ:ೋ|ರ|ಿ|ಯ:ಾ|
s:a|d:a|r|	ಸ|ದ|ರ:್|
d|e|p:a|l|s:a|r|	ದ|ೆ|ಫ|ಲ|ಸ|ರ:್|
d|e|p|i|n|d:e|r|	ದ|ಿ|ಪ|ಿ|ಂ|ದ|ರ:್|
d|e|r|a|w:a|r|	ದ|ೆ|ರ|ಾ|ವ|ರ:್|
d|e|r|e|k|	ಡ|ೆ|ರ|ೆ|ಕ:್|
c|r|o:o|k|e|s|	ಕ:್|ರ|ೂ|ಕ|್|ಸ:್|
s|t:i|r|l|i|n|g|	ಸ:್|ಟ|ರ:್|ಲ|ಿ|ಂ|ಗ:್|
d|e|r|i|c|a|	ಡ|ೆ|ರ|ಿ|ಕ|ಾ|
d|e|r|i:c|k|	ಡ|ೆ|ರ|ಿ|ಕ:್|
p|a|r|r|y|	ಪ:್|ಯ|ಾ|ರ|ಿ|
d|e|r:r|o|n|	ಡ|ೆ|ರ|ೋ|ನ:್|
d|e|r|y|c|k|	ಡ|ೆ|ರ|ಿ|ಕ|್|
d|e|s|c|a|r|t|e|s|	ಡ|ೆ|ಸ:್|ಕ|ಾ|ರ:್|ಟ|ಿ|ಸ:್|
d|e|s|d|e|m|o|n|a|	ಡ|ೆ|ಸ|್|ಟ:ೆ|ಮ|ೊ|ನ|ಾ|
d|r|o|h|i|	ದ:್|ರ|ೋ|ಹ|ಿ|
d|u|s:h|m|a:n|n|	ದ|ು|ಶ|್:ಮ|ನ|್|
s:h|a:t|r|u|	ಶ|ತ|್:ರ|ು|
d|e|s:h|p|a|n|d|e|	ದ|ೇ|ಶ|ಪ|ಾ|ಂ|ಡ|ೆ|
d|e|s|m|o|n|d|	ಡ|ೆ|ಸ:್|ಮ|ೊ|ಂ|ಡ:್|
d|e|s|p|i|n|a|	ಡ|ೆ|ಸ:್|ಪ|ಿ|ನ|ಾ|
d|e|s|t|i|n|y|	ಡ|ೆ|ಸ:್|ಟ|ಿ|ನ|ಿ|
d|e|s|w|e|l|l|	ಡ|ೆ|ಸ:್|ವ|ೆ|ಲ|್|
d|e|t|e|c|t|i|v|e|	ಡ|ಿ|ಟ|ೆ|ಕ:್|ಟ|ಿ|ವ|್|
d|e|u|e|l|	ಡ|ಿ|ಯ|ೊ|ಲ:್|
d|e|u|t|s|c|h|e|r|	ಡ:್|ಯ|ೂ|ಟ:್|ಸ|್:‌|ಚ|ೆ|ರ:್|
s|p|i:e|l|e|	ಸ:್|ಪ|ೈ|ಲ|್|
p|r|e|i|s|	ಪ:್|ರ|ೆ|ಯ:ಿ|ಸ:್|
d|e|v|	ದ|ೆ:ವ|್:್|
g:a|a|y:a|k|	ಗ|ಾ|ಯ|ಕ:್|
k|u|m|a|r|	ಕ|ು|ಮ|ಾ|ರ:್|
d|e|v:a|b|r:a|t|a|	ದ|ೆ|ವ|ಬ:್|ರ|ತ|ಾ|
d|e|v:a|d:u|t|t|	ದ|ೇ|ವ|ದ|ತ:್|ತ|
d|e|v|a|h|u|t|i|	ದ|ೇ|ವ|ಾ|ಹ|ು|ತ|ಿ|
d|e|v:a|j|y|o|t|i|	ದ|ೇ|ವ|ಜ:್|ಯ|ೋ|ತ|ಿ|
d|e|v:a|k|	ದ|ೇ|ವ|ಕ:್|
d|e|v:a|k|o|t:t|a:i|	ದ|ೇ|ವ|ಕ|ೋ|ಟ|ೈ|
d|e|v:a|m:a|t|	ದ|ೇ|ವ|ಮ|ತ:್|
d|e|v|a|n|g|	ದ|ೇ|ವ|ಾ|ಂ|ಗ:್|
g|a|n|d:h|i|	ಗ|ಾ|ಂ|ಧ|ಿ|
d|e|v:a|r|	ದ|ೇ|ವ|ರ:್|
b:h|a|b|i|	ಭ|ಾ|ಭ|ೀ|
d|e|v:a|r|s|i|	ದ|ೇ|ವ|ರ:್|ಶ|ೀ|
d|e|v:a|s:h|e:e|s|h|	ದ|ೇ|ವ|ಶ|ೀ|ಶ|್|
d|e|v:a|s:h|i|s|h|	ದ|ೇ|ವ|ಶ|ೀ|ಶ|್|
d|e|v|a|s|t:a|t|i:o|n|	ಡ|ೆ|ವ|ಾ|ಸ:್|ಟ|ೇ|ಶ|ನ:್|
d|e|v:a|s|t:h|a:l|i|	ದ|ೇ|ವ|ಸ:್|ಥ|ಳ|ಿ|
d|e|v:a|v:a|r|y:a|	ದ|ೇ|ವ|ವ|ರ:್|ಯ|
d|e|v:a|y|u|s|h|	ದ|ೇ|ವ|ಯ|ು|ಶ|್|
d|e|v|d:h|a|r|k:a|r|	ದ|ೇ|ವ|ಧ|ರ|್|ಕ|ರ:್|
d|e|v|d:u|t|t|a|	ದ|ೇ|ವ|ದ|ತ:್|ತ|ಾ|
d|e|v|e:e|	ದ|ೇ|ವ|ೀ|
d|e|v|e|s|h|	ದ|ೇ|ವ|ೇ|ಶ|್|
d|e|v|e|s|h|w:a|r|	ದ|ೇ|ವ|ೇ|ಶ|್|ವ|ರ:್|
d|e|v|g|i|r|i|	ದ|ೇ|ವ|ಗ|ಿ|ರ|ಿ|
d|e|v|i|l|a|l|	ದ|ೇ|ವ|ಿ|ಲ|ಾ|ಲ:್|
d|e|v|i|n|d:e|r|	ದ|ೇ|ವ|ೀ|ಂ|ದ|ರ:್|
d|e|v|i|n|d:e|r|p|a|l|	ದ|ೇ|ವ|ೀ|ಂ|ದ|ರ:್|‌:ಪ|ಾ|ಲ:್|
d|e|v|l|i|n|	ಡ|ೆ|ವ:್|ಲ|ಿ|ನ:್|
d|e|v|n|a|t|h|	ದ|ೇ|ವ|ನ|ಾ|ಥ|್|
d|e|v|p|u|r|a|	ದ|ೇ|ವ|ಪ|ು|ರ|ಾ|
d|e|v|t|a|	ದ|ೇ|ವ|ತ|ಾ|
d|e|v:v|r:a|t|	ದ|ೇ|ವ|ರ|ತ:್|
d|e|w:a|n|g|a:n|j|	ದ|ೇ|ವ|ನ:್|‌:ಗ|ಂ|ಜ:್|
d|e|w|a|s|	ದ|ೇ|ವ|ಾ|ಸ:್|
d|e|w|i|t|t|	ಡ|ೆ|ವ|ಿ|ಟ|್|
d|e|x|i|a|	ಡ|ೆ|ಕ:್|ಸ:್|ಯ:ಾ|
d:h|a|a:n|e|s|h|	ಧ|ಾ|ನ|ೇ|ಶ|್|
d:h|a|b:a|n|	ಧ|ಾ|ಬ|ನ:್|
d:h|a|d|h|r|i|a|	ಢ|ಾ|ಡ|್|ರ|ಿ|ಯ:ಾ|
d:h|a:d|i|a|l|	ಢ|ಡ|ಿ|ಯ:ಾ|ಲ:್|
d:h|a:d|k:a|n|	ದ|ಡ|ಕ|ನ:್|
d:h|a|d|v:a|i|w|a|l|e|	ಧ|ಾ|ಡ:್|ವ|ೈ|ವ|ಾ|ಲ|ೆ|
d:h|a|k|a|	ಢ|ಾ|ಕ|ಾ|
d:h|a|k|i|y:a|h|	ಧ|ಾ|ಕ|ಿ|ಯ|ಾ|
d:h|a|l|e|s|h|w:a|r|i|	ಧ|ಾ|ಲ|ೇ|ಶ|್|ವ|ರ|ಿ|
d:h|a|l|g|a|o|n|	ಧ|ಾ|ಲ|್:‌|ಗ|ಾ:ಂ|ವ:್|
d:h|a:m|a|n|	ಧ|ಮ|ನ|್|
d:h|a|m|i|	ಧ|ಾ|ಮ|ಿ|
d:h|a|m|i|j|a|	ಧ|ಾ|ಮ|ಿ|ಜ|ಾ|
d:h|a:m|k|e:e|	ಧ|ಮ|ಕ|ಿ|
d:h|a:m|o|r|a|	ಧ|ಮ|ೊ|ರ|ಾ|
d:h|a|m|p|u|r|	ಧ|ಾ|ಮ|ಪ|ು|ರ:್|
s|u|g:a|r|	ಶ|ು|ಗ|ರ:್|
d:h|a|m|y:a|l|	ಧ|ಾ|ಮ:್|ಯ|ಲ:್|
d:h|a|n|a|	ಧ|ಾ|ನ|ಾ|
k:h|e|r|l|i|	ಖ|ೆ|ರ|ಲ|ೀ|
d:h|a:n|a:n|j:a|y|	ಧ|ನ|ಂ|ಜ|ಯ|
d:h|a:n|a|r|i|	ಧ|ನ|ಾ|ರ|ೀ|
d:h|a:n|a:s|h|r|i|	ಧ|ನ|ಶ|್|ರ|ೀ|
d:h|a:n|b|a|d|	ಧ|ನ|ಬ|ಾ|ದ:್|
d:h|a:n|d:a|l|	ಥ|ಂ|ದ|ಲ:್|
d:h|a:n|d|a|r|i|	ಧ|ಂ|ಡ|ಾ|ರ|ಿ|
d:h|a:n|e|t|a|	ಧ|ನ|ೆ|ತ|ಾ|
d:h|a:n|i|s|h|t:a|	ಧ|ನ|ಿ|ಷ|್|ಠ|
d:h|a:n|r|a|j|	ಧ|ನ|ರ|ಾ|ಜ:್|
d:h|a:n|y|a|	ಧ|ನ|್|ಯ:ಾ|
d:h|a:r|a:m|	ಧ|ರ|ಂ|
k|a|n|t|a|	ಕ|ಾ|ಂ|ಟ|ಾ|
d:h|a:r|a:m|s:h|e:e|l|	ಧ|ರ|ಂ|ಶ|ೀ|ಲ:್|
d:h|a|r|a|s:h|i|v|k:a|r|	ಧ|ಾ|ರ|ಾ|ಶ|ಿ|ವ|ಕ|ರ:್|
d:h|a|r|i|	ಧ|ಾ|ರ|ೀ|
d:h|a|r|i|w|a|l|	ಧ|ಾ|ರ|ಿ|ವ|ಾ|ಲ:್|
d:h|a|r|m|	ಧ|ರ|್|ಮ:್|
p:a|t|n|i|	ಪ|ತ:್|ನ|ಿ|
d:h|a|r|m|a|	ಧ|ರ|್|ಮ|ಾ|
d:h|a|r|m:a|b|a|d|	ಧ|ರ|್|ಮ|ಬ|ಾ|ದ:್|
d:h|a|r|m|a|n:a|n|d|	ಧ|ರ|್|ಮ|ಾ|ನ|ಂ|ದ:್|
d:h|a|r|m|e|n|d|r:a|	ಧ|ರ|್|ಮ|ೇ|ಂ|ದ:್|ರ|
d:h|a|r|m|p|u|r|	ಧ|ರ|್|ಮ|ಪ|ು|ರ:್|
h|i|m:a|c|h:a|l|	ಹ|ಿ|ಮ|ಾ|ಚ|ಲ:್|
d:h|a:r|t|i|	ಧ|ರ|ತ|ಿ|
k:a|h|e|	ಕ|ಹ|ೆ|
p|u|k|a|r|	ಪ|ು|ಕ|ಾ|ರ:್|
