a:a|	ஆ|
b|a|r|b:a|r|a|	ப|ா|ர:்|ப|ர|ா|
s|t|a|n|w|y|c|k|	ஸ:்|ட|ா|ன:்|வ|ி|க|்|
b|a|r|c|h|i|	ப|ா|ர:்|ச|்|ச:ி|
b|a|r|c|l:a|y|s|	ப|ா|ர:்|க:ி|ள|ே|ஸ:்|
b:a|r|d|d:h|a:m|a|n|	ப|ர:்|த:்|த|ம|ா|ன:்|
b:a|r:e|i|l:l|y|	ப|ர|ே|ல|ி|
b:a|r|g|a|r|h|	ப|ர:்|க|ா|ர|்|
b|a|r|h|a|n|	ப|ா|ர:்|ஹ|ா|ன:்|
b|a|r|h|a|r|w|a|	ப|ா|ர:்|ஹ|ா|ர:்|வ|ா|
b|a|r|i|	ப|ா|ர|ி|
b|r|a|h|m:a|n|	ப:்|ர|ா|ஹ:்|ம|ன:்|
b|a|r|i|n|d|r|a|	ப|ா|ர|ி|ந:்|த:்|ர|ா|
b|a|r|i|u|m|	ப|ே|ர|ி|ய|ம:்|
b:a|r|k:a|a|t|	ப|ர:்|க|ா|த:்|
b:a|r|k:a|n|d|i|	ப|ர:்|க|ன:்|ட|ி|
b:a|r|k|h|a|	ப|ர:்|க|்|க:ா|
b|a|r|k|s|	ப|ா|ர:்|க:்|ஸ:்|
b:a|r|k|u|r|	ப|ர:்|க|ூ|ர:்|
b|a|r|n|e:t|t|	ப|ா|ர:்|ன|ெ|ட:்|
b|a|r|n:e|y|	ப|ா|ர:்|ன|ே|
r|o|g:e|r|s|	ர|ோ|ஜ|ர:்|ஸ:்|
b|a|r|n|s|t|a|b|l|e|	ப|ா|ர:்|ன:்|ஸ:்|ட|ே|ப:ி|ள|்|
b:a|r|o|g|	ப|ர|ோ|க:்|
b:a|r|o:o|d|	ப|ர|ூ|த:்|
b:a|r|p|a|l|i|	ப|ர:்|ப|ா|ல|ி|
b:a|r|p|e|t|a|	ப|ர:்|ப|ே|ட:்|ட:ா|
b|a|r|q|i|	ப|ா|ர:்|க|ி|
b|a|r|r|o:w|	ப|ா|ர:்|ர|ோ|
b|a|r:r|y|	ப|ே|ர|ி|
m:a|n|i|l|o:w|	ம|ன|ி|ல|ோ|
b:a|r|s:a|a|t|	ப|ர:்|ஸ|ா|த:்|
b|a|r|s|i|	ப|ா|ர:்|ஸ|ி|
t:a|k|l|i|	த|க:்|ல|ி|
b|a|r|s|o|i|	ப|ா|ர:்|ச|ோ|ய:்|
b|a|r|u|a|	அ|ப|்:ர|ு|ஆ|
b:a|r|u|n|	ப|ர|ு|ண:்|
b|a|r|u|v|a|	ப|ா|ர|ு|வ|ா|
b|a|r|v|e|	ப|ா|ர:்|வ|ே|
b|a|r|w|a|d|i:h|	ப|ா|ர:்|வ|ா|ட|ி|
b:a|r|z|a|h|	ப|ர:்|ஜ|ா|ஹ:்|
b|a|s|a|b|i|	ப|ர:்|ஸ|ா|ப|ி|
b:a|s:a|n|t|	ப|ச|ந:்|த:்|
p:a|n|c:h|a:m|i|	ப|ஞ:்|ச|ம|ி|
b:a|s:a|v:a|	ப|ச|வ|
s|a|g:a|r|	ச|ா|க|ர:்|
b:a|s|e|r|e|	ப|ச|ே|ர|ே|
h|o:o|r|	ஹ|ூ|ர:்|
b:a|s:h|i|r|	ப|ஷ|ீ|ர:்|
b:a|s:h|i|r:a|h|	ப|ஷ|ீ|ர|ா|
b:a|s|i|m:a|h|	ப|ஸ|ீ|ம|ா|
b|a|s|k:e|t|b|a|l|l|	ப|ே|ஸ:்|க|ட:்|ப|ா|ல|்|
h|a|l|l|	ஹ|ா|ல|்|
f|a|m|e|	ஃ:ப|ே|ம|்|
b|a|s|m:a|t|	ப|ா|ஸ:்|ம|த:்|
b:a|s|r|a|	ப|ஸ:்|ர|ா|
b:a|s|s|i|	ப|ஸ:்|ஸ|ி|
b|a|s|t|a|	ப|ா|ஸ:்|ட|ா|
b:a|s|t:a|r|	ப|ஸ:்|த|ர:்|
b:a|s|t|i|	ப|ஸ:்|த|ி|
b:a|t|a|l|a|	ப|ட:்|ட:ா|ல|ா|
b|a|t|e|s|	ப|ே|ட|்|ஸ:்|
b:a|t|o|n|	ப|த|ோ|ன:்|
b:a|t|o:o|l|	ப|த|ூ|ல:்|
b:a|t|u|	ப|ட|ு|
b|a|t|u|q:u|e|	ப|ா|ட|ு|க|்|
b:a|t|w|a|r|a|	ப|த:்|வ|ா|ர|ா|
b|a|u|d|h|	ப|வ|ு|த|்|
b:a|u|d:h|d:h|	ப|ௌ|த|்|
b|a|w:a|l|	ப|ா|வ|ல:்|
b:a|w|a|n|i|	ப|வ|ா|ன|ி|
k:h|e|r|a|	க|ே|ர|ா|
b|a|w|o:o|	ப|ா|வ|ூ|
b:a|y|a|n|a|	ப|ய|ா|ன|ா|
b|a|y:e|r|	ப|ா|ய|ர:்|
b:a|z|o:o|b:a|n|d|	ப|ஸ|ூ|ப|ந:்|த:்|
b|e:a|s|	ப|ீ|ஸ:்|
b|e:a|v:e|r|h|e|a|d|	ப|ீ|வ|ர:்|ஹ|ெ|ட|்|
b:e|a|v:e|r|t:o|n|	ப|ே|வ|ர:்|ட|ன:்|
b|e|b:u|s|	ப|ே|ப|ஸ:்|
b|e|c:k|'|s|	ப|ெ|க|்|ஸ:்|
f|u|t|u|r|e|s|	ஃ:ப|்:ய|ூ:ச|்:ச|ர|்|ஸ:்|
b|e|d|e|k:a|r|	ப|ெ|த|ே|க|ர:்|
b|e|d|e|t|t|i|	ப|ெ|த|ே|ட:்|ட|ி|
b|e|d|f|o|r|d|	ப|ெ:ட|்:ஃ|ப:்|ப:ோ|ர:்|ட:ு|
b|e|d|i|	ப|ே|ட|ி|
b|e:e|d|	ப|ீ|ட:்|
b|e:e|n|a|	ப|ீ|ன|ா|
b|e:e|r|a|s|i|n|h|	ப|ீ|ர|ா|ச|ி|ங|்|
b|e:e|s|v|i|	ப|ீ|ஸ:்|வ|ி|
s|a|d|i|	ச|ா|த|ி|
b|e|g|u|	ப|ே|க|ு|
s:a|r|a|i|	ச|ர|ா|ய:்|
b|e|g|u|i|n|e|	ப|ெ|க|ு|ய:ி|ன|்|
b|e|g|u|n:a|h|	ப|ெ|க|ு|ன|ா|
q:a|i|d|i|	க|ய:்|த|ி|
b|e|h:a|n|	ப|ெ|ஹ|ன:்|
b|e:h|t|a|g|o|k|u|l|	ப|ே|ட:்|ட:ா|க|ோ|க|ு|ல:்|
b|e|i|j|i:n|g|	ப|ெ|ய:்|ஜ|ி|ங:்|
b|e|k|r|a|r|	ப|ெ|க:்|ர|ா|ர:்|
b|e|l|a|	ப|ே|ல|ா|
t|a|l|	த|ா|ல:்|
b|e|l|f|a|s|t|	ப|ெ|ல|்:ப|ா|ஸ:்|ட:்|
b|e|l|g|i|u|m|	ப|ெ|ல:்|ஜ|ி|ய|ம:்|
b|e|l|i|s|a|r|i|o|	ப|ெ|ல|ி|ச|ா|ர|ி|ய:ோ|
d|o|m|i|n|g|u|e|z|	ட|ோ|ம|ி|ன:ி|க:்|வ|ெ|ஸ:்|
h|o|n:o|r|	ஹ|ா|ன|ர:்|
b|e|l|l|e|v|u:e|	ப|ெ|ல:்|ல|ே|வ|ு|
b|e|l|l|s:o|u|t|h|	ப|ெ|ல|்|ச|ௌ|த|்|
b|e|l|t:h|a|r|a|	ப|ே|ல:்|த|ா|ர|ா|
b|e|n|b|o:w|	ப|ெ|ன:்|ப|ோ|
b|e|n|e|d|e|t|t|o|	ப|ெ|ன|ெ|ட|ெ|ட:்|ட|ோ|
b|r|i|n|	ப:ி|ர|ி|ன:்|
b|e|n|g|a|l|i|	ப|ெ|ங:்|க|ா|ள|ி|
b|e|n|i|n|	ப|ெ|ன|ி|ன:்|
b|e|n|i|t|o|	ப|ெ|ன|ி|ட:்|ட:ோ|
j:u|a|r|e|z|	ஜ|ா|ர|ெ|ஸ:்|
b|e|n|n:e|t|t|	ப|ெ|ன:்|ன|ட|்|
b|e|n|n|i|n:g|t|o|n|	ப|ெ|ன:்|ன|ி|ங|்|ட|ன:்|
b|e|o|h:a|r|i|	ப:ி|ய|ோ|ஹ|ர|ி|
b|e|r|a|h:a|m|	ப|ெ|ர|ா|ஹ|ம:்|
b|e|r|c:h|t|e|s|g|a|d|e|n|	ப|ெ|ர:்|ச|்:ட|ெ|ஸ:்|க|ா|ர:்|ட|ன:்|
b|e|r|g:e|r|	ப|ெ|ர:்|ஜ|ர:்|
b|e|r|i|	ப|ே|ர|ி|
b|e|r|k|e|l|i|u|m|	ப|ெ|ர:்|க|ே|ல|ி|ய|ம:்|
b|e|r|l|i|n|	ப|ெ|ர:்|ல|ி|ன:்|
b|e|r|n|a|r|d|	ப|ெ|ர:்|ன|ா|ர:்|ட:்|
j|u|l|i|e|n|	ஜ|ூ|ல|ி|ய|ன:்|
b|e|r|r|i|e|n|	ப|ெ|ர:்|ர|ி|ய|ன:்|
b|e|r|r|y|	ப|ெ|ர:்|ர|ி|
h|e|a|d|	ஹ|ெ|ட|்|
b|e|r|t|	ப|ெ|ர:்|ட:்|
v|a|n|c|e|	வ|ா|ன:்|ச|ி|
b|e|s:h|a|q:u|e|	ப|ெ|ஷ|ா|க|்|
b|e|s:h|a|r:a|m|	ப|ெ|ஷ|ா|ர|ம:்|
b|e|t|a|v|a|d|	ப|ே|ட|ா|வ|ா|ட:்|
b|e|t|e|l|s|m:a|n|n|	ப|ீ|ட|ெ|ல:்|ஸ:்|ம|ன|்|
b|e|t:h|e|l|	ப|ெ|த|ே|ல:்|
a|p|o|s|t|o|l|i|c|	அ|ப|ோ|ஸ:்|த|ொ|ல|ி|க:்|
b|e|t|h|l:e|h:e|m|	ப|ெ|த|்|ல|ஹ|ம:்|
b|e|t|e|	ப|ே|ட|ி|
b|e|t|t|e|	ப|ெ|ட:்|ட|ே|
d|a|v|i|s|	ட|ே|வ|ி|ஸ:்|
b|e|v|	ப|ெ|வ:்|
c:o|n|g|d:o|n|	க|ா|ங:்|ட|ன:்|
b|e|w:a|f|a|i|	ப|ே|வ|ஃ:ப|்:ப|ை|
b|e|x|a|r|	ப|ெ|க:்|ஸ:ா|ர:்|
b:h|a:a|l:a|c:h|a:n|d|r|	ப|ா|ல|ச|ந|்:த|ர:்|
b:h|a:a|n|g|u|	ப|ா|ங:்|க|ு|
b:h|a|a:n|u|m|u|k:h|e:e|	ப|ா|ன|ு|ம|ு|க|ி|
b:h|a:a|r:a|t|	ப|ா|ர|த:்|
b:h|a:a|r:a|t|e:e|	ப|ா|ர|த|ி|
b:h|a:a|t|v:a|d|e|k:a|r|	ப|ா|த:்|வ|த|ே|க|ர:்|
b:h|a|b|h|a|r|	ப|ா|ப:்|ப|ா|ர:்|
b:h|a|b:h|i|	ப|ா|ப|ி|
b:h|a|c:h|a|u|	ப|ச:்|ச|ா|வ:்|
b:h|a|d:a|n|	ப|ா|த|ன:்|
b:h|a:d|l|i|	ப|த|்:ல|ி|
b:h|a|d|r:a|a|k|s:h|a|	ப|ா|த:்|ர|ா|க:்|ஷ|ா|
b:h|a:d|r|a|c:h|a:l|a|m|	ப|த|்:ர|ா|ச|ல|ம|்|
b:h|a|d|r:a|k|	ப|ா|த:்|ர|க:்|
b:h|a|d|r|a|k:s|h|	ப|ா|த:்|ர:ா|க:்|ஷ|்|
b:h|a|d|r|a|k|s:h|a|	ப|ா|த:்|ர|ா|க:்|ஷ|ா|
b:h|a:d|r|a|n|	ப|த|்:ர|ா|ன:்|
b:h|a:d|r|e|s|h|	ப|த|்:ர|ீ|ஷ|்|
b:h|a:g|a|m|	ப|க|ம|்|
b:h|a|g|	ப|ா|க:்|
b:h|a:g|a:v|a:a|n|	ப|க|வ|ா|ன:்|
b:h|a:g|a:v|a|t|	ப|க|வ|த|்|
b:h|a:g|e|g|a|	ப|க|ே|க|ா|
b:h|a|g|i|r:a|t|h|	ப|ா|க|ீ|ர|த|்|
b:h|a|g|i|r:a|t:h|i|	ப|ா|க|ி|ர|த|ி|
b:h|a:g|t|a|	ப|க|்:த|ா|
b:h|a:g|w:a|n|t|i|	ப|க|வ|ந:்|த|ி|
b:h|a:g|w:a|t|	ப|க|வ|த:்|
m:a|h|i|m|a|	ம|ஹ|ி|ம|ா|
b:h|a:g|w:a|t|i|	ப|க|வ|த|ி|
b:h|a|g|y:a|w|a|n|	ப|ா|க:்|ய|வ|ா|ன:்|
b:h|a|g|y:a|w:a|t|i|	ப|ா|க:்|ய|வ|த|ி|
b:h|a|i|	ப|ா|ய:்|
b:a|h|e|n|	ப|ஹ|ே|ன:்|
a|s|i|a|	ஏ|ச|ி|ய:ா|
s|a|h|e|b|	ச|ா|ஹ|ே|ப:்|
b:h|a|i|n|i|	ப|ய|ி|ன|ி|
k:h|u|r|d|	க|ு|ர:்|த:்|
b:h|a:i|y:a|a|l:a|a|l|	ப|ை|ய|ா|ல|ா|ல:்|
b:h|a:j|a|n|	ப|ஜ|ன|்|
b:h|a:j|a:r|a:a|m|	ப|ஜ|ர|ா|ம:்|
b:h|a|k|t|	ப|க|்|த:்|
d|h:r|u|v|	த:ு|ர|ு|வ:்|
k|u|m|a|r|	க|ு|ம|ா|ர:்|
s|u|r|d|a|s|	ச|ு|ர:்|த|ா|ஸ:்|
b:h|a|k|t:a|	ப|க|்|த|
b:h|a|k|t|i|	ப|க|்|த|ி|
b:h|a|l:a|	ப|ா|ல|
m:a|n|u|s|	ம|ன|ு|ஸ:்|
b:h|a|l|e|	ப|ா|ல|ே|
b:h|a:l|e|r|a|o|	ப|ல|ே|ர|ா|வ:்|
b:h|a:l|l|a|	ப|ல|்:ல|ா|
b:h|a|m|	ப|ா|ம:்|
b:h|a|m|b|h|r|a|	ப|ா|ம:்|ப|்|ர|ா|
b:h|a|m|r|a|	ப|ா|ம:்|ர|ா|
b:h|a|n|a|	ப|ா|ன|ா|
b:h|a|n|d:a|p|e|	ப|ா|ந:்|த|ப|ே|
b:h|a|n|g|u|	ப|ா|ங:்|க|ு|
b:h|a|n|u|d|a|s|	ப|ா|ன|ு|த|ா|ஸ:்|
b:h|a|n|u|p|r:a|s|a|d|	ப|ா|ன|ு|ப:ி|ர|ச|ா|த:்|
b:h|a|n|w:a|r|a|	ப|ன|்|வ|ர|ா|
b:h|a|p|a|	ப|ா|ப:்|ப:ா|
b:h|a:r|a:n|i|	ப|ர|ண|ி|
b:h|a:r|a|t|	ப|ர|த|்|
f|o|r|g|e|	ஃ:ப|ோ|ர:்|ஜ|்|
s:a|n|t:a|a|n|	ச|ந:்|த|ா|ன:்|
k|u|p|	க|ு|ப:்|
s:a|m|a|c:h|a|r|	ச|ம|ா|ச|்:ச|ர:்|
b:h|a:r|a:t|h|	ப|ர|த|்|
r|e|d|d|y|	ர|ெ|ட:்|ட|ி|
b:h|a|r:a|t|k|u|n|d|	ப|ா|ர|த:்|க|ு|ந:்|த:்|
b:h|a|r:a|t|m|u|n|i|	ப|ா|ர|த:்|ம|ு|ன|ி|
b:h|a:r|a:t|p|u|r|	ப|ர|த|்:ப|ூ|ர:்|
b:h|a|r|d|w|a|j|	ப|ா|ர:்|த:்|வ|ா|ஜ:்|
b:h|a|r|t|e|n|d|u|	ப|ர|்|ட|ே|ண:்|ட|ு|
h:a|r|i|s|h|c:h|n|d|r|a|	ஹ|ர|ி|ஷ|்|ச|ந:்|த:ி|ர|ா|
b:h|a|r|t|h|a|n|a|	ப|ர|்|த|்|த:ா|ன|ா|
b:h|a|r|t|i|	ப|ா|ர|த|ி|
a:i|r|	ஏ|ர:்|
b:h|a|r|t|i|y:a|	ப|ா|ர|த|ி|ய|
b:h|a|t|	ப|ட|்|
b:h|a|t|e|l|	ப|ட:்|ட|ே|ல:்|
b:h|a|t|i|n|d|a|	ப|ா|ட:்|ட:ி|ன:்|ட|ா|
b:h|a|t|n|i|	ப|ட|்|ண|ி|
b:h|a:t|p|u|r|	ப|ட|்:ப|ூ|ர:்|
b:h|a:t|t|u|	ப|ட|்:ட|ூ|
b:h|a:v|a|n|i|	ப|வ|ா|ன|ி|
b:h|a:v|a|n|i|s|a|g:a|r|	ப|வ|ா|ன|ி|ச|ா|க|ர:்|
b:h|a|v|e|	ப|ா|வ|ே|
b:h|a|v|i|n|i|	ப|ா|வ|ி|ன|ி|
b:h|a|v|n|a|	ப|ா|வ:்|ன|ா|
b:h|a|v|n:a|g:a|r|	ப|ா|வ:்|ந|க|ர:்|
b:h|a|w|a|b:h|o:o|t|i|	ப|ா|வ|ா|ப|ூ|ட:்|ட:ி|
b:h|a:w|a|n|i|	ப|வ|ா|ன|ி|
b:h|a|t|t|a|c:h|a|r|y|a|	ப|ட:்|ட|ா|ச:்|ச|ா|ர:்|ய|ா|
b:h|a:w|a|n|i|p|u|r|	ப|வ|ா|ன|ி|ப|ூ|ர:்|
k|a|l:a|n|	க|ா|ல|ன:்|
b:h|a:y|a|n:a|k|	ப|ய|ா|ன|க:்|
b:h|a:y|a:v|a:d|a|r|	ப|ய|வ|த|ா|ர:்|
b:h|e:e|d|e|	ப|ீ|ட|ே|
b:h|e:e|g|i|	ப|ீ|க|ி|
p|a|l|k:e|n|	ப|ா|ல:்|க|ன:்|
b:h|e:e|m|	ப|ீ|ம:்|
b:h|e:e|m:a|r:a|a|j|	ப|ீ|ம|ர|ா|ஜ:்|
b:h|e:e|m|p|u|r|a|	ப|ீ|ம:்|ப|ூ|ர|ா|
b:h|e:e|s:h|m|	ப|ீ|ஷ|்:ம|
b:h|e|n|d|e|	ப|ெ|ந:்|த|ே|
b:h|e|s|a:n|a|	ப|ே|ஸ:்|ன|ா|
b:h|i|g|w|a|n|	ப|ி|க:்|வ|ா|ன:்|
b:h|i|l|a|d|	ப|ி|ல|ா|த:்|
b:h|i|l|a|i|	ப|ி|ல|ா|ய:்|
p:o|w:e|r|	ப|வ|ர:்|
h:o|u|s|e|	ஹ|வ:ு|ஸ|்|
b:h|i|l|a|v|d|i|	ப|ி|ல|ா|வ:்|ட|ி|
b:h|i|l|d|i|	ப|ி|ல:்|ட|ி|
b:h|i|l|w|a|r|a|	ப|ி|ல:்|வ|ா|ர|ா|
b:h|i|m|	ப|ீ|ம:்|
g:a|r|j:a|n|a|	க|ர:்|ஜ|ன|ா|
b:h|i|m:a|r|l|a|i|	ப|ி|ம|ர:்|ல|ா|ய:்|
b:h|i|m|a|s:a|r|	ப|ி|ம|ா|ச|ர:்|
b:h|i|n|d:a|r|	ப|ி|ந:்|த|ர:்|
b:h|i|t|a|u|r|a|	ப|ி|ட|வ|ு|ர|ா|
b:h|i|t|i|w|a|l|a|	ப|ி|ட|ி|வ|ா|ல|ா|
b:h|i|w|a|n|d|i|	ப|ி|வ|ா|ண:்|ட|ி|
b:h|i|w|a|n|i|	ப|ி|வ|ா|ன|ி|
b:h|o|g|l|e|	ப|ோ|க:்|ல|ே|
b:h|o|j|i|p|u|r|a|	ப|ோ|ஜ|ி|ப|ூ|ர|ா|
b:h|o|j|o|	ப|ோ|ஜ|ோ|
b:h|o|j|u|d|i:h|	ப|ோ|ஜ|ு|த|ி|
b:h|o|k|e|	ப|ோ|க:்|க:ே|
b:h|o|l|a|	ப|ோ|ல|ா|
s:h|a|n|k:a|r|	ஷ|ங|்|க|ர:்|
b:h|o|l|i|	ப|ோ|ல|ி|
b:h|o|n|e|	ப|ோ|ன|ே|
b:h|o:o|k|h|	ப|ூ|க|்|
b:h|o:o|m|i|	ப|ூ|ம|ி|
b:h|o:o|s:h|a|n|	ப|ூ|ஷ|ன|்|
b:h|o:o|s:h|i|t|	ப|ூ|ஷ|ி|த:்|
b:h|o:o|t|	ப|ூ|த:்|
m|e|r|a|	ம|ே|ர|ா|
s:a|a|t:h|i|	ச|ா|த|ி|
b:h|o|p|a|l|	ப|ோ|ப:்|ப:ா|ல:்|
b:h|o|p:a|t|k:a|r|	ப|ோ|ப|த:்|க|ர:்|
b:h|o|r|e|	ப|ோ|ர|்|
b:h|o|u|n|	ப|ெ|ள|ன:்|
b:h|o|u:r|a|	ப|ோ|ர|ா|
b:h|r|a:s|h|t:a|c:h|a|r|	ப|ி:ர|ஷ|்|ட|ச|ா|ர:்|
b:h|u|b:a|n|e|s|w:a|r|	ப|ு|வ|ன|ே|ஸ:்|வ|ர:்|
b:h|u|d|e|v|	ப|ூ|த|ே|வ:்|
b:h|u|d|r|a|j|	ப|ு|த:்|ர|ா|ஜ:்|
b:h|u|l|l:a|r|	ப|ு|ல:்|ல|ர:்|
b:h|u|l|o|n|	ப|ு|ல|ோ|ன:்|
b:h|u|m|i|k|a|	ப|ு|ம|ி|க|ா|
b:h|u|p|a|l|s|a|g:a|r|	ப|ூ|ப|ா|ல:்|ச|ா|க|ர:்|
b:h|u|p|i|n|d:e|r|p|a|l|	ப|ூ|ப|ி|ந:்|த|ர:்|ப|ா|ல:்|
b:h|u|p|p|a|l|	ப|ு|ப:்|ப|ா|ல:்|
b:h|u|r:a|n|y|u|	ப|ூ|ர|ண:்|ய|ூ|
b:h|u|s|a|v:a|l|	ப|ு|ச|ா|வ|ல:்|
b:h|u|t|e|s|h|	ப|ூ|த|ே|ஷ|்|
b:h|u|v:a|n|	ப|ு|வ|ன:்|
s:h|o|m|e|	ஷ|ோ|ம|்|
b:h|u|v:a|n|e|s|w:a|r|i|	ப|ு|வ|ன|ே|ஸ:்|வ|ர|ி|
h|i|n|d|u|	ஹ|ி|ண:்|ட|ு|
b|i|b:h|a|s|	ப|ீ|ப|ா|ஸ:்|
b|i|c|h|i|a|	ப|ி|ச|்|ச:ி|ய:ா|
b|i|d|a|i|	ப|ி|த|ா|ய:்|
b|i|d|a|n|p|u|r|	ப|ி|ட|ா|ன:்|ப|ூ|ர:்|
b|i|d|a|r|	ப|ி|த|ா|ர:்|
b|i|g|	ப|ி|க:்|
a|p|p|l|e|	ஆ|ப:்|ப:ி|ள|்|
b|i|g:h|a|p|u|r|	ப|ி|க|ா|ப|ூ|ர:்|
b|i|h|a|r|	ப|ீ|ஹ|ா|ர:்|
b|i|h|i|y|a|	ப|ி|ஹ|ி|ய|ா|
b|i|j|a|i|n:a|g:a|r|	ப|ி|ஜ|ா|ய:்|ந|க|ர:்|
b|i|j:a|p|u|r|	ப|ி|ஜ|ப|ூ|ர:்|
b|i|j:a|y|s|o|t|a|	ப|ி|ஜ|ய:்|ச|ோ|ட:்|ட:ா|
b|i|j|l|i|	ப|ி|ஜ:்|ல|ி|
c:h|a:m|k|e|	ச|ம|்:க|ே|
j:a|m|a|n|a|	ஜ|ம|ா|ன|ா|
p:a|r|	ப|ர:்|
b|i|j|o|l|i|a|	ப|ி|ஜ|ோ|ல|ி|ய:ா|
b|i|j|o:o|r|	ப|ி|ஜ|ூ|ர:்|
b|i|j|r|o|t|h|a|	ப|ி|ஜ:்|ர|ோ|த|்|த:ா|
b|i|j:u|n|c|t:i|o:n|o|r|	ப|ி|ஜ|ங|்|ஷ|ன|ோ|ர:்|
b|i|k|a|n|e|r|	ப|ி|க|ா|ன:்|ந:ெ|ர:்|
b|i|k|e|	ப|ை|க|்|
r|a|c:i|n|g|	ர|ே|ச|ி|ங:்|
b|i|k:h|a|r|e|	ப|ி|க|ா|ர|ே|
b|i|l|a|l|	ப|ி|ல|ா|ல:்|
a|s|a|d|	ஆ|ச|ா|த:்|
b|i|l|a|s|p|u|r|	ப|ி|ல|ா|ஸ:்|ப|ூ|ர:்|
b|i|l|a|s|p|u|r|i|	ப|ி|ல|ா|ஸ:்|ப|ூ|ர|ி|
b|i|l|h|a|r|	ப|ி|ல:்|ஹ|ா|ர:்|
g:h|a|t|	க|ா|ட:்|
b|i|l|h|a|u|r|	ப|ி|ல:்|ஹ|ா|வ:ு|ர:்|
b|i|l|l|	ப|ி|ல|்|
c|l|i|n|t:o|n|	க:ி|ள|ி|ண:்|ட|ன:்|
g|a|t|e|s|	க|ே|ட|்|ஸ:்|
b|i|l|p|u|r|	ப|ி|ல:்|ப|ூ|ர:்|
b|i|l|q|i|s|	ப|ி|ல:்|க|ி|ஸ:்|
b|i|l|w|a|i|	ப|ி|ல:்|வ|ா|ய:்|
b|i|m:a|l|a|	ப|ி|ம|ல|ா|
b|i|n|	ப|ி|ன:்|
m:a|a|	ம|ா|
b:h|a|c:h|c:h|e|y|	ப|ச|்|ச|ே|ய:்|
b|i|n|a|	ப|ி|ன|ா|
b|i|n|d|i|y|a|	ப|ி|ந:்|த|ி|ய|ா|
b|a|n|d|o:o|k|	ப|ே|ண:்|ட|ூ|க:்|
c:h|a:m|k|e|g|i|	ச|ம|்:க|ே|க|ி|
b|i|n|d|k|i|	ப|ி|ண:்|ட:்|க|ி|
b|i|n|d|r|a|	ப|ி|ந:்|த:்|ர|ா|
b|i|n|d|u|s:a|r|	ப|ி|ந:்|த|ு|ச|ர:்|
b:i|n|g|	ப|ி|ங:்|
c|r|o|s|b|y|	க:்|ர|ா|ஸ:்|ப|ி|
b|i|n|g:h|a|m|	ப|ி|ங:்|க|ா|ம:்|
b|i|n|n:a|g|u|r|i|	ப|ி|ன:்|ன|க|ு|ர|ி|
b|i|o|c:h|e|m|i|s|t|r|y|	ப|ய|ோ|க|ெ|ம|ி|ஸ:்|ட:ி|ர|ி|
b|i|o|c|o|n|	ப|ய|ோ|க|ா|ன:்|
b|i|o|p|r|o|g|r|e:s|s|	ப|ை|ய:ோ|ப:ி|ர|ா|க:ி|ர|ெ|ஸ:்|
b|i|p|i|n|	ப|ி|ப|ி|ன:்|
b|i|r|	ப|ி|ர:்|
b|i|k|r:o|m|	ப|ி|க:்|ர|ம:்|
u|t|t:o|m|	உ|த:்|த|ம:்|
b|i|r|a|d|h|w|a|l|	ப|ி|ர|ா|த|்|வ|ா|ல:்|
b|i|r:a|j|	ப|ி|ர|ஜ:்|
u|s|t|a|d|	உ|ஸ:்|த|ா|த:்|
b|i|r|l|a|	ப|ி|ர:்|ல|ா|
b|i|r|l|a|s|o|f|t|	ப|ி|ர:்|ல|ா|ச|ா:ஃ|ப:்|ட:்|
b|i|r|m|i|n:g|h|a|m|	ப|ி|ர:்|ம|ி|ங|்|க|ம:்|
b|i|r|m|i|t|r|a|p|u|r|	ப|ி|ர:்|ம|ி|த:்|ர|ா|ப|ூ|ர:்|
b|i|r|o|l|i|y|a|	ப|ி|ர|ோ|ல|ி|ய|ா|
b|i|r|r|	ப|ி|ர|்|
b|i|r|u|r|	ப|ி|ர|ூ|ர:்|
b|i|s|c:a|y|n|e|	ப|ி|ஸ:்|க|ே|ன|்|
b|i|s:h|a|n|	ப|ி|ஷ|ா|ன:்|
b|i|s:h|a|n|i|	ப|ி|ஷ|ா|ன|ி|
b|i|s:h|a:n|p|a|l|	ப|ி|ஷ|ன|்:ப|ா|ல:்|
b|i|s:h|a|r:a|h|	ப|ி|ஷ|ா|ர|ா|
b|i|s|h|m|i|l|l:a|h|	ப|ி|ஸ|்|ம|ி|ல:்|ல|ா|
b:a|r|k:a|t|	ப|ர:்|க|த:்|
b|i|s|h|n|u|p|u|r|	ப|ி|ஷ|்|ண|ு|ப|ூ|ர:்|
b|i|s:h|o|p|	ப|ி|ஷ|ப|்|
b|i|s|h|r|	ப|ி|ஷ|்|ர:்|
h|a|f|i|	ஹ|ா:ஃ|ப:்|ப:ி|
b|i|s:h|r|a|m|p|u|r|	ப|ி|ஷ|்:ர|ா|ம:்|ப|ூ|ர:்|
b|i|s|l|a|	ப|ி|ஸ:்|ல|ா|
b|i|s|m|u|t|h|	ப|ி|ஸ:்|ம|ு|த|்|
b|i|s|w|a|n|	ப|ி|ஸ:்|வ|ா|ன:்|
b|i|t|t|e|r:r|o:o|t|	ப|ி|ட:்|ட|ே|ர|ூ|ட:்|
b|i|t|t|i|	ப|ி|ட:்|ட|ி|
b|i|w|i|	ப|ி|வ|ி|
m:a|k|a|n|	ம|க:்|க|ன:்|
