a|	এ|
b|a|d:e|s:h:a|	ব|া|দ|শ:া|
b|a|d|i|	ব|া|দ|ি|
b:a|d|i|l|a|l|	ব|দ|ি|ল|া|ল|
b:a|d|i|n|a|t:h|	ব|দ|ি|ন|া|থ|
b:a|d|i|r|u|n|	ব|দ|ি|র|ু|ন|
b|a|d|l|a|	ব|া|দ|ল|া|
b|a|d|l|i|	ব|া|দ|ল|ি|
b|a|d|n|a|p|u|r|	ব|া|দ|ন|া|প|ু|র|
b|a|d|n|e|r|a|	ব|া|দ|ন|ে|র|া|
b:a|d|r|u|n|	ব|দ|র|ু|ন|
b|a|d|r|u|n|	ব|া|দ|র|ু|ন|
b|a|d|s:h:a|	ব|া|দ|শ:া|
b|a|d|s:h:a|h|n:a|g:a|r|	ব|া|দ|শ:া|হ|ন|গ|র|
b|a|d|s:h:a|h|p|u|r|	ব|া|দ|শ:া|হ|প|ু|র|
b|a|d|u|l|i|	ব|া|দ|ু|ল|ি|
b|a|d|w|a|l|	ব|া|দ|ও|য়:া|ল|
b|a|d|w|a|s|i|	ব|া|দ|ও|য়:া|স|ি|
b|a|d|y|a|l|	ব|া|দ|য়|া|ল|
b|a|e|	ব|ো|য়:ে|
b:a|e|r|	ব|ি:য়|া:র|
b|a|f:f|i|n|	ব|া|ফ|ি|ন|
b|a|g:a:h|a|	ব|া|হ:া|গ:া|
b|a|g|a|l|k|o|t|	ব|া|ঘ|া|ল|ক|ো|ট|
b|a|g|a|m|b:a|r|	ব|া|গ|া|ম:্|ব|র|
b|a|g:h:a|	ব|া|ঘ:া|
b|a|g|h|o|r|a|	ব|া|গ|হ|ো|র|া|
b|a|g|l|a|m|a|	ব|া|গ:্|ল|া|ম|া|
b|a|g|r|a|i|	ব|া|গ|র|া|ই|
b|a|g|r|i|	ব|া|গ|র|ি|
b|a|g|w|a|l|i|	ব|া|গ|ও|া|ল|ি|
b|a|h|a|d|u|r|p|u|r|	ব|া|হ|া|দ|ু|র|প|ু|র|
b|a|h|a|r|a|	ব|া|হ|া|র|া|
b|a|h|a|r:a|a|l|i|	ব|া|হ|া|র|আ|ল|ি|
b|a|h|i|a|	ব|া|হ|ি|য়:া|
b|a|h|i|l|p|u|r|w|a|	ব|া|হ|ি|ল|প|ু|র|য়|া|
b|a|h|j:o|i|	ব|া|হ|জ|য়|
b|a|h|r|a|i|c:h|	ব|া|হ:া|র|া|ই|চ|
b|a|h|r|a:i:n|	ব|া|হ|র|ে:ন|
b:a|i|d:a|n|a|t:h|	ব|ৈ|দ|ন|া|থ|
b|a|i|d|u|l|	ব|া|ই|দ|ু|ল|
b:a|i|d|y:a|n|a|t:h|d:h:a|m|	ব|ৈ|দ:্|য|ন|া|থ|ধ:া|ম|
b:a|i|j:a|n|a|t:h|	ব|ৈ|জ|ন|া|থ|
b:a|i|j:a|n|t|i|	ব|ৈ|জ|ন:্|ত|ী|
b|a|i|j|u|l|	ব|া|ই|জ|ু|ল|
b:a|i|j|u|n|a|t:h|	ব|ৈ|জ|ু|ন|া|থ|
b:a|i|k|u|n|t:h:a|	ব|ৈ|ক|ু|ণ|্:ঠ|
b:a:i|l:e:y|	ব:ে|ল:ি|
b:a|i|n|c:h:i|	ব|ৈ|ঁ|চ:ি|
b|a|i|o|n|	ব|া|ই|ও|ন|
b:a|i|r|a|g|i|	ব|ৈ|র|া|গ|ী|
b:a|i|r|a|g|n|i|a|	ব|ৈ|র|া|গ|ন|ি|য়:া|
b|a:i:r|s|t:o:w|	ব:্|র:ি|স|ট:ো|
b:a|i|s:h:a|k:h:i|	ব|ৈ|শ:া|খ:ি|
b:a|i|s:h:a|k:h:i|	ব|ৈ|শ:া|খ:ী|
b:a|i|s:h:a|l|i|	ব|ৈ|শ:া|ল|ী|
b|a|i|s|y|a|	ব|া|ই|স|ি|য়:া|
b:a|i|t|a|l|p|u|r|	ব|ৈ|ত|া|ল|প|ু|র|
b:a|i|t:a|r:a|n|i|	ব|ৈ|ত|র|ণ|ী|
b:a|i|t|u|l|	ব|ৈ|ত|ু|ল|
b|a|i|y:o|k:e|	ব|া|ই|ও|ক|
b|a|i|z|a|	ব|া|ই|জ|া|
b|a|j|a|	ব|া|জ|া|
b|a|j:a|n|	ব|া|জ|ন|
b|a|j|a|r|i|	ব|া|জ|া|র|ী|
b|a|j|i|	ব|া|জ|ি|
b:a|j|r|u|l|	ব|জ|র|ু|ল|
b:a|j|r|u|l|h:a|k|	ব|জ|র|ু|ল|হ|ক|
b|a|j|v|a|	ব|া|জ|ভ|া|
b|a|k:a|a|l|k|a|r|	ব|া|ক|া|ল|ক|া|র|
b|a|k|a|r|e|	ব|া|ক|া|র|ে|
b|a|k|e|l|a|l|	ব|া|ক|ে|ল|া|ল|
b|a|k|e|r|	ব|া|ক|ে|র|
b|a|k:h:e|r|a|	ব|া|খ:ে|র|া|
b|a|k:h:e|r|u|n|	ব|া|খ:ে|র|ু|ন|
b:a|k:h|s:h:i|	ব|খ|ষ:ী|
b:a:k|h|t|	ভ:ক|্|ত|
b:a|k:h|t|i|a|r|	ব|ক|্:ত|ি|য়:া|র|
b:a|k:h|t|i|y|a|r|p|u|r|	ব|ক|ত|ি|য়|া|র|প|ু|র|
b|a|k|i|r|	ব|া|ক|ি|র|
b|a|k|i|r|h|o|s:s|a:i:n|	ব|া|ক|ি|র|হ|ো|স|ে:ন|
b|a|k|k|a|i|	ব|ি|ক:্|ক|া|ই|
b|a|k|k|a|r|	ব|া|ক:্|ক|া|র|
b|a|k|r|a|	ব|া|ক|র|া|
b:a|k|s|i|	ব|ক:্|স|ী|
b:a|k|t|a|r|	ব|ক:্|ত|া|র|
b:a|k|u|l|	ব|ক|ু|ল|
b:a|k|u|l|a|	ব|ক|ু|ল|া|
b:a|k|u|l|c:h:a|n|d|r:a|	ব|ক|ু|ল|চ|ন:্|দ:্|র|
b:a|k|u|l|i|	ব|ক|ু|ল|ী|
b|a|l|	ব|া|ল|
b|a|l|a|f|o|n|	ব|া|ল|া|ফ|ো|ন|
b|a|l|a|g|h|a|t|	ব|া|ল|া|গ|হ|া|ট|
b:a|l:a|h:a|r|i|	ব|ল|হ|র|ি|
b:a|l|a|i|	ব|ল|া|ই|
b:a|l|a|i|c:h:a|d|	ব|ল|া|ই|চ:া|দ|
b:a|l|a|i|l|a|l|	ব|ল|া|ই|ল|া|ল|
b|a|l|a|l|a|i|k|a|	ব|া|ল|া|ল|া|ই|ক|া|
b|a|l|a|m|u|	ব|া|ল|া|ম|ু|
b|a|l|a|n|c:e|	ব:্|য:া|ল|ে|ন:্|স|
b|a|l|a|n|g|i|r|	ব|া|ল|া|ন|গ|ি|র|
b|a|l|a|s|o:r:e|	ব|া|ল|া|স|ো:র|
b|a|l|a|u|d|a|	ব|া|ল|া|ও|দ|া|
b|a|l|a|w|a|l|a|	ব|া|ল|া|ও|য়:া|ল|া|
b|a|l|a|w:a|l|i|	ব|া|ল|া|ও|ল|ি|
b:a|l|b|a|h|a|d|u|r|	ব|ল|ব|া|হ|া|দ|ু|র|
b:a|l|b:a|n|t|	ব|ল|ব|ন:্|ত|
b:a|l|b|i|n|d:a|r|	ব|ল|ব|ি|ন:্|দ|র|
b:a|l|b|i|r|	ব|ল|ব|ী|র|
b|a|l|b|o|a|	ব|া|ল:্|ব|া|ও|
b|a|l|c:h:a|n|d|	ব|া|ল|চ:া|ঁ|দ|
b:a|l|d|e|b|	ব|ল|দ|ে|ব|
b:a|l|d|e|o|	ব|ল|দ|ে|ও|
b|a|l|e|s|w:a:r|i|	ব|া|ল|ে|শ:্|ব:র|ী|
b|a|l|h|a|r|s:h:a|h|	ব|া|ল|হ|া|র|শ:া|হ|
b|a|l|h|i|	ব|া|ল|হ|ী|
b|a|l|i|a|	ব|া|ল|ি|য়:া|
b|a|l|i|k|a|	ব|া|ল|ি|ক|া|
b|a|l|i|l|	ব|া|ল|ি|ল|
b|a|l|i|m|e|l|a|	ব|া|ল|ি|ম|ে|ল|া|
b|a|l|i|p|a|r|a|	ব|া|ল|ি|প|া|র|া|
b:a|l|j|i|t|	ব|ল|জ|ি|ত:্|
b|a|l|k:h|a|m|	ব|া|ল|ক|া|ম|
b|a|l|k|h|a|s:h|	ব|া|ল:্|ক|হ|া|স|
b|a|l|k|r:i:s|h:n:a|	ব|া|ল|ক|ৃ:ষ|্:ণ|
b:a|l:l|	ব|ল|
b:a|l|l:a|b|g|a:r:h|	ব|ল:্|ল|ব|গ|ড়|
b:a|l|l:a|b:h|	ব|ল:্|ল|ভ|
b:a|l|l:a|b:h:a|	ব|ল:্|ল|ভ:া|
b|a|l|l|a|l|	ব|ে|ল:্|ল|া|ল|
b|a|l|l|i|	ব|া|ল:্|ল|ি|
b|a|l|l|i|a|	ব|া|ল:্|ল|ি|য়:া|
b|a|l|m|e|r|	ব|া|ল|ম|ে|র|
b|a|l|m|i|k|i|	ব|া|ল:্|ম|ি|ক|ী|
b|a|l|m|u|k|u|n|d|	ব|া|ল|ম|ু|ক|ু|ন:্|দ|
b|a|l|o|d|	ব|া|ল|ো|দ|
b|a|l|o|t|r|a|	ব|া|ল|ো|ট:্|র|া|
b:a|l|r|a|m|p|u|r|	ব|ল|র|া|ম|প|ু|র|
b:a|l|s|a|m:a|n|d|	ব|ল|স|া|ম|ন:্|দ|
b|a|l|t|i|c|	ব|া|ল|্:ট|ি|ক|
b|a|l|u|r|a|n|	ব|া|ল|ু|র|া|ন|
b|a|l|w|a|r|a|	ব|া|ল|ও|য়:া|র|া|
b|a|l|w|i|n|d:e|r|	ব|া|ল|উ|ই|ন|দ|া:র|
b|a|l|z|a|n|	ব|া|ল|জ|া|ন|
b|a|m|a|c:h:a|r:a|n|	ব|া|ম|া|চ|র|ন|
b|a|m|a|k|o|	ব|া|ম|া|ক|ো|
b|a|m:a|n|d|a|s|	ব|া|ম|ন|দ|া|স|
b|a|m|a|n|h|e|r|i|	ব|া|ম|া|ন|হ|ে|র|ি|
b|a|m|a|p:a|d:a|	ব|া|ম|া|প|দ|
b|a|m|a|p|r:a|s|a|d|	ব|া|ম|া|প:্|র|স|া|দ|
b|a|m|b|a|	ব|া|ম:্|ব|া|
b|a|m|b|u|c|a|	ব|া|ম:্|ব|ু|ক|া|
b|a|m|c:h:a|r:a|n|	ব|া|ম|চ|র|ন|
b|a|m|d|e|b|	ব|া|ম|দ|ে|ব|
b|a|m|h|a|n|i|	ব|া|ম|হ|া|ন|ি|
b|a|m|h|r|a|u|l|i|	ব|া|ম|হ|র|া|ও|ল|ি|
b|a|m|l|a|	ব|া|ম|ল|া|
b|a|m|n|i|a|	ব|া|ম|ন|ি|য়:া|
b|a|m|o|r|i|	ব|া|ম|ো|র|ি|
b|a|m|r|a|	ব|া|ম|র|া|
b|a|n|a|	ব|া|ন|া|
b|a|n|a|h|i|	ব|া|ন|া|হ|ি|
b|a|n|a|i|	ব|া|ন|া|ই|
b:a|n:a|l:a|t|a|	ব|ন|ল|ত|া|
b:a|n:a|m|a|l|i|	ব|ন|ম|া|ল|ি|
b:a|n|a|n|i|	ব|ন|া|ন|ী|
b:a|n:a|p:h:u|l|	ব|ন|ফ:ু|ল|
b|a|n|a|p|u|r|a|	ব|া|ন|া|প|ু|র|া|
b:a|n|a|r|h|a|t|	ব|ন|া|র|হ|া|ট|
b|a|n|a|s|	ব|া|ন|া|স|
b:a|n:a|s:h|r|i|	ব|ন|শ|্:র|ী|
b|a|n|a|s|k|a|n|t:h|a|	ব|া|ন|া|স|ক|া|ন:্|থ|া|
b:a|n|b|a|l|a|	ব|ন|ব|া|ল|া|
b|a|n|b|a|s|a|	ব|া|ন|ব|া|স|া|
b|a|n|b:h:a|t|t:a|	ব|া|ন|ভ|ট:্|ট|
b:a|n|b|i|h:a:r|i|	ব|ন|ব|ি|হ:া|র:ী|
b|a|n|c|a|	ব|া|ন|ক|া|
b|a|n|c|a|r|e:l:l|a|	ব|া|ঙ:্|ক|া|র|ে:ল|া|
b|a|n|c:h:a|	ব|া|ঞ:্|ছ:া|
b|a|n|c|o|	ব|া|ন|ক|ো|
b:a|n|d:a|n|	ব|ন:্|দ|ন|
b:a|n|d:a|n|a|r|a|n|i|	ব|ন:্|দ|ন|া|র|া|ণ|ী|
b|a|n|d|a|n|w|a|r|a|	ব|া|ন|দ|া|ন|ও|য়:া|র|া|
b|a|n|d|a|r|a|	ভ|া|ন:্|ড|া|র|া|
b|a|n|d|a|r|a|t|i|l:l:e|k:e|	ভ|া|ন:্|ড|া|র|া|ত|ি|ল|ক|
b|a|n|d|e|k:a|r|	ব|া|ন:্|দ|ে|ক|র|
b|a|n|d|e|l|	ব:্|য:া|ন:্|ড|ে|ল|
b|a|n|d|e|r|a|	ব|া|ন:্|দ:্|র:ে|র|া|
b:a|n|d:h:a|n|	ব|ন:্|ধ|ন|
b:a|n|d:h:u|	ব|ন:্|ধ:ু|
b|a|n|d|i|k|u|i|	ব|া:ঁ|ন|ড|ি|ক|ু|ই|
b:a|n|d|i|p|u|r|	ব|ন:্|দ|ি|প|ু|র|
b:a|n|d|i|t|a|	ব|ন:্|দ|ি|ত|া|
b|a|n|d|o|l|a|	ব|া|ন:্|ড|ো|ল|া|
b|a|n|d|o|n|e|o|n|	ব|া|ন:্|ড|ো|ন|ে|ও|ন|
b:a|n|d|o|p|a|d|y|a|y|	ব|ন:্|দ:্|য:ো|প|া|ধ|্:য|া|য়|
b|a|n|d|u|g:a|r|	ব|া|ন|দ|ু|গ|র|
b|a|n|d|u|r|a|	ব|া|ন:্|ড|ু|র|া|
b|a|n|d|u|r:r:i|a|	ব|া|ন:্|ড|ু|র:ি|য়:া|
b|a|n|e|r|a|	ব|া|ন|ে|র|া|
b|a|n|e|s:h:w|a|r|	ব|া|ন|ে|শ|্:ব|র|
b|a|n|e|s|w:a|r|	ব|া|ন|ে|শ:্|ব|র:ী|
b|a|n|f:f|	ব|া|ন|ফ|
b|a|n|g|	ব|া|ঁ|ঙ|
b|a|n|g|a|	ব|া|ন|গ|া|
b:a|n|g:a|l:a|t|a|	ব|ঙ:্|গ|ল|ত|া|
b|a|n|g|a|l|i|	ব|া|ঙ:্|গ|া|ল|ী|
b|a|n|g|a|l|o:r:e|	ব|া|ঙ:্|গ|া|ল|ো:র|
b|a|n|g|a|r|	ব|া|ঞ:্|জ|া|র|
b|a|n|g|i|	ব|া|ঙ:্|গ|ী|
b|a|n:g|k:o|k|	ব:্|য:া|ং|ক|ক|
b|a|n|g|l|a|	ব|া|ঙ:্|গ|ল|া|
b|a|n|g|l|i|	ব|া|ঙ|া|ল|ী|
b|a|n|g|r:o|d|	ব:্|য:া|ঙ:্|গ|র|ড|
b|a|n|g|s|a|r|	ব|া|ঙ:্|গ|স|া|র|
b:a|n|i|	ব|ন|ি|
b:a|n|i|b|a|l|a|	ব|ন|ি|ব|া|ল|া|
b|a|n|i|b|a|l|a|	ব|া|ন|ী|ব|া|ল|া|
b|a|n|i|b|r:a|t:a|	ব|া|ন|ী|ব:্|র|ত|
b:a|n|i|j|a|n|	ব|ন|ি|জ|া|ন|
b|a|n|i|p:a|d|	ব|া|ন|ী|প|দ|
b|a|n|i|p|r:a|s|a|d|	ব|া|ন|ী|প:্|র|স|া|দ|
b:a|n|i|r|a|m|	ব|ন|ি|র|া|ম|
b|a|n|i|r|a|n|i|	ব|া|ন|ী|র|া|ন|ী|
b|a|n|i|y|a|	ব|া|ন|ি|য়|া|
b|a|n|k|	ব:্|য:া|ঙ:্|ক|
b|a|n|k|a|	ব|া|ঙ:্|ক|া|
b:a|n|k|i|m|c:h:a|n|d|r:a|	ব|ঙ:্|ক|ি|ম|চ|ন:্|দ:্|র|
b|a:n:k|s:h:a|r|a|j|	ব|ং|শ|র|া|জ|
b|a|n|k|u|r|a|	ব|া|ঁ|ক|ু|ড়|া|
b:a|n|m|o|r|	ব|ন|ম|ো|র|
b:a:n|n:e|r|	ব:ে|ন|া:র|
b|a|n:n:e|r|	ব:্|য:া|ন:া|র|
b:a|n:o:j|a|r|i|	ব|ন:ও|য:া|র|ী|
b|a|n|s|d|i|h|	ব|া|ন|স|ি:দ|্|ধ|
b:a|n|s:h:a|d:h:a|r|	ব|ং|শ|ধ|র|
b:a|n|s:h:a|g|o|p|a|l|	ব|ং|শ|গ|ো|প|া|ল|
b:a|n|s:h:i|	ব|ং|শ:ী|
b:a|n|s:h:i|b:a|d:a|n|	ব|ং|শ:ী|ব|দ|ন|
b:a|n|s:h:i|d:h:a|r|	ব|ং|শ:ী|ধ|র|
b:a|n|s:h:i|l|a|l|	ব|ং|শ:ী|ল|া|ল|
b:a|n|s:h:i|p:a|d:a|	ব|ং|শ:ী|প|দ|
b:a|n|s|i|	ব|ন|স|ি|
b:a|n|s|i|p|u|r|	ব|ন|স|ি|প|ু|র|
b:a|n|t:a|w|a|l|a|	ব|ন|ত|য়|া|ল|া|
b:a|n|t:h|r|a|	ব|ন|থ|র|া|
b|a|n|t|i|	ব|া|ন:্|ট|ি|
b|a|n|t|u|l|	ব|া|ঁ|ট|ু|ল|
b|a|n|u|	ব|া|ন|ু|
b|a|n|u|b|e|g:a|m|	ব|া|ন|ু|ব|ে|গ|ম|
b:a|n|w|a|l|i|	ব|ন|য়|া|ল|ি|
b|a|n|y|a|n|	ব:্|য:া|ন:ি|য়|া|ন|
b|a|o|r|i|	ব|া|ঔ|র|ি|
b|a|o|s|t:e:e|l|	ব|া|য়:ো|স:্|ট:ী|ল|
b|a|p:a|n|k|u|m|a|r|	ব|া|প|ন|ক|ু|ম|া|র|
b|a|p|a|t|l|a|	ব|া|প|া|ট|ল|া|
b|a|p|i|k|u|m|a|r|	ব|া|প|ী|ক|ু|ম|া|র|
b|a|p|i|n|	ব|া|প|ি|ন|
b|a|p|p|a|	ব|া|প:্|প|া|
b|a|p:t:i|s|t|	ব:্|য:া|প:ি|স:্|ট|
b|a|p|t|i|s|t:e|	ব|া|প:্|ট|ি|স:্|ট|
b|a|r|a|	ব|া|র|া|
b|a|r:a|b|a|n|k|i|	ব|া|র|ব|া|ঁ|ক|ি|
b|a|r|a|b:h:u|m|	ব|া|র|া|ভ:ূ|ম|
b|a|r|a|d|	ব|া|র|া|দ|
b|a|r:a|d|w|a|r|	ব|া|র|দ|য়|া|র|
b|a|r:a|g:a|o|n|	ব|া|র|গ|া|ঁ:ও|
b|a|r|a|i|g|r|a|m|	ব|া|র|া|ই|গ:্|র|া|ম|
b|a|r:a|j|a|s|	ব|া|র|জ|া|স|
b:a|r|a|k:a|r|	ব|র|া|ক|র|
b:a|r|a|l|	ব|র|া|ল|
b|a|r|a|m:a|t|i|	ব|া|র|া|ম|ত|ি|
b:a|r:a|m|e|s:h:w|a|r|	ব|র|ম|ে|শ|্:ব|র|
b:a|r|a:m|i|n:y:a|	ব|ড়|ম|ি|ঞ:া|
b|a|r|a|m|u|a|	ব|া|র|া|ম|ু|য়:া|
b:a|r|a:m|u|n|u|	ব|ড়|ম|ু|ন|ু|
b|a|r:a|n|	ব|া|র|ন|
b|a|r|a|n:o:f|	ব|া|র|া|ন:ফ|
b|a|r|a|r|	ব|া|র|া|র|
b|a|r|a|r:a|	ব|া|র|া|র|
b|a|r|a|t:h|	ব|া|র|া|থ|
b|a|r|b|a|r|o|s:s|a|	ব|া|র|ব|া|র|ো|স|া|
b|a|r|c:e|l|o|n|a|	ব|া|র:্|স|ি:ল|ো|ন|া|
b|a|r|c:h|i|	ব|া|র|ছ|ি|
b|a|r|c:h|o|n|	ব|া|র|চ|ো|ন|
b|a|r|c|l|a:y|s|	ব|া|র|ক:্|ল|ে|স|
b|a:r:d|d:h:a|m|a|n|	ব|র:্|ধ|ম|া|ন|
b|a|r|e|i|l|l|y|	ব|া|র|ি|ই|ল:্|ল|ি|
b|a|r:e:i|l:l:y|	ব|া|র:ে|ল:ি|
b|a|r|e|j|a|d|i|	ব|া|র|ি|জ|া|দ|ি|
b:a|r|e|n|	ব|র|ে|ন|
b:a|r|e|n|d|r:a|	ব|র|ে|ন:্|দ:্|র|
b:a|r|e|n|d|r:a|n|a|t:h|	ব|র|ে|ন:্|দ:্|র|ন|া|থ|
b|a|r|e|t|a|	ব|া|র|ে|ট|া|
b|a|r|f|l|e|u|r|	ব|া|র|ফ:্|ল|ে|উ|র|
b|a|r|g|a|d|i|	ব|া|র|গ|া|দ|ি|
b|a|r|g|a:r:h|	ব|া|র|গ|ড়|
b|a|r|h|a|n|	ব|া|র|হ|া|ন|
b|a|r|h|i|y|a|	ব|া|র|হ|ি|য়|া|
b|a|r|h|n|i|	ব|া|র|হ|ন|ি|
b|a|r|i|	ব|া|র|ি|
b|a|r|i|	ব|া|ড়|ি|
b|a|r|i|d|a|	ব|া|র|ি|দ|া|
b|a|r|i|d|b:a|r:a|n|	ব|া|র|ি|দ|ব|র|ণ|
b|a|r|i|l|a|	ব|া|র|ি|ল|া|
b|a|r|i|m:a|n|i|	ব|া|র|ি|ম|ন|ি|
b|a|r|i:n|	ব|া|র:ী|ন|
b:a|r|j|a|h|a|n|	ব|ড়|জ|া|হ|া|ন|
b|a|r|j|a|n|	ব|া|র|জ|া|ন|
b:a|r|k|a|	ব|ড়|ক|া|
b|a|r|k|a|k|a|n:a|	ব|া|র|ক|া|ক|া|ন|
b:a|r|k:a|t|	ব|র|ক|ত|
b:a|r|k:a|t|a|l|i|	ব|র|ক|ত|আ|ল|ি|
b:a|r|k:a|t|u|l|l|a|	ব|র|ক|ত|উ|ল:্|ল|া|
b:a|r|l|a|l|	ব|ড়|ল|া|ল|
b|a|r|l:o:w|	ব|া|র|ল:ো|
b:a|r|m|a|	ব|র:্|ম|া|
b:a|r|m|i|	ব|র|ম|ি|
b:a|r|m|i|n|i|	ব|ড়|ম|ি|ন|ি|
b|a|r|n|	ব|া|র:্|ন|
b:a|r|n|a|	ব|র:্|ন|া|
b:a|r|n:a:b|a|l|a|	ব|র:্|ণ:ব|া|ল|া|
b|a|r|n:a|g:a|r|	ব|া|র|ন|গ|র|
b|a|r|n|a|l|a|	ব|া|র|ন|া|ল|া|
b|a|r:n:a|l|i|	ব|ন:া|র:্|ল|ী|
b:a|r|n|a:m|a|l|a|	ব|র:্|ণ|ম|া|ল|া|
b|a|r|n|e|s|	ব|া|র:্|ন|ে|স|
b|a|r|n|e:t:t|	ব|া|র|ন|ে:ট|
b|a|r|n:e:y|	ব|া|র:্|ন:ি|
b|a|r|n|s|t|a:b|l:e|	ব|া|র:্|ন|স:্|ট:ে|ব|ল|
b|a|r|n|w|e:l:l|	ব|া|র:্|ন|ও:য়|ে:ল|
b|a|r|o|g|	ব|া|র|ো|গ|
b|a|r|p|a|l|i|	ব|া|র|প|া|ল|ি|
b|a|r|p|e|t|a|	ব|া|র|প|ে|ট|া|
b|a|r:r|a|c:k|p|o:r:e|	ব:্|য:া|র|া|ক|প|ু:র|
b:a:r|r|a|n|c|a|s|	ব:্|র|া|ন|ক|া|স|
b|a|r:r:i|n|g|t|o|n|	ব|া|র:ি|ঙ:্|গ|ট|ো|ন|
b|a|r|r:o:w|	ব:্|য:া|র|ো|
b|a|r:r:y|	ব|ে|র:ি|
b|a|r|s|a|t:h:i|	ব|া|র|স|া|থ:ী|
b:a|r|s:h|a|	ব|র:্|ষ|া|
b:a|r|s:h:a|n|	ব|র:্|ষ|ন|
b:a|r|s:h|a|r|a|n|i|	ব|র:্|ষ|া|র|া|ন|ী|
b:a|r|s|i|	ব|র|স|ি|
b|a|r|s|u|a|n|	ব|া|র|স|ু|য়:া|ন|
b|a|r|t|	ব|া|র:্|ট|
b:a|r|t:a|m|a|n|	ব|র:্|ত|ম|া|ন|
b|a|r|t|o|n|	ব|া|র:্|ট|ো|ন|
b:a|r|u|a|	ব|র|ু|য়:া|
b:a|r|u|n|d|e|b|	ব|র|ু|ন|দ|ে|ব|
b|a|r|u|n|i|	ব|া|র|ু|ন|ী|
b:a|r|u|n|k|a|n|t|i|	ব|র|ু|ন|ক|া|ন:্|ত|ি|
b:a|r|u|n|k|u|m|a|r|	ব|র|ু|ণ|ক|ু|ম|া|র|
b|a|r|w|a|h|a|	ব|া|র|য়|া|হ|া|
b|a|r|y|a|	ব|া|র|য়|া|
b|a|s|a:b:i|	ব|া|স|ব:ী|
b:a|s|a|i|	ব|স|া|ই|
b|a|s:a|k|	ব|া|স|ক|
b|a|s:a|n|a|	ব|া|স|ন|া|
b:a|s:a|n|t:a|l|a|l|	ব|স|ন:্|ত|ল|া|ল|
b|a|s:a|n|t|i|	ব|া|স|ন:্|ত|ি|
b|a|s:a|n|t|i|b|a|l|a|	ব|া|স|ন:্|ত|ী|ব|া|ল|া|
b|a|s:a|n|t|i|d|e|b|i|	ব|া|স|ন:্|ত|ী|দ|ে|ব|ী|
b|a|s:a|n|t|i|l:a|t|a|	ব|া|স|ন:্|ত|ী|ল|ত|া|
b:a|s|a|r|	ব|স|া|র|
b|a|s|a|r|	ব|া|স|া|র|
b|a|s|a|r:a|t|a|l|i|	ব|া|স|া|র|ত|আ|ল|ী|
b:a|s|a|v|a|	ব|স|া|ভ|া|
b|a|s|d|e|b|	ব|া|স|দ|ে|ব|
b|a|s|e|d|a|	ব|া|স|ে|দ|া|
b|a|s|e|d|a|l|i|	ব|া|স|ে|দ|আ|ল|ী|
b|a|s|e|l|	ব|া|স|ে|ল|
b|a|s|e|n|a|	ব|া|স|ে|ন|া|
b|a|s|e|t|u|n|	ব|া|স|ে|ত|ু|ন|
b|a|s:h|e|r|a|	ব|া|শ|ে|র|া|
b:a|s:h:i|s|h|t:a|	ব|শ:ি|ষ|্|ট|
b|a|s|i|	ব|া|স|ি|
b:a|s|i|r|	ব|স|ী|র|
b:a|s|i|r|a|l|i|	ব|স|ি|র|আ|ল|ি|
b|a|s|i|r|a|m|	ব|া|স|ী|র|া|ম|
b:a|s|i|r|a|n|	ব|স|ি|র|া|ন|
b|a|s|i|r|u|l|	ব|া|স|ি|র|ু|ল|
b:a|s|i|r|u|n|	ব|স|ি|র|ু|ন|
b|a|s|k|a|	ব|া|স|ক|া|
b|a|s|k|e|	ব|া|স|ক|ে|
b|a|s|k|e|t|b:a|l:l|	ব|া|স:্|ক|ে|ট|ব|ল|
b|a|s|k|i|n|	ব|া|স:্|ক|ি|ন|
b|a|s|m:a|n|i|	ব|া|স|ম|ন|ি|
b|a|s|m|a|t|	ব|া|স|ম:্|য:া|ট|
b:a|s|r|a|	ব|স|র|া|
b:a|s|r|u|l|	ব|স|র|ু|ল|
b|a|s:s|	ব|া|স|
b|a|s:s|a|s|e|a|c:h:i|	ব|া|স|া|স|ি:য়|া|চ:ি|
b|a|s:s:i|	ব|া|স:ী|
b:a|s|t|a|	ব|স|ত|া|
b|a|s|t|a|m|i|	ব|া|স:্|ত|া|ম|ী|
b|a|s|t|a|r|	ব|া|স:্|ত|া|র|
b|a|s|t|i|	ব|া|স:্|ত|ি|
b|a|s|u|b|a|l|a|	ব|া|স|ু|ব|া|ল|া|
b|a|s|u|d|e|b|	ব|া|স|ু|দ|ে|ব|
b|a:s:u|d|e|b|	ব:া|স:ূ|দ|ে|ব|
b|a|s|u|d|e|o|	ব|া|স|ু|দ|ে|ও|
b|a|s|u|d|e|v|	ব|া|স|ু|দ|ে|ভ|
b|a|s|u|k|i|	ব|া|স|ু|ক|ী|
b:a|s|u|l|a|	ব|স|ু|ল|া|
b:a|s|u|m:a|t|i|	ব|স|ু|ম|ত|ি|
b|a|s|w|a|	ব|া|স|য়|া|
b:a|t:a|k|r:i:s|h:n:a|	ব|ট|ক|ৃ:ষ|্:ণ|
b|a|t|a|l|a|	ব|া|ত|া|ল|া|
b|a|t|a|s|i|	ব|া|ত|া|স|ি|
b:a|t|e|s:h:w|a|r|	ব|ট|ে|শ|্:ব|র|
b:a|t|i|j|a|	ব|ত|ি|য|া|
