h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
c|a:r|b|o|n|i|c|	ק|ר|ב|ו|נ|י|ק|
i|s:a|a|c|	א:י|ז|א|ק|
j|u|d|a:h|	ג:'|ו|ד|ה|
p|o|d|g|o|r|i|c|a|	פ|ו|ד|ג|ו|ר|י|ק|א|
m|e|t|r|e|v|e|l|i|	מ|י|ט|ר|י|ב|י|ל|י|
b|a|s|i|n|g|e:r|	ב|א|ס|י|נ|ג|ר|
s|a|m|a|n|t:h|a|	ס|א|מ|א|נ|ת|א|
c|a|m:e|l|o|t|	ק|א|מ|ל|ו|ט|
d|a|o:u|d|i|	א:ל|ד:א|ו|ד|י|
j|o|r|g|	ג:'|ו|ר|ג|
s:h|a:w|k|y|	ש|ו|ק|י|
h|a|r|u|n|	ה|א|ר|ו|ן|
a|l|s|i|q|i|l:l|i|	א|ל|ס|י|ק|י|ל|י|
j|l:l|o|y|d|	ג:'|ל|ו|י|ד|
t:e|n|e:r|i|f:e|	ט|נ|ר|י|ף|
h|i|d|e|g:k|u|t|i|	ה|י|ד|י|ק|ו|ט|י|
k|r|e|m|e:r|	ק|ר|י|מ|ר|
m|a|r|c|e:l|l:o|	מ|א|ר|צ:'|ל|ו|
m|a|l|i|k|	מ|א|ל|י|ק|
t:a|w|i|l|	ט|ו:ו|י|ל|
b:a|h|r|a|m|	ב|ה|ר|א|ם|
f|r|a|n|k|l|y|n|	פ|ר|א|נ|ק|ל|י|ן|
b|r|a|x|t|o|n|	ב|ר|א|ק:ס|ט|ו|ן|
c|a|t:h|e|r|i|n:e|	ק|א|ת|י|ר|י|ן|
g|u|a|n|g|h|u|	ג|ו|א|נ|ג|ה|ו|
a|m|b|r|o|s:e|	א|מ|ב|ר|ו|ס|
s:e|x|t|o|n|	ס|ק:ס|ט|ו|ן|
c|a|l:a|i:s|	ק|א|ל|ה|
m:a|k|r|a:m|	מ|ק|ר|ם|
a|v|n|e:r|	א|ב|נ|ר|
m|w|a|i|	מ|ו|א|י|
p|o|p|a|	פ|ו|פ|א|
c|a|r|n|i|g|l|i|a|	ק|א|ר|נ|י|ג|ל|י|א|
m|a|t|s|u|d|a|	מ|א|ט|ס|ו|ד|א|
t:e|m|s|a:m|a|n|i|	ט|מ|ס|מ|א|נ|י|
t|r|e|n|t|i|n|o|	ט|ר|י|נ|ט|י|נ|ו|
p|y|o|n|g|y|a|n|g|	פ|י|ו|נ|ג|י|א|נ|ג|
l|i|p|c:h|i|t:z|	ל|י|פ|ש|י|ץ|
l|a|t|u|f:f|	ל|א|ט|ו|ף|
l|i|m|a|n|	ל|י|מ|א|ן|
k|o|p|a|	ק|ו|פ|א|
h:e|s|t|e:r|	ה|ס|ט|ר|
j|o|z|e:f|	ג:'|ו|ז|ף|
d|u|l:a|i|m|	ד|ו|ל|י:י|ם|
c|a|r|d|e|n|o|s|a|	ק|א|ר|ד|י|נ|ו|ס|א|
c|o|p|a|	ק|ו|פ|א|
n|a|c:h|b|a|r|	נ|א|כ|ב|א|ר|
m|i|c:h|e|ľ|	מ|י|כ|י|ל|
b|u|b|e:r|n|i|k|	ב|ו|ב|ר|נ|י|ק|
c|l|e|a:r|y|	ק|ל|י|ר|י|
s|k|a|r|m|e|t|a|	ס|ק|א|ר|מ|י|ט|א|
t:e|k|l|e|	ט|ק|ל|ה|
l:i|a|o|n|i|n|g|	ל|א:י|ו|נ|י|נ|ג|
s|a|t|o|r|u|	ס|א|ט|ו|ר|ו|
d:e|l|b|r|u|c:k|	ד|ל|ב|ר|ו|ק|
g|a|l:l|i|a|n|i|	ג|א|ל|י|א|נ|י|
s|i|m|f|e|r|o|p|o|l|	ס|י|מ|פ|י|ר|ו|פ|ו|ל|
a|l|s:h|a:h|i|d|	א|ל|ש|ה|י|ד|
h|e:r|z|l|	ה|ר|צ|ל|
e|n|t:e|b:b|e|	א|נ|ט|ב|ה|
c|a|v|a|n:n|a|	ק|א|ב|א|נ|א|
g:h|a|y:e|g:h|r|a|n|	ג|א|י|ג|ר|א|ן|
k|a|m|i|y:a|	ק|א|מ|י|א|
s|o|l|a|r|i|	ס|ו|ל|א|ר|י|
m|a|s|l|y|o|n|k|i:n|	מ|א|ס|ל|י|ו|נ|ק|ן|
p|a|l|o|p|	פ|א|ל|ו|פ|
d|w|o|m|o|h|	ד|ו|ו|מ|ו|ה|
j|o|h:a|n:n|a|	י|ו|ה|נ|א|
b|e:r|t|r|a|n|d|	ב|ר|ט|ר|א|נ|ד|
b|e|y|e|	ב|י|י|ה|
d|i|d|e:r|i|k|	ד|י|ד|ר|י|ק|
s:h|a|o|b|o|	ש|א|ו|ב|ו|
v|i|l:l|e|g|a|s|	ו|י|ל|י|ג|א|ס|
g|o|d|f|r:e|y|	ג|ו|ד|פ|ר|י|
s|o|l|a|n|o|	ס|ו|ל|א|נ|ו|
d|a:r|a|a|	ד|ר|ע|א|
a|l|a|n|s|a|r|i|	א|ל|א|נ|ס|א|ר|י|
s:h|a|a:r|a|w|i|	ש|ע|ר|א|ו|י|
t|u|v|a|	ט|ו|ב|א|
g:o|e:t|h:e|	ג|ת|ה|
s|u|k:h|u|m|i|	ס|ו|כ|ו|מ|י|
j|u:d|d|	ג:'|א|ד|
h|o|j|o|	ה|ו|ג:'|ו|
c|a|t:t|e:r|m|o|l:e|	ק|א|ט|ר|מ|ו|ל|
g|r|a|s:s|	ג|ר|א|ס|
b|u|r|g|n|i|c:h|	ב|ו|ר|ג|נ:י|ט|ש|
k|a|z|a|n|t:z|a|k|i|s|	ק|א|ז|א|נ|צ|א|ק|י|ס|
n|a|z|e:m|	נ|א|ז|ם|
a|f|l|a:q|	ע|פ|ל|ק|
m:a|u|r|i|z|i|o|	מ|ו|ר|י|ז|י|ו|
r|e|m|	ר|י|ם|
a|v|n|i|	א|ב|נ|י|
h|e|i|d|i|	ה|א|י|ד|י|
j|o|r|d|a|o|	ח|ו|ר|ד|א|ו|
l:e|m|	ל|ם|
b|o|l|z|a|n|o|	ב|ו|ל|ז|א|נ|ו|
h|u|c:h|e:l|	ה|ו|כ|ל|
b|u|d|a|n|	ב|ו|ד|א|ן|
h|i|l:l|a|r|y|	ה|י|ל|א|ר|י|
h|i|k|a|r|u|	ה|י|ק|א|ר|ו|
g:e|f:f|e:n|	ג|פ|ן|
a|r|u|n|	א|ר|ו|ן|
b|r|a|u|n|	ב|ר|א|ו|ן|
t|a|n|k|i|a|n|	ט|א|נ|ק|י|א|ן|
m|e|r|t|o|n|	מ|י|ר|ט|ו|ן|
g|r|u|n|	ג|ר|ו|ן|
b:a|r:a|k|	ב|ר|ק|
d|a|w:o|u:d|	ד|א|ו|ד|
s|u|m:a|t|r|a|	ס|ו|מ|ט|ר|ה|
s|t|i|l|i|y:a|n|	ס|ט|י|ל|י|א|ן|
g|r|i|m|s:s|o|n|	ג|ר|י|מ|ס|ו|ן|
n|i|f|l|h|e|i|m|	נ|י|פ|ל|ה|א|י|ם|
m|o|d|e|s|t|e|	מ|ו|ד|י|ס|ט|י|
w|a|s|k|e|	ו|א|ס|ק|י|
b|e|j|b|l|	ב|י|י|ב|ל|
o|s|m|a|n|	ע:ו|ס|מ|א|ן|
l|a|r|n:a|c|a|	ל|א|ר|נ|ק|א|
n|i|c|l|a|s|	נ|י|ק|ל|א|ס|
d:e|g:a|n|i|a|	ד|ג|נ|י|ה|
l|a|	ל|א|
v|e:r|c|i|n|g|e|t|o|r|i|x|	ו|ר|ס|י|נ|ג|י|ט|ו|ר|י|ק:ס|
h|o|b|a|r|t|	ה|ו|ב|א|ר|ט|
b|a|	ב|א|
e|x|x:o|n|	א|ק:ס|ו|ן|
l|i|l|	ל|י|ל|
p|i|a|t|r|a|	פ|י|א|ט|ר|א|
o|i|l|	א:ו|י|ל|
m|o|h|a|j|e:r|a|n|i|	מ|ו|ה|א|ג:'|ר|א|נ|י|
y:e|l:l|o:w|s|t|o|n:e|	י|ל|ו|ס|ט|ו|ן|
g|i|l|	ג|י|ל|
d|a:u|d|e:t|	ד|ו|ד|ה|
v|o|j|t|a|	ב|ו|י|ט|א|
a|l|b|a|r|i|	א|ל|ב|א|ר|י|
g|w|e|n|	ג|ו|י|ן|
s|i|m|u|n|i|c|	ס|י|מ|ו|נ|י|ט:ש|
l|i|l:l|e:h|a|m:m|e:r|	ל|י|ל|ה|א|מ|ר|
j|e|r|z|y|	י|י|ר|ז|י|
k|u|b|l|a|i|	ק|ו|ב|ל|א|י|
g|a|l|s|w|o|r|t:h|y|	ג|א|ל|ז|ו|ו|ר|ת|י|
h|i|d|a|l|g|o|	ה|י|ד|א|ל|ג|ו|
p|a|k|i|t|o|	פ|א|ק|י|ט|ו|
b|a|r|e|s|i|	ב|א|ר|י|ז|י|
p|a|r|m|a|	פ|א|ר|מ|א|
a|d|r|i|a|n|a|	א|ד|ר|י|א|נ|א|
m|a|u|s:s|	מ|א|ו|ס|
n:a|s:s|a|r|	נ|ס|א|ר|
h|a|n:e|y|	ה|י:י|נ|י|
v|e:r|m:e|s|	ו|ר|מ|ס|
s|o|c:h|a|	ס|ו|כ|א|
f|a|z|e|k|a|s|	פ|א|ז|י|ק|א|ס|
g|a|r|a|y|	ג|א|ר|א|י|
n|a|o|r|	נ|א|ו|ר|
k|i|t:t|i|s|a|k|	ק|י|ט|י|ס|א|ק|
d|i:e|t:z|	ד|י|ץ|
c|a|r|n:e|y|	ק|א|ר|נ|י|
m|i|r|a|n|	מ|י|ר|א|ן|
z|e|n|k|o|	ז|י|נ|ק|ו|
d|o:u|g|	ד|ו|ג|
f|a|r|a:h|	פ|א|ר|ח|
f:a|r:a|j|	פ|ר|ג:'|
s:a|h:a|r|	ס|ח|ר|
l|i|l|i|a|n|	ל|י|ל|י|א|ן|
j|e|f:f|r:e|y|	ג|'|פ|ר|י|
a|g|a|t:h|a|	א|ג|א|ת|א|
r|o:c|h:e|	ר|ו|ש|
t|o|r|o|n|t|o|	ט|ו|ר|ו|נ|ט|ו|
b|u|c:h|a|r:e|s|t|	ב|ו|כ|א|ר|ס|ט|
t|o:u|l|o:u|s:e|	ט|ו|ל|ו|ז|
f|a|r|a|g|	פ|א|ר|א|ג|
m:a|h|m|u|d|	מ|ח|מ|ו|ד|
s|a:h|a|b|	ס|ח|א|ב|
p|a|r|	פ|א|ר|
g|o|d|w|i|n|s|o|n|	ג|ו|ד|ו|י|נ|ס|ו|ן|
n|a|u|m|a|n:n|	נ|א|ו|מ|א|ן|
d|u|d|u|	ד|ו|ד|ו|
n|i|l|s:s|o|n|	נ|י|ל|ס|ו|ן|
l|a|m|a|r|i|	ל|א|מ|א|ר|י|
k:h|o|r|e|n|	ח|ו|ר|י|ן|
t|u|d|o|r|	ט|ו|ד|ו|ר|
p|i|q:u|i|o:n|n:e|	פ|י|ק|י|ו|ן|
m|i|k:k|e:l|	מ|י|ק|ל|
c:h|r|i|s|t|a|n|v|a|l|	ק|ר|י|ס|ט|א|נ|ב|א|ל|
r|o|s|a|	ר|ו|ז|א|
b|a|b|a|c|a|n|	ב|א|ב|א|ק|א|ן|
v|i|z|e|k|	ו|י|ז|י|ק|
k|i|r|a|n|	ק|י|ר|א|ן|
j|e|n:n|e:r|	ג|'|נ|ר|
k|a|n|u|	ק|א|נ|ו|
j|o|m|o|	ג:'|ו|מ|ו|
a|i|m|a|r|	א|י|מ|א|ר|
h|i|l|d|i|t|c:h|	ה|י|ל|ד|י|ט|ש|
g|o:o|g|l:e|	ג|ו|ג|ל|
r|i:t|c:h|i|e|	ר|י|צ|'|י|
m|a|n|e:t|	מ|א|נ|ה|
p|o|m|p|e|u|	פ|ו|מ|פ|י|ו|
s:e|i|f|	ס|י|ף|
a|k|i|h|i|t|o|	א|ק|י|ה|י|ט|ו|
b|a|k|e:r|	ב|י:י|ק|ר|
b:e|n|h:a|s:s|i|	ב|נ|ח|ס|י|
a|l|h:a|m|a|d|i|	א|ל|ח|מ|א|ד|י|
m|a|n|e|a|	מ|א|נ|י|ע|
s|p|i|n|a|	ס|פ|י|נ|א|
z|a|c:h|a|r|i|a:h|	ז|א|כ|א|ר|א:י|א|
c|l|a|u|d|i|a|	ק|ל|א|ו|ד|י|א|
y|u|i|c|h:i|	י|ו|י|צ:'|י|
e|l|a|c:h|i|	א|ל|ע|ש|י|
b|o|n:a|i|r:e|	ב|ו|נ|י:י|ר|
t|y|r|o|l|	ט|י|ר|ו|ל|
g|i|o|r|g|o|s|	ג:'|י|ו|ר|ג|ו|ס|
h|a|r:r|i|s|	ה|א|ר|י|ס|
b:e|e|n|h|a|k:k|e:r|	ב|י|נ|ה|א|ק|ר|
b|u|l|t|m|a|n:n|	ב|ו|ל|ט|מ|א|ן|
m|o|n|t|g|o|m|e:r|y|	מ|ו|נ|ט|ג|ו|מ|ר|י|
k|l:e|i|b|e:r|	ק|ל|י|ב|ר|
c|l|i|j|s|t|e:r|s|	ק|ל|א|י|ס|ט|ר|ז|
c|o|s|t|i|n|h|a|	ק|ו|ס|ט|י|נ|ה|א|
e|f|r|o|n|	א|פ|ר|ו|ן|
s|e|a:l|y|	ס|י|ל|י|
h|a|j|i|m|	ח|א|ג:'|י|ם|
s:c|h:u|m|p|e|t|e:r|	ש|ו|מ|פ|י|ט|ר|
k|e|n|i|c|h:i|	ק|י|נ|י|צ:'|י|
b|a|s|i|l:e|	ב|א|ס|י|ל|
a|s|t|i|	א|ס|ט|י|
b|a|s:s|i|l|a|	ב|א|ס|י|ל|א|
b|e|l|o|z|o|g|l|u|	ב|י|ל|ו|ז|ו|ג|ל|ו|
e|s|t|i|	א|ס|ט|י|
m|a|l|o:t|	מ|א|ל|ו|
d|e|m|b|a|	ד|י|מ|ב|א|
s:h|a:r|i|r|	ש|ר|י|ר|
s|t|e|p:h|e:n|s|o:n|	ס|ט|י|פ|נ|ס|ן|
j|o|l|e|o|n|	ג:'|ו|ל|י|ו|ן|
m|o|k:h|t|a|r|i|	מ|ו|ח|ט|א|ר|י|
s|o|p:h|i|a|	ס|ו|פ|י|א|
j|a|n|e|z|	ג:'|א|נ|י|ז|
l|e|g|r|o|t:t|a|g:l|i:e|	ל|י|ג|ר|ו|ט|א|ל|י|
s|a|t|o|s:h|i|	ס|א|ט|ו|ש|י|
u|n|e|s|c|o|	י:ו|נ|י|ס|ק|ו|
t|a|k|e|u|c|h:i|	ט|א|ק|י|ו|צ:'|י|
g|r|e|n|e|t|	ג|ר|י|נ|י|ט|
m|a|t|s:u|o|k|a|	מ|א|ט|ס|ו|ק|א|
y|a:n|a|i|	י|נ|א|י|
r|e|g:u|e|i|r|o|	ר|י|ג|י|י|ר|ו|
t|y|r|o|s|i|n:e|	ט|י|ר|ו|ס|י|ן|
s:h|u|k|e|i|r|i|	ש|ו|ק|י|י|ר|י|
k|a|z|i|m|i|r|	ק|א|ז|י|מ|י|ר|
d|i|a:n|n:e|	ד|א:י|א|ן|
c|h:o|v|a|n|e|c|	צ:'|ו|ב|א|נ|י|ט:ש|
k:a|k|h:i|	ק|ק|י|
c|h:i|v|u|	צ:'|י|ב|ו|
t|s|u|y|o|s:h|i|	ט|ס|ו|י|ו|ש|י|
o|s|w|a|l|d|	א:ו|ס|ו|א|ל|ד|
w|o|n|d|e:r|	ו|ו|נ|ד|ר|
d|a|r|b|y|	ד|א|ר|ב|י|
n:e|s|t|e:r|o|v|	נ|ס|ט|ר|ו|ב|
m:a|h:a|l|	מ|ח|ל|
k|a|l|o:u|	ק|א|ל|ו|
m|a|r|i|a|n|o|	מ|א|ר|י|א|נ|ו|
w|a|k|s|m|a|n|	ו|א|ק|ס|מ|א|ן|
m|i|r|b:e|a:u|	מ|י|ר|ב|ו|
h|a|l:l|e:y|	ה|א|ל|י|
h|i|r|o|	ה|י|ר|ו|
r|i|o|	ר|י|ו|
b:e|l|q|a|s|	ב|ל|ק|א|ס|
m|o|r|d|o|r|	מ|ו|ר|ד|ו|ר|
a|u|s|t|r|a|l|i|a|	א|ו|ס|ט|ר|א|ל|י|א|
e|l|h:a|n:a|n|	א|ל|ח|נ|ן|
d:a|i|l:l|y|	ד|י:י|ל|י|
k:a|t|a|	ק|ט|ע|
l:a|h:a|d|	ל|ח|ד|
n|a|m|b|a|r|y|n|	נ|א|מ|ב|א|ר|י|ן|
m|u|s|e|m|i|c|	מ|ו|ס|י|מ|י|ט:ש|
v:e|l|i|k|o|	ו|ל|י|ק|ו|
j|a|l|o:o|	ג:'|א|ל|ו|
i|m|l|a|y|	א:י|מ|ל|י|י|
h|u:r|n|d:a|l:l|	ה|ר|נ|ד|ל|
m|o|n|t|e|r|o|	מ|ו|נ|ט|י|ר|ו|
r|e|d|n|i|c|	ר|י|ד|נ|י|ק|
c|o|l:e|	ק|ו|ל|
h:e|i|n:t|j:e|	ה|א|י|ן|
j|o|c|h:i|	ג:'|ו|ט:ש|י|
h|i|n|k|e:l|	ה|י|נ|ק|ל|
f|a:u|c|i|	פ|ו|ס|י|
b|r|u|n|o|	ב|ר|ו|נ|ו|
r|y|o|k|i|c|h:i|	ר|י|ו|ק|י|צ:'|י|
l|a|m:m|e:n|s|	ל|א|מ|נ|ס|
a|n:n|i:e|	א|נ|י|
f|o|r:e|m|a|n|	פ|ו|ר|מ|א|ן|
f|r|i|d|a|	פ|ר|י|ד|ה|
s|t|e|i|n|e:r|	ס|ט|י|ا|נ|ר|
m|c|m|a|h|o|n|	מ|ק|מ|א|ה|ו|ן|
l|u|d|z|a|	ל|ו|ד|ז|א|
s|a:r|d|i|n|i|a|	ס|ר|ד|י|נ|י|א|
j|a:h|a|n|	ג:'|ה|א|ן|
t|i|l:l|m|a|n|	ט|י|ל|מ|א|ן|
b:e|s|t|	ב|ס|ט|
h|y|u|n|d|a|i|	ה|י|ו|נ|ד|א|י|
b|i|r|a|k|	ב|י|ר|א|ק|
t|e|e:r|a|s|i|l|	ט|י|ר|א|ס|י|ל|
n|d|a|o|	נ|ד|א|ו|
t|o|j|o|	ט|ו|ג:'|ו|
p:e|n:n|a|c|	פ|נ|א|ק|
m|a|s|a|r|u|	מ|א|ס|א|ר|ו|
h|i|r|o|h|i|t|o|	ה|י|ר|ו|ה|י|ט|ו|
h|o|r|i|	ה|ו|ר|י|
t:a|m|i|m|	ת|מ|י|ם|
m|c|l|a|c:h|l|a|n|	מ|ק|ל|א|ק|ל|א|ן|
l|o:u|i|s|i|a|n|a|	ל|ו|י|ז|י|א|נ|א|
s|p|e|n|c:e|	ס|פ|י|נ|ס|
l:e|v|y|	ל|ו|י|
c|a|r|a|c|a|s|	ק|א|ר|א|ק|א|ס|
h:a|m|d|a|n|	ח|מ|ד|א|ן|
c|o|r|i|	ק|ו|ר|י|
s|a:m|i|r|	ס|מ|י|ר|
g|a|r|b|o|	ג|א|ר|ב|ו|
l|i|l|y|	ל|י|ל|י|
n|i|x|o|n|	נ|י|ק:ס|ו|ן|
v|a|l|d|i|s|	ו|א|ל|ד|י|ס|
d|a|n:e|s|	ד|י:י|נ|ס|
k:h|a:m|i|s|	ח|מ|י|ס|
n|a|n:n|i|n|g|a|	נ|א|נ|י|נ|ג|א|
k|r|u:e|g|e:r|	ק|ר|ו|ג|ר|
v|a|l|d:e|s|	ו|א|ל|ד|ז|
b|e|r|n|o:u|l:l|i|	ב|י|ר|נ|ו|ל|י|
s|a:m|i|h|	ס|מ|י|ח|
n|i|c|o|l|e:t|	נ|י|ק|ו|ל|ה|
e|m|i|l|i|o|	א|מ|י|ל|י|ו|
b:a|g:h|d|a|d|	ב|ג|ד|א|ד|
a|k|a|k|i|	א|ק|א|ק|י|
b|o:s|c:h|	ב|ו|ש|
n|i|c|o|l|a|	נ|י|ק|ו|ל|א|
f|u|m|i|h|i|k|o|	פ|ו|מ|י|ה|י|ק|ו|
f|o|r|s:s|k|a|l|	פ|ו|ר|ס|ק|א|ל|
j|a|m:e|s|	ג:'|י:י|מ|ז|
k:a|r|m|i|	כ|ר|מ|י|
y|a|o:u|n|d|e|	י|א|ו|נ|ד|י|
n:a|h:a|l|	נ|ח|ל|
r|a|m|i|n|	ר|א|מ|י|ן|
y|a|k:h|o:u|r|	י|א|כ|ו|ר|
t|a:r|t|u|s|	ט|ר|ט|ו|ס|
m|a|n|t:e|l:l|	מ|א|נ|ט|ל|
s|o|n|g|u|l|	ס|ו|נ|ג|ו|ל|
b|a|n|e|l|	ב|א|נ|י|ל|
g|u|e|s|d|o|n|	ג|ו|י|ס|ד|ו|ן|
h|e|i|s:s|e:r|e:r|	ה|י|י|ס|ר|ר|
t|o|m:m|o|t|	ט|ו|מ|ו|ט|
w|i|l:a|n|d|e:r|	ו|י|ל|נ|ד|ר|
h|e:r|t:z|	ה|ר|ץ|
p|o|r|u|s:h|	פ|ו|ר|ו|ש|
s:h|a|g|a|r|i|	ש|א|ג|א|ר|י|
m|u|h:a|m:m|a:d|u|	מ|ו|ח|מ|ד|ו|
s|e:a|l:e|	ס|י|ל|
o|n|c:k|e|n|	א:ו|נ|ק|י|ן|
m|a|t|i|a|s|	מ|א|ט|י|א|ס|
b|r|a|d|b:u|r|y|	ב|ר|א|ד|ב|ר|י|
o|k|a|f|o|r|	א:ו|ק|א|פ|ו|ר|
c|a|i|l:l|e:b|o:t|t:e|	ק|א|י|י|ב|ו|ט|
f:e|c:h|n|e:r|	פ|כ|נ|ר|
h:a|m|i|t|	ח|מ|י|ט|
d:a|h:a|b|	ד|ה|ב|
m:i|z|r|a:h|i|	מ|ז|ר|ח|י|
f|i|r|a|s|	פ|י|ר|א|ס|
n|i|e:l|s|e:n|	נ|י|ל|ס|ן|
c|o|r:r|i|g|a|n|	ק|ו|ר|י|ג|א|ן|
r|u|p|e:r|t|	ר|ו|פ|ר|ט|
h:a|m|i|d|	ח|מ|י|ד|
b|a|l:l|e|s|t|a|	ב|א|י|י|ס|ט|א|
r:o|u:s|s:e|a:u|	ר|ו|ס|ו|
b|o|n|s|a|i|	ב|ו|נ|ס|א|י|
c:a|i|n:e|	ק|י:י|ן|
d|j|o|k|o|v|i|c|	ד|ג:'|ו|ק|ו|ב|י|ט:ש|
g|o|t:t|h|e|l|f|	ג|ו|ט|ה|י|ל|ף|
m|u|r|t|a|l|a|	מ|ו|ר|ט|א|ל|א|
m|a|r|c|o|n|i|	מ|א|ר|ק|ו|נ|י|
n:e|b|r|a|s|k|a|	נ|ב|ר|א|ס|ק|א|
p|i|s|c|a|t|o|r|	פ|י|ס|ק|א|ט|ו|ר|
d|e|l|a|n:e|y|	ד|י|ל|י:י|נ|י|
l|y:n|n:e|	ל|י|ן|
d|o|m|i|n|i|c|a|	ד|ו|מ|י|נ|י|ק|א|
c|r|i|p:p|e:n|	ק|ר|י|פ|ן|
s|a|r|k|o|z|y|	ס|א|ר|ק|ו|ז|י|
g|a|n|e|a|	ג|א|נ|י|א|
t|i|e:r|n:e|y|	ט|י|ר|נ|י|
b|u|g|a|n|d|a|	ב|ו|ג|א|נ|ד|א|
c|o|n|a|k|r|y|	ק|ו|נ|א|ק|ר|י|
a|s:h|e:r|	א|ש|ר|
g|o:u|l|d|	ג|ו|ל|ד|
b|a|d|a|l|o|n|a|	ב|א|ד|א|ל|ו|נ|א|
h:a|m|i|d|o:u|	ח|מ|י|ד|ו|
b|i|k|e:y|	ב|א:י|ק|י|
t|a:h|e:y|y:a|	ט|ח|י|ה|
b:a|h:a|r|	ב|ח|ר|
m|e:r|i|e:m|	מ|ר|י|ם|
t|i|t|u|s|	ט|א:י|ט|ו|ס|
c|a|l|c|u|t:t|a|	ק|א|ל|ק|ו|ט|א|
s|u|t:t|n|e:r|	ס|ו|ט|נ|ר|
j|o:h|n|s|t|o|n|	ג:'|ו|נ|ס|ט|ו|ן|
b|i:n|y|a:m|i|n|	ב|נ|י|מ|י|ן|
z:e|t|k|i|n|	ז|ט|ק|י|ן|
s|a|y|a|k|a|	ס|א|י|א|ק|א|
m|c|g:u|i:n|n:e|s:s|	מ:א|ק|ג|י|נ|ס|
a|k|r|o:u|r|	ע|ק|ר|ו|ר|
m|a|t|a|d|i|	מ|א|ט|א|ד|י|
m:e|l|	מ|ל|
s|c|u|l:l|i|	ס|ק|ו|ל|י|
t|a:l|f|a|h|	ט|ל|פ|א|ח|
l|i|l:l|i|a|n|	ל|י|ל|י|א|ן|
q|a|n|s|o|	ק|א|נ|ס|ו|
j|a|k|u|b|	ג:'|א|ק|ו|ב|
l|u|p:e|	ל|ו|פ|
h|y|d|r|o|g|r|a|p:h|i|c|	ה|א:י|ד|ר|ו|ג|ר|א|פ|י|ק|
b|a|u|h|a|u|s|	ב|א|ו|ה|א|ו|ס|
g|u:e|v|a|r|a|	ג|ו|ו|א|ר|א|
g|e|t|u|l|i|o|	ג|י|ט|ו|ל|י|ו|
m|o|n|t|e|n|e|g|r|o|	מ|ו|נ|ט|י|נ|י|ג|ר|ו|
d:e|r:r|i|d|a|	ד|ר|י|ד|א|
r|a|v|s:h|a|n|	ר|א|ב|ש|א|ן|
t|o|l|s|t|o|y|	ט|ו|ל|ס|ט|ו|י|
r|a|d|e|k|	ר|א|ד|י|ק|
l|u|k|o|i|l|	ל|ו|ק|ו|י|ל|
d|a|y|	ד|י|י|
p|l|a|s|i|l|	פ|ל|א|ס|י|ל|
m|a|v|r|o|s|	מ|א|ב|ר|ו|ס|
g|e:r|d|	ג|ר|ד|
b|e|r|k|l:e|y|	ב|י|ר|ק|ל|י|
l|a|m|i|a|	ל|א|מ|י|א|
b|e|n|e:n|s|o|n|	ב|י|נ|י|ס|ו|ן|
c|a|r:r|a|s:s|o|	ק|א|ר|א|ס|ו|
h|o:u|s:s|a|y|	ה|ו|ס|א|י|
f|o|i|r|o|s|	פ|ו|י|ר|ו|ס|
t|u|s|c|a|n|y|	ט|ו|ס|ק|א|נ|י|
m|i|h|a|l|y|	מ|י|ה|א|ל|י|
c|o|r|v|e:r|	ק|ו|ר|ב|ר|
p|i|r|o|x|i|c|a|m|	פ|י|ר|ו|ק:ס|י|ק|א|ם|
n|o|a|m|	נ|ו|ע|ם|
h|a|n|c|o|c:k|	ה|א|נ|ק|ו|ק|
k|a|m:i|l|	ק|א|מ|ל|
j|a:h|s:h|	ג:'|ח|ש|
h:e|l|m|u|t|	ה|ל|מ|ו|ט|
o|r|l|e|a:n|s|	א:ו|ר|ל|י|נ|ז|
m|a|r|c|i|a|n|o|	מ|א|ר|ס|י|א|נ|ו|
p:h|i|l:l|i|p|s|	פ|י|ל|י|פ|ס|
p:h|a|u|	פ|א|ו|
s:h|a|t|i|l|i|	ש|א|ט|י|ל|י|
a|v|r|a:h|a:m|	א|ב|ר|ה|ם|
g|u|n|t|e:r|	ג|ו|נ|ט|ר|
h|a|d:e|n|	ה|י:י|ד|ן|
g|e:r|o|n|i|m|o|	ג:'|ר|א|נ|י|מ|ו|
a|b|r|a:h|a:m|	א|ב|ר|ה|ם|
d|a|w:o|o:d|	ד|א|ו|ד|
w|i|t|o|l|d|	ו|י|ט|ו|ל|ד|
f|u|l:l|e:r|	פ|ו|ל|ר|
j|u|l|i:e|	ג:'|ו|ל|י|
k|i|r|c:h|n|e|r|	ק|י|ר|ש|נ|י|ר|
f:a|h:a|d|	פ|ה|ד|
j|a|m|i:e|	ג:'|י:י|מ|י|
s|a|n:a|a|	ס|א|נ|א|
g|r|a|c:e|	ג|ר|י:י|ס|
c|o|m|o|	ק|ו|מ|ו|
m:e|n:a|s:h|e|	מ|נ|ש|ה|
j|a|n|k|u|l|o|v|s|k|i|	י|א|נ|ק|ו|ל|ו|ב|ס|ק|י|
h|u|b|e:r|t|	ה|י:ו|ב|ר|ט|
j|a|w|a|d|	ג:'|א|ו|א|ד|
k|a|v|a|z|a|s:h|v|i:l|i|	ק|א|ב|א|ז|א|ש|ב|ל|י|
k|r|u|t|i|k|o|v|	ק|ר|ו|ט|י|ק|ו|ב|
