G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
b|o|l|i|v|i|a:n|u:s|	B|o|l|i|v|i|a|n|
N|y|a|z|e|p|e|t|r|o|v|s|z:k|i|	N|y|a|z|e|p|e|t|r|o|v|s|k|y|
B|á|n|	B|a|n|
A|z|i|r|i|n|	A|z|i|r|i|n:e|
H|e|p|t|á|n|	H|e|p|t|a|n:e|
T|o|x|o|p|l|a|z|m|ó|z|i|s|	T|o|x|o|p|l|a|s|m|o|s|i|s|
B|a|g|r|a|m|j|a|n|	B|a|g|r|a|m|y|a|n|
C|a|s|t|i|g|l|i|o|n|e:i|	C|a|s|t|i|g|l|i|o|n|e|
R|a|f|a|e|l|l|a|	R|a|f:f|a|e|l|l|a|
K|a|r|é|l|i|a|	K|a|r|e|l|i|a|
D|é|m|o|n|o|l|ó|g|i:a|	D|e|m|o|n|o|l|o|g|y|
D|r|a|g|o|z:s|a|n|i|	D|r|a|g|o|ž|a|n|i|
G|h|e|r|g|h|i|ț|a|	G|h|e|r|g|h|i|ţ|a|
B|a|n|k:i|	B|a|n|k|
N|a|n|o|t|e|c|h|n|o|l|ó|g|i:a|	N|a|n|o|t|e|c|h|n|o|l|o|g|y|
A|d|a|n|s|o|n|	A|d|a|n|s|o:n|':s|
F|r|a|n|c|o|i|s|	F|r|a|n|ç|o|i|s|
P|a|m|p|h|ü|l|i|a|	P|a|m|p|h|y|l|i|a|
O|n|i|a|n|g|u|e|	O|n|i|a|n|g|u|é|
h|o|l|d|r|i|d|g|e|i|	H|o|l|d|r|i|d|g|e|':s|
K|á|l|v|i|n|	C|a|l|v|i|n|
T|a|k|a|h|e|	T|a|k|a|h|ē|
S|a|a|l|f|e|l|d:i|	S|a|a|l|f|e|l|d|
A|p|o|p|t|ó|z|i|s|	A|p|o|p|t|o|s|i|s|
P|a|r|i|n|i|r|v|á|n|a|	P|a|r|i|n|i|r|v|a|n|a|
A|r|n|h|e|m:i|	A|r|n|h|e|m|
H|e|n|r|i|e|t|t|a|	H|e|n|r|i|e|t|t|e|
M|a|r|t|e|n|i|c|a|	M|a|r|t|e|n|i|t:s|a|
T|o|m|b|a|k|	T|o|m|b|a|c|
K|o|r|n:y|i|j|e|n|k|o|	K|o|r|n|i|y|e|n|k|o|
i|d|e|o|l|ó|g|i:a|	I|d|e|o|l|o|g|y|
B|a|s|k|o|n|i|a|	B|a|s|c|o|n|i|a|
T|l|a|l|t|e|k|u|t|l|i|	T|l|a|l|t|e|c|u:h|t|l|i|
V|r|i|n|d|á|v|a|n|	V|r|i|n|d|a|v|a|n|
p|r|o|p|o|x|i|a|n|i|l|i|n|	p|r|o|p|o|x|y|a|n|i|l|i|n:e|
G|r|a|n|d|i|z|o|l|	G|r|a|n|d|i|s|o|l|
P|ř|í|b|r|a|m:i|	P|ř|í|b|r|a|m|
O|r|i|á|n|a|	O|r|i|a|n|a|
I|n|p|r|e|k|o|r:r|	I|n|p|r|e|c|o|r|
G|y|u|l|a|i|	G|y|u|l|a|y|
H|a|r|g|e|i|s|a:i|	H|a|r|g|e|i|s|a|
d|e|t|r|o|i|t:i|	D|e|t|r|o|i|t|
C|o|n|s|t|a|n|t|i|n|u:s|	C|o|n|s|t|a|n|t|i|n|e|
G|r|a|u|b|a|l|l|e:i|	G|r|a|u|b|a|l|l|e|
K|u|r|g|a|n:i|	K|u|r|g|a|n|
a|l|g|é|r|i|a|i|	A|l|g|e|r|i|a|n|
E|d|a|m:i|	E|d|a|m|
P|i|r|i|n|e|o|s|	P|i|r|i|n|e|u|s|
D|u:e|w|a|g|	D|ü|w|a|g|
A|n|t|i|o|c:h|i:a|	A|n|t|i|o|c|h|
K|a|r|a|k|o|r|u|m|	K|a|r|a|k|o|r|a|m|
B|u|l|l|d|o|g|o:k|	B|u|l|l|d|o|g|s|
L|a|n|c|a|s|t|e|r:i|	L|a|n|c|a|s|t|e|r|
B:e|r|d|á|r|k|a|	B|r|d|á|r|k|a|
S|c|h|i|n|d|l|e|r|	S|c|h|i|n|d|l|e:r|':s|
K|o|l|o|m|e|n|s|z:k|o|j|e|	K|o|l|o|m|e|n|s|k|o|y|e|
P|e|d|a|n|i|o:s|z|	P|e|d|a|n|i|u|s|
K|a|n|g|b|u|k|	G|a|n|g|b|u|k|
U|j|ś|c|i|e:i|	U|j|ś|c|i|e|
t|r|a|g|o|p|á|n|	t|r|a|g|o|p|a|n|
M|e|g|a|l|á|n|i|a|	M|e|g|a|l|a|n|i|a|
S|a|l|z|a:i|	S|a|l|z|a|
l|e|g|n|a|n|ó:i|	L|e|g|n|a|n|o|
M|e|c|h|a|n|i|k|a|i|	M|e|c|h|a|n|i|c|a|l|
F|a|r|o|p|e|n|é|m|	F|a|r|o|p|e|n|e|m|
S|o|l|á|	S|o|l|à|
B|a|z|a|l|t|	B|a|s|a|l|t|
N|i|c|a|r|a|g|u|a|i|	N|i|c|a|r|a|g|u|a|n|
A|v|e|r|r|o|ë|s|	A|v|e|r|r|o|e|s|
P|r|o|t|u|b|e|r|a|n|t|i:a|	p|r|o|t|u|b|e|r|a|n|c|e|
I|m|m|a|c|o|l:l|a|t|a|	I|m|m|a|c|o|l|a|t|a|
E|u|r|o|r|é|g|i|ó|	E|u|r|o|r|e|g|i|o:n|
a|l|t|e|r|n|a|t|í|v|	A|l|t|e|r|n|a|t|i|v:e|
O|r|a|n|j:e|	O|r|a|n:g|e|
A|r|i|d|i|s:z|o|l|	A|r|i|d|i|s|o|l|
A|r|á|k|	A|r|a|k|
A|r|g|e|n|t|i|t|	A|r|g|e|n|t|i|t:e|
A|m|m|ó|n|i|o:s|z|	A|m|m|o|n|i|u|s|
P|l|a|n|t|a|g|e|n|ê|t|	P|l|a|n|t|a|g|e|n|e|t|
K|i|n|g:'|s|	K|i|n|g|s|
M|ű|	M|u|
T|i|k|o|s|	T|i|c|o|ş|
K|i|r|á|l|y|h|á|g|ó|m|e|l|l|é|k:i|	K|i|r|á|l|y|h|á|g|ó|m|e|l|l|é|k|
H|e|n|l|e|i|n|	H|e|i:n|l|e|i|n|
I|r|í|d|i|u|m|	I|r|i|d|i|u|m|
S|t|o|k|e|s|	S|t|o|k|e|s:'|
D|u|n|k|i|n|	D|u|n|k|i|n:'|
E|r|n|á|k|	E|r|n|a|k|
R|é|k|a|s|	R|e|c|a|ș|
D|o|m|p|e|r|i|d|o|n|	D|o|m|p|e|r|i|d|o|n:e|
N|i|f|e|d|i|p|i|n|	N|i|f|e|d|i|p|i|n:e|
T|r|a|n|s:z|f|e|r|	T|r|a|n|s|f|e|r|
n|u|c|h|a|l:e|	N|u|c|h|a|l|
Á|n|á|p|á|n|a|s:z|a|t|i|	A|n|a|p|a|n|a|s|a|t|i|
v|o|l|a|d|o|r|o:k|	V|o|l|a|d|o|r:e|s|
F|r|i|d|r|i|h|	F|r|i|d|r|i|k:h|
A|m|t|i|x:!|	A|m|t|i|x|
A|p|o|l|l|ó|n|i|a|	A|p|o|l|l|o|n|i|a|
D|o|h|a:i|	D|o|h|a|
D|o|l|o|m|i|t|	D|o|l|o|m|i|t:e|
K|a|z|a|n|d|z|á|k|i|s:z|	K|a|z|a|n|t|z|a|k|i|s|
C|s|á|r|d|á:s|o:k|	C|s|á|r|d|á|s|
M|a|l|a|l|a|s:z|	M|a|l|a|l|a|s|
T|i|z|a|n|i|d|i|n|	T|i|z|a|n|i|d|i|n:e|
L|ú|z|e|r|	L|u|s|e|r|
P|i|a|r|i|s|t|a|	P|i|a|r|i|s|t|s:'|
U|r|á|l:i|	U|r|a|l|
p|a|l|a|t|i|n|a|	p|a|l|a|t|i|n|e|
A|m|á|l|i|a|	A|m|a|l|i|a|
P|ü|t|h|ó|n|	P|y|t|h|o|n|
A|m|á|l|i|a|	A|m|a|l|i|e|
S|k|a|n|d|i|n|á|v|i|a|	S|c|a|n|d|i|n|a|v|i|a|
Y|o|u:n|a|n|	Y|o|n|a|n|
K|á|r|o|l|y|	K|a|r|o|l|y|
K|i|n|n|ó|r|	K|i|n|n|o|r|
i|m|i|t|a|t|i|o|n:e|	I|m|i|t|a|t|i|o|n|
G|e|l|e|n|d|z|s|i|k|	G|e|l|e|n|d|z|h|i|k|
J|ú|d|á|s|	J|u|d|a|s|
Á|r|o|n|	A:a|r|o|n|
B|a|k|t|e|r|i|o|r|o|d|o|p|s:z|i|n|	B|a|c|t|e|r|i|o|r|h:o|d|o|p|s|i|n|
D|a|r|b|o|u|x|	D|a|r|b|o|u:x|':s|
P|h|i|l|i|p|p|i|k|o|s:z|	P|h|i|l|i|p|p|i|k|o|s|
P|é|c|s|v|á|r|a|d:i|	P|é|c|s|v|á|r|a|d|
M|e|t|e|o|r|o|l|ó|g|i:a|	M|e|t|e|o|r|o|l|o|g|y|
N|e|u|r|o|l|i|n|g|v|i|s|z:t|i|k|a|	N|e|u|r|o|l|i|n|g|u|i|s|t|i|c|s|
R|i|q|u|e|t:t|i|	R|i|q|u|e|t|i|
Z|á|c|h|	Z|a|c|h|
P|r|o|t|o|p|l|a|n|e|t|á|r|i:s|	P|r|o|t|o|p|l|a|n|e|t|a|r|y|
C|a|b|r|e|r|a|	C|a|b|r|e|r:a|':s|
W|e|i|m|a|r:i|	W|e|i|m|a|r|
P|r|o|p|ü|l|a|i|a|	P|r|o|p|y|l|a|e|a|
W|a|e|r|d|e|n|	W|a|e|r|d|e:n|':s|
B|u|t|a|d|i|é|n|	B|u|t|a|d|i|e|n:e|
p|e|s|c|a|r|a:i|	P|e|s|c|a|r|a|
R|a|b|e|p|r|a|z|o|l|	R|a|b|e|p|r|a|z|o|l:e|
O|s|n|a|b|r|ü|c|k:i|	O|s|n|a|b|r|ü|c|k|
K|a|n|t|á|b|r|i|a|	C|a|n|t|a|b|r|i|a|
I|n|t|e|r|g|l|a|c|i|á:l|i:s|	I|n|t|e|r|g|l|a|c|i|a|l|
A|b|s|o|l|u|t|i|v|u:s|	A|b|s|o|l|u|t|i|v|e|
B|e|n|e|v|e|n|t|ó:i|	B|e|n|e|v|e|n|t|o|
A|l|e|p|p|ó|	A|l|e|p|p|o|
D|o|r|i|á|n|	D|o|r|i|a|n|
S|t|r|o|n|c|i|u|m|	S|t|r|o|n|t|i|u|m|
H|a|m|z|a|	H|a|m|s|a|
P|á|l|i|	P|a|l|i|
A|n|n|a|l:e|s|	A|n|n|a|l|s|
J|a|k|e|s|	J|a|k|e|š|
B|i|a|ł|o|w|i|e|ż|a:i|	B|i|a|ł|o|w|i|e|ż|a|
A|d|m|i|n|i|s|z:t|r|á|c|i|ó|	A|d|m|i|n|i|s|t|r|a|t|i|o:n|
S|c|h|ö|n|s|t|a|t|t:i|	S|c|h|o:e|n|s|t|a|t|t|
T|ú|l|k|a|r|m|	T|u|l|k|a|r|m|
B|í|r|ó|	B|i|r|o|
N|a|p|r|o|x|é|n|	N|a|p|r|o|x|e|n|
O|k|t|a|n|i|t|r|o|k|u|b|á|n|	O|c|t|a|n|i|t|r|o|c|u|b|a|n:e|
N|a|m|í|b|i|a|	N|a|m|i|b|i|a|
K|o|o|r|d|i|n|á|t|a|	C|o|o|r|d|i|n|a|t|e|
P|a|l|a|w|a|n:i|	P|a|l|a|w|a|n|
T|a|n|k|r|é|d|	T|a|n|c|r|e|d|
Z|á|h|i|	Z|a|h|i|
Z|a|n|g|i|	Z|e|n|g|i|
B|ó|k|a|	B|o|k|a|
B|u|d|ó|k|a|n|	B|u|d|o|k|a|n|
m|e|t|e|o|r|i|t|	m|e|t|e|o|r|i|t:e|
A|u|g|s|b|u|r|g:i|	A|u|g|s|b|u|r|g|
H|o|d|o|n|í|n:i|	H|o|d|o|n|í|n|
B|ö|s|z|ö|r|m|é|n:y|e:k|	B|ö|s|z|ö|r|m|é|n|y|
X|i|l|é|m|	X|y|l|e|m|
S|i|m|e|o|n|	S|y|m|e|o|n|
F|l|a|v|o|x|a|n|t|i|n|	F|l|a|v|o|x|a|n|t:h|i|n|
J|e|s|e|n|í|k:i|	J|e|s|e|n|í|k|
F|e|r|n|á|n|d|e|s|	F|e|r|n|a|n|d|e|s|
F|ö|l|d|e|s|	F|o|l|d|e|s|
K|e|n|z|a|b|u|r|ó|	K|e|n|z|a|b|u|r|ō|
L|e|x|i|k|o|s|t|a|t|i|s|z:t|i|k|a|	L|e|x|i|c|o|s|t|a|t|i|s|t|i|c|s|
B|r|o|a|d|w|a|y:n|	B|r|o|a|d|w|a|y|
K|o|v|a|ř|i|k|	K|o|v|a|ř|í|k|
C|h|i|c|a|g|ó:i|	C|h|i|c|a|g|o|
K|a|t|ó|	K|a|t|o|
E|u|r|ü|n|o|m|é|	E|u|r|y|n|o|m|e|
E|l|e|o|n|ó|r|a|	E|l|é|o|n|o|r|e|
T|r|í|p|o|l|i|	T|r|i|p|o|l|i|
B|o|c|s|k|a|i|	B|o|c|s|k|a|y|
A|c|c|o|m|o|d|a|t|i|o|n|s|	A|c|c|o|m:m|o|d|a|t|i|o|n|s|
g|e|n|e|r|á|t|o|r|	g|e|n|e|r|a|t|o|r|
A|c|h|i|l|l|e:u|s|	A|c|h|i|l|l|e|s|
M|a|g|o|m|e|d|s:z|a|l|a|m|	M|a|g|o|m|e|d|s|a|l|a|m|
w|h|i|s|k|y|	W|h|i|s|k|e:y|
C|e|l|l|o|b|i|ó|z|	C|e|l|l|o|b|i|o|s:e|
M|a|r|i|k|ó|	M|a|r|i|c|o|
T|e|o|r|é|m|a|	T|e|o|r|e|m|a|
G|j|i|r|o|k|a|s|t|r:a|	G|j|i|r|o|k|a|s|t:ë|r|
b|á|b|a|	B|a|b|a|
R|u|r|ó|n|i|	R|u|r|o:u|n|i|
D|o|b|r|i|n|s|z:k|a|	D|o|b|r|y|n|s|k|a|
W|e|i|ß|e|n|b|u|r|g|	W|e|i|s:s|e|n|b|u|r|g|
V|i|g|i|l|i|u|s:z|	V|i|g|i|l|i|u|s|
Z|a|q|a|t|a|l|a:i|	Z|a|q|a|t|a|l|a|
m|a|d|r|i|d:i|	M|a|d|r|i|d|
V|i|r|g|í|n|i|a|	V|i|r|g|i|n|i|a|
P|e|r|i|l|l|a|r|t|i|n|	P|e|r|i|l|l|a|r|t|i|n:e|
A|r|t|e|m|i|s:z|	A|r|t|e|m|i|s|
E|p|r|o|z|a|r|t|á|n|	E|p|r|o|s|a|r|t|a|n|
L|a|b|i|n|s|z:k|i|	L|a|b|i|n|s|k|y|
M|a|r|q|u|a|r|d|	M|a|r|q|u|a|r|d:t|
M|e|l|í|n|a|	M|e|l|i|n|a|
P|i|n|k|á|s:z|	P|i|n|k|a|s|
S|u|n|d|b|ä|c|k|	S|u|n|d|b|a|c|k|
h|a|l|l|o|w|e|l|l:i|i|	H|a|l|l|o|w|e|l|l|':s|
E|x|o|n|ú|m|i|a|	E|x|o|n|u|m|i|a|
A|f|r|i|k|a|	A|f|r|i|c|a|
L|u|n|g|m|e|n|	L|o|n|g|m|e|n|
T|o|k|a|i|n|i|d|	T|o|c|a|i|n|i|d:e|
K|a|r|d|a|n|o|l|i|d|	C|a|r|d|a|n|o|l|i|d:e|
F|r|o|v|a|t|r|i|p|t|á|n|	F|r|o|v|a|t|r|i|p|t|a|n|
V|a|l|l|e|	V|a|l|l|e:y|
K|h|e|n|t|e|t:e|n:k|a|	K|h|e|n|t|e|t|k|a|
H|a|n|k|ó|	H|a|n|k|o|
M|e|t|i|k|r|á|n|	M|e|t|i|c|r|a|n:e|
T|r|i|a|m|c|i|n|o|l|o|n|	T|r|i|a|m|c|i|n|o|l|o|n:e|
C|o|n|r|a|d|	K|o|n|r|a|d|
L|e|u|t|h|e|n:i|	L|e|u|t|h|e|n|
M|a|g|d|e|b|u|r|g:i|	M|a|g|d|e|b|u|r|g|
G|o|t|ó|	G|o|t|o:h|
Ó|z|	O|z|
T|r|i|g|o|n|o|m|e|t|r|i:a|	T|r|i|g|o|n|o|m|e|t|r|y|
a|d|i|p|á|t|	a|d|i|p|a|t:e|
K|a|r|d|i|o|i|d|	C|a|r|d|i|o|i|d|
A|l|o|é|	A|l|o|e|
D|i|a|z|	D|í|a|z|
P|l|a|t|a|n|i|á|	P|l|a|t|a|n|i|a:s|
K|ó|t|a|	K|o|t|a|
d|a|l|l|a|s:i|	D|a|l|l|a|s|
R|e|t|r|o|p|e|r|i|t|o|n|e|u:m|	R|e|t|r|o|p|e|r|i|t|o|n:e|a|l|
N|e|u|m|a|	N|e|u|m|e|
s|a|g|i|t|t|a:l|i:s|	S|a|g|i|t|t|a|l|
g|l|ü|c|k|s|b|u|r|g:i|	G|l|ü|c|k|s|b|u|r|g|
V|o|l|g|o|g|r|á|d:i|	V|o|l|g|o|g|r|a|d|
P|o|l|i|t|é|s:z|	P|o|l|i|t|e|s|
T|h|a|n|a|t|o|s:z|	T|h|a|n|a|t|o|s|
N|e|p|t|u|n|	N|e|p|t|u|n:e|
P|i|a|r|i|s|t|á:k|	P|i|a|r|i|s|t|s|
G|r|i|z|e|l|d|a|	G|r|i|s|e|l|d|a|
S|o|u|t|h|w|a|r|k:i|	S|o|u|t|h|w|a|r|k|
N|i|c|a|r|a|g|u|a:i|	N|i|c|a|r|a|g|u|a|
R|o|s|k|i|l|d|e:i|	R|o|s|k|i|l|d|e|
R|i|l|a:i|	R|i|l|a|
D|a|p|i|p|r|a|z|o|l|	D|a|p|i|p|r|a|z|o|l:e|
A|b|r|i|k|o|s:z|o|v|	A|b|r|i|k|o|s|o|v|
O|x|i|r|é|n|	O|x|i|r|e|n:e|
N|i|k|ó|l|a|o|s:z|	N|i|k|o|l|a|o|s|
M|a|k|r|á|n|	M|a|k|r|a|n|
K|á|n|o|n|	C|a|n|o|n|
m|a|u|z|ó|l|e|u|m:a|	M|a|u|s|o|l|e|u|m|
M|e|t|i|r|a|p|o|n|	M|e|t|y|r|a|p|o|n:e|
A|t|h|a|l|a|r|i|c:h|	A|t|h|a|l|a|r|i|c|
A|l|i|b|á|g|	A|l|i|b|a|g|
L|a|b|í|d|	L|a|b|ī|d|
O|x|a|d|i|a|z|o|l|	O|x|a|d|i|a|z|o|l:e|
K|r|y|p|t|o|n|i|t|	K|r|y|p|t|o|n|i|t:e|
P|t|e|r|i|d|i|n|	P|t|e|r|i|d|i|n:e|
S|z|o|m|b|a|t|h|e|l|y:i|	S|z|o|m|b|a|t|h|e|l|y|
L|i|g|a|t|ú|r|a|	L|i|g|a|t|u|r|e|
U|l|r|i|k|a|	U|l|r|i|k|e|
p|o|l|i|g|o|n|	p|o|l|y|g|o|n|
J|a|n|u|á|r|i|u|s:z|	J|a|n|u|a|r|i|u|s|
S|p|h|e|n|o|e|t|h|m|o|i|d|á:l|i:s|	S|p|h|e|n|o|e|t|h|m|o|i|d|a|l|
A|g|a|t|h|e|	A|g|a|t|h|a|
l|e|u|k|é|m|i|a|	l|e|u|k|e|m|i|a|
I|n|t|e|r|a|k|t|í|v|	I|n|t|e|r|a|c|t|i|v:e|
A|r|i|z|o|n|a:i|	A|r|i|z|o|n|a|
L|e|n|i|n|s|z:k|i|j|e|	L|e|n|i|n|s|k|i|y|e|
M|a|r|c|i|a:n|u:s|	M|a|r|c|i|a|n|
H|a|k|k|a|r|i|	H|a|k|k|â|r|i|
P|i|a|v|e:i|	P|i|a|v|e|
A|n|g|r|i|t|	A|n|g|r|i|t:e|
M|a|y|r|e|m|a|r|t|i|n|e|z|	M|a|y|r|é|m|a|r|t|í|n|e|z|
A|l|l|o|t|r|a|n|s:z|p|l|a|n|t|á|c|i|ó|	A|l|l|o|t|r|a|n|s|p|l|a|n|t|a|t|i|o:n|
K|h|é|m|a|	K|h|e|m|a|
A|u|b|r|i|t|	A|u|b|r|i|t:e|
A|t|r|o|p|i|n|	A|t|r|o|p|i|n:e|
B|a|n|ú|	B|a|n|u|
P|o|l|n|á|	P|o|l|n|a|
M|i|e|l|n|i|k:i|	M|i|e|l|n|i|k|
N|á|c|h|o|d:i|	N|á|c|h|o|d|
d|á|n|	d|a|n|
A|n|t|i|s:z|o|c|i|á:l|i:s|	A|n|t|i|s|o|c|i|a|l|
n|a|t|i|o|n|a|l:e|	N|a|t|i|o|n|a|l|
T|e|r|t|u|l|l|i|a:n|u:s|	T|e|r|t|u|l|l|i|a|n|
B|a|s|k|a|	B|a|š|k|a|
S|á|r|o|s|	S|a|r|o|s|
P|r|e|t|	P|r|ê|t|
S|á|r|i|	S|a|r|i|
D|a|p|h|n|i|s:z|	D|a|p|h|n|i|s|
D|i|b|u|k|a|i|n|	D|i|b|u|c|a|i|n:e|
F|r|a|n|k|ó|n|i|a|i|	F|r|a|n|c|o|n|i|a|n|
L|i|v|i|n|g|s|t|o|n|e|	L|i|v|i|n|g|s|t|o|n:e|':s|
A|n|d|r|o|n|i|k|o|s:z|	A|n|d|r|o|n|i|k|o|s|
E|x|p|o|n|e|n|c|i|á:l|i:s|	E|x|p|o|n|e|n|t|i|a|l|
S|k|o|g|l|o|v|	S|k|o|g|l|ö|v|
R|ă|d|e|ş|t|i|	R|ă|d|e|ș|t|i|
E|l|e|p|h|a|n|t|i|s:z|	E|l|e|p|h|a|n|t|i|s|
t|r|i|a|z|i|n|	T|r|i|a|z|i|n:e|
S|q|u|i|l|l|a|c|e:i|	S|q|u|i|l|l|a|c|e|
M|i|n|e|r|a|l|o|k|o|r|t|i|k|o|i|d|	M|i|n|e|r|a|l|o|c|o|r|t|i|c|o|i|d|
N|o|f|e|r|k|a|r|é|	N|e|f|e|r|k|a|r|a|
B|u|p|r|e|n|o|r|f|i|n|	B|u|p|r|e|n|o|r|p:h|i|n:e|
Ș|o|t|r|i|l|e|	Ş|o|t|r|i|l|e|
d|e|k|a|n|o|l|	D|e|c|a|n|o|l|
C|o|r|a|z|ó|n|	C|o|r|a|z|o|n|
b|o|k|e|r|m|a|n|n|i|	B|o|k|e|r|m|a|n|n|':s|
C|i|n|n|a|b|a:r|i:t|	C|i|n|n|a|b|a|r|
F|a|t|a|h|–|H|a|m|á|s:z|	F|a|t|a|h|–|H|a|m|a|s|
L|o|z|a|r|t|á|n|	L|o|s|a|r|t|a|n|
I|r|k|u|t|s|z:k|	I|r|k|u|t|s|k|
M|e|r|i|ş|o|r|	M|e|r|i|ș|o|r|
F|á|t|r|a|	F|a|t|r|a|
H|a|u|t|e|r|i|v|i|	H|a|u|t|e|r|i|v:i|a:n|
P|e|n|i|t|e|n|c|i|á|r|i:a|	P|e|n|i|t|e|n|t|i|a|r|y|
A|m|é|r|i|c|a|	A|m|e|r|i|c|a:n|
R|a|d|e|g|u|n|d:a|	R|a|d|e|g|u|n|d|
M|i|k|r|o|n|é|z|i|a|	M|i|c|r|o|n|e|s|i|a|
D|i|a|p|s|i|d:a|	D|i|a|p|s|i|d|
A|n|d|r|i|a|k|ó|p|u|l|o|s:z|	A|n|d|r|i|a|k|o|p|o:u|l|o|s|
L|i|m|b|u|r|g:i|	L|i|m|b|u|r|g|
K|i|t|a|r|ó|	K|i|t|a|r|ō|
K|á|l|m|á|n|	K|a|l|m|a|n|
B|e|r|e|z|o|v|o|j|	B|e|r|e|z|o|v|o|y|
m|á|t|r|i|x|	m|a|t|r|i|x|
A|r|e:i|ó|n|	A|r|i|o|n|
N|a|m|g|y|a|l|	N|a|m|g|y|e|l|
a|l|t|e|r|n|a|t|i|v|e:s|	A|l|t|e|r|n|a|t|i|v|e|
p|o|l|i|t|i|k|a|i|	P|o|l|i|t|i|c|a|l|
I|m|m|á|n|u|e|l|	I|m|m|a|n|u|e|l|
w|ü|r|t|t|e|m|b|e|r|g:i|	W|ü|r|t|t|e|m|b|e|r|g|
T|ó|t|	T|o|t|
B|i|o|m|	B|i|o|m:e|
M|é|d|e:i|a|	M|e|d|e|a|
C|o|r|n|w|a|l|l:i|	C|o|r|n|w|a|l|l|
M|ó|z|e|s|	M|o|s|e|s|
o|r|l|é|a|n|s|	O|r|l|e|a|n|s|
N|a|i|v|	N|a|i|v:e|
N|e|b|m|a|a|t|r|é|	N|e|b|m|a|a|t|r|e|
E|m|i|r|á|t|u:s|i|	E|m|i|r|a|t|e|s|
P|o|l|o|n|n|a|r|u|v|a|	P|o|l|o|n|n|a|r|u|w|a|
B|e|n|e|d|i|c|t:i|	B|e|n|e|d|i|k|t|
S|o|k|o|l|o|v:i|	S|o|k|o|l|o|v|
H|y|p|s|i|l|o|p|h|o|d:o|n:t|i:d|a:e|	H|y|p|s|i|l|o|p|h|o|d|o|n|t|
F|á|t|i|m|a:i|	F|á|t|i|m|a|
L|a|p|i|d|á|r|i|u|m|	L|a|p|i|d|a|r|i|u|m|
K|e|n|d|ó|	K|e|n|d|o|
H|a|b|í|b|	H|a|b|i|b|
A|d|a|m|n|a|n|	A|d|o|m|n|á|n|
r|á|d|i|ó|	R|a|d|i|o|
T|u|m|e|r|i|s:z|i|	T|u|m|e|r|i|s|y|
B|h|o|p|á|l:i|	B|h|o|p|a|l|
T|e|n|o|r|i|t|	T|e|n|o|r|i|t:e|
N|a|v|a|p|o|l|a|c|k|	N|a|v|a|p|o|l|a|t:s|k|
M|o|k|è|l|é|	M|o|k|e|l|e|
R|o|b|i|n|s|o|n|	R|o|b|i|n|s|o|n:s|
C|e|n|t|r|o|m|e|r|	C|e|n|t|r|o|m|e|r:e|
P|a|l|l|a|z|i|t|	P|a|l|l|a|s|i|t:e|
E|v|e|r|a:a|r|d|	E|v|e|r|a|r|d|
L|o|g|ó|	L|o|g|o|
U|t|ó|p|i|a|	U|t|o|p|i|a|
H|a|m|a|d|á|n|i|	H|a|m|a|d|a|n|i|
F|e|m|e|n|i|n|o|	F|e|m|e|n|i|n|a|
d|e|c|e|n|t|r|a|l|i|z:á|l|t|	D|e|c|e|n|t|r|a|l|i|z|e|d|
R|á|d|i|u|m|	R|a|d|i|u|m|
V|i|t|r|u|v|i|u:s|	V|i|t|r|u|v|i:a|n|
E|n|t|a|k|a|p|o|n|	E|n|t|a|c|a|p|o|n:e|
F|u|á|d|	F|o:u|a|d|
p|h|a|r|y|n|g|e|u:m|	P|h|a|r|y|n|g:e|a|l|
m|e|g|a|s|t|r|u|k|t|ú|r|a|	m|e|g|a|s|t|r|u|c|t|u|r|e|
D|i|m|i|t|r|	D|i|m|i|t:a|r|
B|a|n|t|u|s|z:t|á|n|	B|a|n|t|u|s|t|a|n|
R|e|k|o|m|b|i|n|á|c|i|ó|	R|e|c|o|m|b|i|n|a|t|i|o:n|
p|a|t|r|i|a|r|c|h|á|t|u:s|	P|a|t|r|i|a|r|c|h|a|t|e|
A|l|l|i|t|e|r|á|c|i|ó|	A|l|l|i|t|e|r|a|t|i|o:n|
I|m|m|u|n|o|l|ó|g|i:a|	I|m|m|u|n|o|l|o|g|y|
P|e|n|n|s|y|l|v|a|n|i|a:i|	P|e|n|n|s|y|l|v|a|n|i|a|
H|é|v|í|z:i|	H|é|v|í|z|
V|e|r|e|c|k|e:i|	V|e|r|e|c|k|e|
M|a|k|r|o|c|e|l|l:a|	M|a|c|r|o|c|e|l|l|
W|é|b|e|r|	W|e|b|e|r|
W|a|g|l|e|r|	w|a|g|l|e|r:i|
B|o|r|o|v|s|z:k|y|	B|o|r|o|v|s|k|ý|
H|o|u|d|á|n|	H|o|u|d|a|n|
R|i|t|t:h|i|k|r|a|j|	R|i|t|t|i|k|r|a|i|
B|l|a|g|o|v|e|s|c|s|e|n|s|z:k|	B|l|a|g|o|v|e|s:h|c|h|e|n|s|k|
E|n|k|l|á|v|é|	E|n|c|l|a|v|e|
G|a|r|a|i|	G|a|r|a|y|
B|o|r|o|v|s|z:k|y|	B|o|r|o|v|s|k|y|
P|a|n|d|ú|r|	P|a|n|d|u|r:s|
H|o|p|k|ó|	H|o|p|k|o|
G|r|a|s|s|m|a|n|n|	G|r|a|s|s|m|a:n|n|':s|
