द|	t:h:e|
व|ि|व|ी|	V|i|v|i|
व|द|े|च|	W|a:d|e|c:h|
व|फ:़|ा|	W:a|f|a|
व|ा|फ|ा|	W|a|f|a|
व|ा|फ|ी|	W|a|f|i|
व|ह|ी|द|	W:a|h|e:e|d|
व|ह|ी|द|	W:a|h|i|d|
व|ज|ी|ह|	W|a:j|e:e|h|
व:ॉ|क|र|	W:a:l|k|e:r|
व:र|्:ट|	W:i:r|t|
र:ै|ट|न|	W:r:a|t:t:e|n|
य|ज:्:ञ|	y:a|g:y|
य|क|्:ष|	Y:a|k|s:h:a|
य|ा|ल|ा|	Y|a|l|a|
य|म|ी|न|	Y:a|m|e:e|n|
य|त|ी|म|	Y:a|t|e:e|m|
य|ो|ग|ी|	y|o|g|e:e|
ज़|ै|द|ा|	Z|a|d|a|
ज़:ै|द|ा|	Z:a:i|d|a|
ज़:ै|न|ा|	Z:a:n|n|a|
ज़:ै|न|ब|	Z:a:y|n:a|b|
ज़:ी|न|त|	Z:e:e|n|a:t|
ज़|े|य|ा|	Z|e|y|a|
ज़:ि:य|ा|	Z:i|a|
ज़|ि|ं|क|	z|i|n|c|
ज़|ि|ज़|ी|	Z|i|z|i|
ज़|ो|च|ा|	Z|o|c:h|a|
ज़|ो|ल|ा|	Z|o|l|a|
ज़|ो|न|ा|	Z|o|n|a|
स|ज:़|ा|	S:a|z|a|
भ|ु|ल|ा|	B:h|u|l|a|
द|े|न|ा|	D|e|n|a|
ब|ी|व|ी|	B|i|w|i:i|
र|श|्:क|	R:a|s:h|k|
ल|ै|ल|ा|	L|a:i|l|a|
न|ग|म|ा|	N:a|g|m|a|
स|ह|ा|र|ा|	S:a|h|a|r|a|
अ|प|न|ा|	A|p|n|a|
त|ल|	T:a|l|
प|र|ा|ई|	P|a:r|a|i|
र|े|ब|न|	R:a|y|b|a:n|
स|ा|व|ू|	S|a|v|u|
ट|ा|ट|ा|	T|a|t|a|
ट:ी|	t:e:a|
ओ|प|न|	o|p|e:n|
ड:ो|र|	d:o:o|r|
र|ू|क|ी|	r|o:o|k|i:e|
क:ह|न|ा|	K:e:h|n|a|
स:्:ट|ा|र|	s:t|a|r|
ह|ा|र:्:व|े|स:्:ट|	h|a|r:v|e|s:t|
अ|प|न|े|	a|p|n|e|
द|म|	d|a:m|
ब|द|ल|े|	b|a:d|l|e|
ह|ो|ल|ी|	H|o|l|i|
आ|ई|	A|y:e:e|
क|ह|ी|ं|	K:a|h|i|n|
प|ि|य|ा|	P|i|y|a|
क|ा|	G:h|a:r|
घ:र|	A:j:a|
ज:ॉ|न|ी|	J:o:h|n|y|
आ:ई|	I|
य:ू|	y:o:u|
आ:ँ|स|ू|	A:a:n|s|o:o|
ब|न|	b|a:n|
फ़|ू|ल|	P:h|o:o|l|
ब|ह|ि|य|	B:a|h|i|y:y|
ब|ं:ब|ई|	B:a|m:b:a|i|
क|ी|	K|a|
ब|ह:ू|	B|a:b:u|
भ|ट|ो|ं|	B:h:a|t|o|n|
ब|ि|र|ह|	B|i|r|h:a|
ध|र|त|ी|	D:h:a|r|t|i|
ह|ै:ं:ग|	h:a|n:g|
क:ी|	K:h:e|
ह|ि|ं|द|	h|i|n|d|
आ:इ:स|ल|	I:s|l:e|
व|ि|ट|	W|i|g:h:t|
र|ा|ह|	r|a:a|h|
ज|ो|र|ू|	J|o|r|u|
प|र|ा|ए|	P|a:r|a|y:e|
ब|स|	b|a:s|
प|ू|न|म|	P|o:o|n|a:m|
स|ा|व|न|	S:a|a|w|a:n|
आ|न|े|	a:a|n|e|
ज|ि|य|ो|	J|i|y|o|
ऐ:स|े|	a:i:s|e|
स|ा|ँ:च|	S:a|a|n:c:h|
आ:ँ|च|	A:a:n|c:h|
स|म|ा|ज|	S:a|m|a|j|
ब|द|ल|	B:a|d|a:l|
ड|ा|ल|ो|	d|a|l|o|
आ|न|ं:द|	A|n|a:n:d|
ड|ा|क|ू|	D|a|k|u|
स|ू|र|ज|	S|u|r|a:j|
ह|ा|थ|ी|	H:a|a|t:h|i|
द|ा|ँ:त|	d|a|a:n:t|
ज|ै|स|े|	j|a:i|s|e|
त:ै|स|ा|	T:a:i|s|a|
ल:ु|इ|स|	L:e:w|i|s|
ज:ं|ग|ल|	j:u:n|g|l:e|
क|ं|च|न|	K:a|n|c:h|a:n|
ख|ु|द|ा|	K:h|u|d|a|
ब|ं:द|ा|	B|a:n:d|a|
न|फ|र|त|	n:a|f|r|a:t|
आ|ँ|ध|ी|	a|n|d:h|i|
न|ी|र|ा|	N|e:e|r|a|
न|ं:द|ा|	N|a:n:d|a|
ज|ो|ग|न|	J|o|g|a:n|
र|ा|ध|ा|	R|a|d:h|a|
र|ं|ग|ा|	R|a:n|g|a|
र|े|श|म|	r|e|s:h|a:m|
स|ा|ं|झ|	S|a|n|j:h|
स|र|ा|य|	S:a|r|a|i|
ब|ा|ह|र|	B|a|h|a:r|
ज|ो|	J|o|
भ|ड़|क|े|	B:h|a:d|k|e|
स:ौ|त|न|	S:o:u|t|e:n|
ज|ा|ए:ँ|	j:a|a|y:e:n|
ब|ै|ं|क|	b|a|n|k|
च|ा:य|न|ा|	C:h|i|n|a|
च|ं|द|ा|	C:h:a|n|d|a|
ब|ि|ज|ल|ी|	B|i|j|l|i|
प|ा|ल|न|ा|	P|a|l|n|a|
ल:ह|र|े|ं|	L:e:h|r|e|n|
ग|ी|त|ा|	G|e:e|t|a|
द|े|ं|ग|े|	D|e|n|g|e|
क|ा|ँ:च|	K:a|a|n:c:h|
द|ी|व|ा|र|	D|e:e|w|a|r|
म|र|्:द|	M|A:R|D|
ब|च|्:च|ा|	B:a|c|h:c:h|a|
ज:़|ब|ा|न|	z|a:b|a|a:n|
ज़:ु|क|ो|व|	Z:h:u|k|o|v|
य|ा|	y|a|
र|ु|प|ए|	R|u|p|y:e|
स|ा|ध|ू|	s|a|d:h|u|
श|ै:त|ा|न|	S:h|a:i:t|a|n|
व|क:्:त|	W:a|q:t|
प|ु|क|ा|र|	P|u|k|a|r|
म|ं|ज़|ि|ल|	M:a|n|z|i|l|
म|ि|य:ा:ँ|	M|i|a:n|
र|ी|व|र|	R|i|v|e:r|
फ:़:ै|म|ि|ल|ी|	f:a|m|i|l|y|
ब|ल|ि|द|ा|न|	B:a|l|i|d|a|n|
ब|ड:़|ौ|द|ा|	B:a|r|o|d|a|
ब|ा|द|श|ा|ह|	B|a|d|s:h|a|h|
क|श|्:म:ी|र|	K:a|s:h|m:i|r|
ल|ं|क|ा|	L|a:n|k|a|
स|ि|ल:्:व|ा|	S|i|l:v|a|
ग|ु|ड़|ि|य|ा|	G|u|d|i|y|a|
प|ू|र|ब|	P|u|r|a:b|
प|श:्|च|ि|म|	P|a:s:h|c|i|m|
ह|ा:उ|स|	h:o|u|s:e|
प:्:र|े|अ|र|	p:r|a:y|e|r|
ल|ु|थ|े|र|ा|न|	L|u|t:h|e|r|a|n|
म|ु|स:्:क|ा|न|	M|u|s:k|a|n|
क|ै|स|ल|	C|a|s|t:l:e|
व|ि|ब|ो|र|्:ग|	V|i|b|o|r|g|
छ|ो|ट|ी|	C:h:h|o|t|i|
म|ु|ल|ा|क|ा|त|	M|u|l|a|q|a|t|
म|ह|ा|त|्:म:ा|	M:a|h|a|t|m:a|
प|ि|श|्:क|ि|न|	P|u|s:h|k|i|n|
श|ह|ज:़|ा|द|े|	S:h:a|h|z|a|d|e|
अ|म|े|र|ि|क|ा|	A|m|e|r|i|c|a|
ब|ै:ं:क|	B|K|
र|ा|ज|स:्|थ|ा|न|	R|a|j:a|s|t:h|a|n|
क|ा|र:्:न|ि|व|ल|	C|a|r:n|i|v|a:l|
न|े|स:्:ट|े|र|ो|व|	N|e|s:t|e|r|o|v|
अ|ह|म|द|	A|h|m|a:d|
अ|ल|-|अ|र|ब|ी|	a|l|-|A|r|a:b|i|
अ|ल|-|द|र|क़|ा|व|ी|	a|l|-|D|a:r|q|a|w|i|
अ|र|-|र|ि|फ|ा|ई|	a|r|-|R|i|f|a|i|
अ|ल|-|ब|क|्:क|ा|ई|	A|l|-|b|a:k|k|a|i|
अ|ल|-|क|ु|ं|त|ी|	a|l|-|K|u|n|t|i|
आ|क|ा|श|	A:a|k|a|s:h|
अ|ब|ु|ल|	A|b|u|l|
फ:ज|ल|	F:a:z|a:l|
भ|व|न|	B:h:a|v|a:n|
अ|श|ो|क|	A|s:h|o|k|
न|ग|र|	N:a|g|a:r|
अ|श|र|फ|	A|s:h|r:a|f|
अ|श|्:व|	A|s|h:w:a|
घ:ो|ष|	G:h:o|s:h|
अ|थ|ा|र|	A|t:h|a|r|
ल|ई|क|	L:a|e:e|q|
ब|ड:़|ी|	B:a|d|i|
ब|ै|र|ी|	B|a|r|r:y|
व|ु:ड|	w|o:o:d|
ब|स|ि|त|	B:a|s|i|t|
ब|ी|त|े|	b|e:e|t|e|
ब:ह|क|े|	B:e:h|a:k|e|
भ|ा|ग|म|	B:h|a|g|a:m|
भ:ा|ग|	B:H:A|G|
भ|क:्|त|	B:h:a|k|t:a|
ब|ि|र|ज|	B|i|r|a:j|
क|ै|श|ल|	C|a|s|t:l:e|
व:ॉ|क|	w:a:l|k|
च:ा|ं|द|	C:h:a|n|d|
स|ि:ओ|	S|i:a:u|
ओ|द|ई|	O|d|a:i|
ड|े|म|ी|	D|e|m|i|
म|ू|र|	M|o:o|r:e|
ग|र|म|ा|	G|a:r|m|a|
ग|र|व|ा|	G|a:r|w|a|
ग:ह|र|ा|	G:e:h|r|a|
ज|ि|ऑ|फ|	G|e|o|f:f|
क|ो|प|	c|o|p:e|
ग|ो|ह|द|	G|o|h|a:d|
ह|ि|ट|े|	H|i|t|e|
ई|म|ा|न|	I|m|a|a:n|
ज|ा|ल|ी|	j|a|a:l|i|
न|ो:ट|	n|o:t:e|
ज|े|क|ब|	J|a|c:o|b|
ऑ|र|म|	O|r|a:m|
ज|ल|त|े|	j|a:l|t|e|
क|ा|ल|ी|	K|a|l|i|
क|प|ि|ल|	K:a|p|i|l|
क|र|व|ा|	K:a|r|w|a|
च|ौ:थ|	c:h:o|u:t:h|
क|ी|ग|न|	K|e:e|g|a:n|
म|े|थ|	m|e|t:h|
ख|ू|न|ी|	K:h|o:o|n|i|
र|ु|ख|	R|u|k:h|
द|ह|न|	D:a|h|a:n|
म|ल|ा|ई|	M:a|l|a|i|
म|ल|र|	m|a:l|a:r|
म|ी|ठ|ा|	M|e:e|t:h|a|
ज़:ह|र|	Z:a:h|a:r|
म:ि:ल|न|	M:i|a:n|
म|ी|र|	M|i|r|
म|ी|ठ|ी|	M|i|t:h|i|
म|ो|इ|न|	M|o|i|n|
न|ा|च|े|	N:a|a|c:h|e|
उ|र|ी|	U|R|I|
न|क|ल|ी|	N:a|q|l|i|
न|ॉ|ट|ी|	n:a|u:g:h|t|y|
न|ी|च|ा|	N|e:e|c:h|a|
न|ी|ल|म|	N|e:e|l|a:m|
ऑ|व|े|स|	O|w|a|i:s|
प:ह|ल|ी|	P:e:h|l|i|
फ|ं:द|े|	P:h|a:n:d|e|
स|ा|ब|	S:a|a|b|
र|श|ी|द|	R:a|s:h|i|d|
र|ॉ|ब|ी|	R|o|b|b:i:e|
क:े|र|	K:e:r|r|
र|ॉ|ब|र|	R|o|b|e:r|
र:े|ड|न|	R:o:y|d|o:n|
ह|े:स|	H:a|y:e:s|
स|ब:्:ज़|	S:a|b:z|
ब|ा:ग|	B|A:A:G|
स|ड:़|क|	S:a|d|a:k|
छ|ा|प|	c:h:h|a|p|
प|त|न|	P|a:t|a:n|
श|ं|क|र|	S:h:a|n|k|a:r|
श|ो|ए:ब|	S:h|o|a:i:b|
ख|ा:न|	A:k:h|t:a:r|
स|ु|प|ा|	S|u|p|a|
थ:ॉ|म|स|	T:h:o|m:a|s|
प|े:न|	P:a|i:n:e|
ट|ि:प|र|	T|i:p:p|e:r|
व|ि|ं:स|	V|i|n:c:e|
ह|ॉ:ग|	H|o:g:g|
व:ु|ड|ी|	W:o:o|d|y|
य|ै:ं:ग|	Y:a|n:g|
क|ि|न|	Q|i|n|
स|ड़:क|	S:a|d:a:k|
ब|न|ा|	B|a:n|a|
ल|ो|	l|o|
प|ा|प|ी|	P:a|a|p|i|
ए|ड|ग|र|	e|d|g|e:r|
प|ो|य|	P|o|e|
म|ि|ल|ा|प|	M|i|l|a|p|
ह|े:य:ो|	H:a|y:o|
ड|े|ल|	d|e|l|
आ|इ|र|ी|	A|i|r|e|
ज|ं|ग|ल|	J|a:n|g|a:l|
म|ं|ग|ल|	M:a|n|g|a:l|
क|र|म|	K:a|r|a:m|
ज|ा|ग|ो|	J:a|a|g|o|
स|ि|र:्:फ|	S|i|R:F|
अ|ं|ग|ा|र|े|	a|n|g|a|a:r|e:y|
स:े|र|ा|	S:e:r|r|a|
ड|ॉ|स|	D|O|S|
ऑ|र|ग|ा|ओ|स|	O|r|g|a|o|s|
ब|ह|ा|र|ो|ं|	B:a|h|a|r|o|n|
ल:ी|ग|	L:e:a|g:u:e|
ल|ै|क:्:र|ो|स|	l|a|c:r|o|s:s:e|
क|ो|च|	c|o|a:c:h|
म|ो|स:्:ट|	m|o|s:t|
इ|म|्:प:्|र|ू|व|्:ड|	i|m|p|r|o|v:e|d|
प|्:ल|े|य|र|	p|l|a|y|e:r|
ओ|फ|े|ं|स|ि|व|	o|f:f|e|n|s|i|v:e|
ड|ि|फ|े|ं|स|ि|व|	d|e|f|e|n|s|i|v:e|
स|र:्:व|ि:स|	s:e|r:v|i:c:e|
स|्:प|ो|र|्:ट|्:‍:स|म|ै|न|	s|p|o|r|t|s|m|a|n|
आ:र:्|ट|	a:r|t|
स|ं:ज|	S:u|n:j:e|
श|ि|ं|ग|	S:h|i|n|g|
ट:ै|र|ी|	T:e:r|r|y|
व:्:ह|ि|ट|े:क|र|	W:h|i|t:t|a:k:e|r|
ऑ|ई|ल|	o|i|l|
ए|क:्:स|प|्:ल|ो|र|	e|x|p|l|o|r|
आ|म|े|र|	A|a:m|e|r|
अ|द|ु|ज़|	a|d|u|z|
ज़:ह|ी|र|	Z:a:h|i|r|
अ|ज|ी|र|	a|j|i|r|
अ|स|ो|म|	A|s|o|m|
अ|ं|द|र|	a|n|d|a:r|
स|ा|द|त|	S|a|d|a:t|
अ|प|ल|म|	A|p|l|a:m|
च|प|ल|म|	C:h:a|p|l|a:m|
अ|प|न|ी|	a|p|n|i|
आ|र:्:क|	A|r:k|
अ|र|ू|ण|	A|r|u|n|
श|ौ:र|ी|	S:h|o:u:r|i:e|
आ|श|ी|ष|	A|s:h|i|s:h|
अ|स|ल|ी|	A|s|l|i|
म|े|म|न|	M|e|m|a:n|
ब|ा|ल|ी|	B|a|l|i|
ब|ा|र|त|	B|a|r|a:t|
ब|र|स|ी|	B:a|r|s|i|
ट|ा:उ|न|	t|o|w:n|
ब|र|व|ा|	B:a|r|w|a|
ब|े|ग|ु|	b|e|g|u|
स|र|ा|ई|	S:a|r|a|i|
ब|र|्:ट|	B|e:r|t|
व|ै|ं:स|	V|a|n:c:e|
भ|ट|क|े|	B:h:a|t|k|e|
भ|ो|ल|ा|	B:h|o|l|a|
भ|ा|ल|ा|	B:h|a|l|a|
च|ौ:र|ी|	C:h|a:u:r|i|
च|ौ:र|ा|	C:h|a:u:r|a|
ल|ा|ं|ग|	L|a|n|g|
छ|ो|र|ा|	c:h:h|o|r|a|
छ|ो|र|ी|	c:h:h|o|r|i|
छ|ो|ट|ा|	C:h:h|o|t|a|
ग|ु|ध|ा|	G|u|d:h|a|
छ|ो|ट|े|	C:h:h|o|t|e|
न|व|ा|ब|	N:a|w|a|b|
छ|ु|प|ा|	c:h:h|u|p|a|
छ|ु|प|ी|	C:h:h|u|p|e:e|
च:ो|क|ी|	C:h:o|k|i|
स|ो|र|थ|	S|o|r:a|t:h|
च:ो|र|ी|	C:h:o|r|i|
छ|ो|ट|ी|	c:h|o|t|i|
ख|ा|ट|ु|	K:h|a|t|u|
क|ॉ|म|न|	c|o|m|m:o:n|
भ|ू|प|ट|	B:h|u|p:a|t|
द|े|व|र|	D|e|v|a:r|
भ|ा|भ|ी|	b:h|a|b|i|
ड:ो|ड|ा|	D:o:d|d|a|
ग|ण|े|श|	G|a:n|e|s:h|
य|ु|ल|र|	E|u|l|e:r|
फ:ै|ज़:ल|	F:a:i|s:a:l|
म|ै:य|ा|	M|a:i:y|a|
ग|ा|ज़|ी|	G|a|z|i|
म|ि|ल|र|	M|i|l:l|e:r|
घ:ु|म|ा|	G:h:u|m|a|
ह|र|फ|न|	H|a:r|f|a:n|
म:ौ|ल|ा|	M:a:u|l|a|
ह:ै|र|ी|	H:a:r|r|y|
प|ॉ:ट|र|	P|o:t:t|e:r|
ह|े|ल|न|	H|e|l|e:n|
क|े:ल|र|	K|e:l:l|e:r|
ह|े|र|ा|	H|e|r|a|
फ|े|र|ी|	P:h|e|r|i|
ह:ॉ|ल|ी|	H:o:l|l|y|
ह:ं|ट|र|	H:u:n|t|e:r|
इ:ब:्|न|	I:b|n|
अ|र|ब|ी|	A|r|a:b|i|
ख|फ|ी|फ|	K:h:a|f|i|f|
इ|ज|ा|ज़|	I|j|a|z|
इ|ं|ड|ो|	I|n|d|o|
ज|म|ा|ई|	J|a:m|a|i|
ज|ं:त|र|	J|a:n:t|a:r|
म|ं:त|र|	M|a:n:t|a:r|
र|े|ख|ा|	R|e|k:h|a|
म|े|ह|र|	M|a|h|e:r|
ज|ो|ए|न|	J|o|a|n|
ब|े:ज:़|	B:a|z:e|
ज|ो|ह|न|	J|o|h|a:n|
क|ा|फ:़|	K|a:h|f|
ह|ो|ट|ी|	h|o|t|i|
क|ै|स|े|	k|a:i|s|e|
क|ह|ू:ँ|	k:a|h|o:o:n|
घ:ो|ड़|ा|	G:h:o|d|a|
क|म|र|न|	K:a|m|r|a:n|
अ|क|म|ल|	A|k|m|a:l|
क|र:्:म|	K:a|r:m|
स|ा:य|ा|	S:a|y|a|
क|ो|र|ा|	K|o|r|a|
ल|ह|र|ी|	L:a|h|e:r|i|
ज|ी|व|न|	J|i|w|a:n|
म|ज|न|ू|	M:a|j|n|u|
ल:ै|र|ी|	L:a:r|r|y|
ल|ा:इ|ट|	l|i:g:h|t|
म|ध|ु|र|	M:a|d:h|u|r|
म|स:्|त|	M:a|s|t:a|
फ|क|ी|र|	F:a|k|i|r|
म|ा|त:ृ|	M|a|t:r:a|
न|स|ी|ब|	N:a|s|e:e|b|
स|ल|ा|म|	S:a|l|a|a:m|
द|े|व|ी|	D|e|v|i|
न|ा|र|द|	N|a|r|a:d|
न|त|ु|न|	N|a:t|u|n|
द|‍:ि:न|	d|i:n|
ओ|ल:्:ड|	o|l:d|
र|ो|म|न|	R|o|m|a:n|
प|ी|छ|ा|	P|e:e|c:h:h|a|
प|ी|ट|र|	P|e|t|e:r|
ल|ी|व|र|	l|e|v|e:r|
ट|ू|ह|े|	T|o:o|h|e:y|
व|ि|ल|े|	W|i|l:l|e:y|
प|ु|न|र|	p|u|n|a:r|
क|ा|क|ा|	K|a|k|a|
र|म|ी|ज़|	R|a:m|e:e|z|
प|ट|े|ल|	P:a|t|e|l|
व|ू|ल|े|	W|o:o|l:l|e:y|
ल|ु|इ|स|	L:o|u|i|s|
स:े|ं:ट|	S:a:i|n:t:e|
म|े|र|ी|	M|a|r|i:e|
स|ल|ी|म|	S:a|l|e:e|m|
ज|ा|फ|र|	J|a|f:f|a:r|
स|ै|म:ी|	S|a|m:m:y|
स|ो|स|ा|	S|o|s|a|
र|ा|उ|ल|	R|a|u|l|
स|े|स|ा|	S|e|s|a|
श|ं:भ|ू|	S:h:a|m:b:h|u|
श|र|ी|फ|	S:h:a|r|i|f|
श:्:र|ी|श|ै|ल|म|	S:r|i|s|a:i|l|a:m|
स|ु|प|र|	s|u|p|e:r|
ब|ा:उ|ल|	b|o|w:l|
ट:े|र|ा|	T:e:r|r|a|
य|ा|द|व|	Y|a|d|a:v|
व|स|ी|म|	W:a|s|i|m|
ज|ा|फ|र|	J|a|f:f|e:r|
व|ा|ट|र|	w|a|t|e:r|
प|ो|ल|ो|	p|o|l|o|
य|ह|ा:ँ|	y:a|h:a|n|
व|ह|ा:ँ|	w:a|h:a|n|
झ:ू|ठ:ा|	J:h:o|o:t:a|
स|ी|न|े|	s|e:e|n|e|
ल|ग|ा|	L:a|g|a|
क|प|ड़|ा|	k|a:p|a:d|a|
म|क|ा|न|	m|a:k|a|n|
ग|ु|ल|ा|म|	G|u|l|a|m|
ग|ु|ज:़|र|	G|u|z|a:r|
स|ा:ं:ई|	S:a|i|
श|ि|र:्:ड|ी|	S:h|i|r:d|i|
स:्:क|ॉ|ट|ल|ै|ं|ड|	S:c|o|t|l|a|n|d|
स|ि|द|ी|	S|i|d|i|
अ|ल|-|त|ि|द|्:ज:ा|न|ी|	a|l|-|T|i|d|j:a|n|i|
ब|ु|ल|े|	B|u|l|l:e:h|
च:ा|ल|ू|	C:h:a|l|u|
ट|ा|क|ा|	T|a|k|a|
ब|ो|न|े|	b|o|n|e|
र|े:ट|	r|a:t:e|
त|ल|ा|श|	T:a|l|a|s:h|
म|े|र|े|	m|e|r:e|e|
ब|ी|च|	B|e:e|c:h|
ह|े:व|न|	h|a:v:e|n|
ग|ॉ|ड|	G|o|d|
क|र|े|	K:a|r:e|e|
स|ं|स|ा|र|	s|a:n|s|a|a:r|
म|ा:ँ|ग|	M:a|n|g|
र|ह|ी|	R:a|h|i|
न|ा|स|ा|	N|A|S|A|
ए:क:्|स|े|प|्:श|न|ल|	e:x|c|e|p|t:i:o|n|a:l|
स|ा:इ|ं|ट|ी|फ|ि|क|	s|c:i:e|n|t|i|f|i|c|
अ:च|ी|व|म|े|ं|ट|	a:c:h|i:e|v:e|m|e|n|t|
स|ा|थ|ी|	S:a|a|t:h|i|
भ|ा|ल|ी|	B:h|a|l|i|
ग|र|ी|ब|	G|a:r|i|b|
न|व|ा|ज़|	N:a|w|a|z|
स|ो|न|ा|	S|o|n|a|
क|ो|य|ो|	K|o|y|o|
स:्:ट|ी|	s:t|e:e|
क:स|ू|र|	Q:a:s|o:o|r|
ध|ं|ध|ा|	d:h|a:n|d:h|a|
ग|ो|र|े|	G|o|r|e:y|
अ|म|ी|र|	A|m|e:e|r|
आ|द|म|ी|	a|d|m|i|
ब|ि|न|ा|	B|i|n|a|
ज|ी|न|ा|	J|e:e|n|a|
स|ू|र|त|	S|u|r|a:t|
अ|न|ा|उ|	A|n|o|u|
ए|च|र|ा|	A|c:h|r|a|
ल|े|म|ो:न|	L|e|m|o:u:n|
ब|ा|त|े|ं|	B|a|t|e|n|
ग:्:र|े|	g:r|e:y|
द|ू:ँ|ग|ा|	d|o:o:n|g|a|
प:ह|ल|ा|	P:e:h|l|a|
त|ु|ं|ग|	T|u|n|g|
च:ु|ं|ग|	C:h:u|n|g|
व|ॉ|ट|र|	w|a|t|e:r|
ड:र|्:ट|	d:i:r|t|
ब|ा:इ|क|	b|i|k:e|
र|े|स|ि|ं|ग|	r|a|c|i|n|g|
ह|े:ल|े|	H|e:l:l|e|
ज|ो|ए|ल|	J|o|e|l|
ऑ|स|म|े|ं|ट|	O|s|m|e|n|t|
ह|ो|ब|ी|	H|o|b|e:y|
ब|े:क|र|	B|a:k:e|r|
स|ि|त|ा|र|ो|ं|	s|i|t|a|r|o|n|
भ|र|	B:h:a|r|
द|ू:ँ|	D|o:o:n|
फ:ा:उ|ं:ड|े:श|न|	F:o|u:n:d|a:t:i|o:n|
ड|ै|व|ा|	D|a:i|w|a|
इ|ं|ड|स|्:ट|्:र|ी|	i|n|d|u:s|t|r|y|
स|्:ट|्:र|ि|क:्:स|	S|t|r|i|x|
ह|ि|म|्:म|त|व|ा|ल|ी|	H|i|m|m|a:t|w|a|l|i|
आ:य:ॉ|न|	L:y|o:n|
ए:ज:़|्:य:ु|प|े|र|ी|	E:x|u|p|e|r|y|
स|ा|उ|थ|	S|o|u|t:h|
ड|े|ट|न|	D|a:y|t|o:n|
इ|ं|स:्:ट|ी|ट:्:‍|य:ू|ट|	I|n|s:t|i|t|u|t:e|
ए|न|्:ट|र|प:्:र|ा:इ:ज|े|स|	e|n|t|e:r|p:r|i:s|e|s|
न|ा|ज़|ि|र|	N|a|z|i|r|
स|ो|ह|े:ल|	S|o|h|a:i:l|
आ:म|न|े|	A:A:m|n|e|
स|ा|म|न|े|	s|a|m|n|e|
आ|क|ि|ब|	A:a|q|i|b|
ज|ा|व|े|द|	J|a|v|e|d|
आ|ग|र|क|र|	A|g|a:r|k|a:r|
आ|ल|ो|क|	A|l|o|k|
क|प|ा|ल|ी|	K:a|p|a|l|i|
आ|श|्:र|म|	a|s:h|r|a:m|
अ|ं:ध|ा|	A|n:d:h|a|
द|ल|्:प|त|	D|a:l|p|a:t|
ह:ु|स|ै:न|	H:o:s|s|a:i:n|
प|र|ा:य|ा|	P:a|r:a|y|a|
न|े|ह|र|ा|	N|e|h|r|a|
ए|श|ल|े|	A|s:h|l|e:y|
म|ै:ल|े|ट|	M|a:l:l|e|t:t|
न|ॉ:फ|क|ी|	N|o:f:f|k|e|
म|ा|ं|क|ड़|	M|a|n|k|a:d|
आ|स|ि|फ|	A|s|i|f|
म|ह|म|ू|द|	M:a|h|m|o:o|d|
अ|ज़|ह|र|	A|z|h|a:r|
अ|ल|द|ी|न|	A|l|d|i|n|
ब|ा|ग|ी|	B|a|g|h:i|
ह|स|ी|न|ा|	H:a|s|e:e|n|a|
स|र|द|ा|र|	S:a|r|d|a|r|
ध|्:र|ु|व|	D:h|r|u|v|
ब|ि|र|ज|ू|	B|i|r|j|u|
ह|ै|ड|ल|ी|	H|a|d|l|e:e|
ब|े|ग|म|	B|e|g|a:m|
अ|ख|्:त|र|	A|k:h|t|a:r|
भ|ी|ग|ी|	B:h|e:e|g|i|
प|ल|क|े|ं|	P:a|l|k|e|n|
ब|्:ल|ू|	b|l|u:e|
ड|ा|र|्:ट|	d|a|r|t|
ब|ो|ड|न|	B|o:w|d:e|n|
क|ॅ:थ|े|	C|a:t:h|y|
ब|े|ट|्:स|	B|e|t:t|s|
क:े|ट|ो|	C|a:t|o|
क:े|ल|ि|न|	C|a:l|i|n|
च|क|ो|र|ी|	C:h:a|k|o|r|i|
च|र|ख|ी|	C:h:a|r|k:h|i|
द|ा|द|र|ी|	D|a|d|r|i|
च|ौ:र|े|	C:h|a:u:r|e|
ब|ा|ज़|ा|र|	B|a|z|a|r|
क|च|े|र|ी|	K:a|c:h|e|r|i|
म|ं|स|ू|र|	M:a|n|s|o:o|r|
ड|ा|य:ल|	D|a|y:l:e|
द|े|ब|ू|	D|e|b|u|
च|ौ:ध|र|ी|	C:h:a|u:d:u|r|y|
फ:़|र|्:ट|	F|e:r|t|
द|े|ख|ा|	D|e|k:h|a|
ज|ा|ए|ग|ा|	j|a|y:e|g|a|
ड|े|व|न|	D|e|v|o:n|
ध|ो|ल|ा|	D:h|o|l|a|
म|ा|ज़|र|ा|	M|a|z|r|a|
ड|ो|ड|ी|	D|o|d|i|
फ:़:े|य|ड|	F:a|y:a|d|
फ|र|ा|र|	F:a|r|a|a:r|
क|़:ै|द:ी|	Q:u|a|i:d:i|
फ|ा|ं|ट|ा|	P:h|a|n|t|a|
ज:़|ख|्:म|	Z|a:k:h|m|
ब|ा|र|ू|द|	B|a|r|o:o|d|
ह|म|ी|श|	H:a|m|i|s:h|
ए|ं|थ|न|ी|	A|n|t:h|o:n|y|
प|न|्:न|ा|	p|a:n|n|a|
इ|म|ा|म|	I|m|a|m|
श|ा|म|ि|ल|	S:h|a|m|i|l|
आ:इ:र|न|	i:r|o:n|
क:्:र|ॉ:स|	c:r|o:s:s|
ज|ह|ा|न|	J:a|h|a|n|
ख|ा|त|ू|न|	K:h|a|t|o:o|n|
