ה|י:ט:פ|י|ל|ד|	H|e:t:f:i|e|l|d|
מ:י:ק|ל|	M:i:k:k:e|l|
ק:ר:י|ס|ט|א|נ|ב|א|ל|	C:h:r:i|s|t|a|n|v|a|l|
ר|ו|ז|א|	R|o|s|a|
ב|א|ב|א|ק|א|ן|	B|a|b|a|c|a|n|
ו|י|ז|י|ק|	V|i|z|e|k|
ק|י|ר|א|ן|	K|i|r|a|n|
ג:':נ|ר|	J:e:n:n|e:r|
ק|א|נ|ו|	K|a|n|u|
ג:'|ו|מ|ו|	J|o|m|o|
א|י|מ|א|ר|	A|i|m|a|r|
ה|י|ל|ד|י:ט:ש|	H|i|l|d|i:t:c:h|
ג|ו:ג:ל|	G|o:o:g:l:e|
ר|י|צ:':י|	R|i|t:c:h:i:e|
מ|א|נ:ה|	M|a|n:e:t|
פ|ו|מ|פ|י|ו|	P|o|m|p|e|u|
ס:י:ף|	S:e:i:f|
א|ק|י|ה|י|ט|ו|	A|k|i|h|i|t|o|
ב:י:י|ק|ר|	B:a|k|e:r|
ב:נ|ח:ס:י|	B:e:n|h:a:s:s:i|
א:ל:ח|מ|א|ד|י|	A:l:h:a|m|a|d|i|
מ|א|נ|י|ע|	M|a|n|e|a|
ס|פ|י|נ|א|	S|p|i|n|a|
ז:א:כ|א|ר|א:י|א|	Z:a:c:h|a|r|i|a:h|
ק|ל|א|ו|ד|י|א|	C|l|a|u|d|i|a|
י|ו|י:צ:'|י|	Y|u|i:c|h:i|
א|ל|ע:ש:י|	E|l|a:c:h:i|
ב|ו|נ|י:י:ר|	B|o|n|a:i:r:e|
ט|י|ר|ו|ל|	T|y|r|o|l|
ג:'|י|ו|ר|ג|ו|ס|	G|i|o|r|g|o|s|
ה:א:ר|י|ס|	H:a:r:r|i|s|
ב|י|נ:ה:א|ק|ר|	B|e|e:n:h:a:k|k|e:r|
ב|ו|ל|ט|מ:א:ן|	B|u|l|t|m:a:n:n|
מ|ו|נ|ט|ג|ו|מ:ר|י|	M|o|n|t|g|o|m:e:r|y|
ק|ל|י|ב|ר|	K|l:e|i|b|e:r|
ק:ל:א|י:ס|ט|ר|ז|	C:l:i:j|s|t|e:r|s|
ק|ו|ס|ט|י|נ|ה|א|	C|o|s|t|i|n|h|a|
א|פ|ר|ו|ן|	E|f|r|o|n|
ס:י:ל|י|	S:e:a:l|y|
ח|א|ג:'|י|ם|	H|a|j|i|m|
ש:ו|מ|פ|י|ט|ר|	S:c:h:u|m|p|e|t|e:r|
ק|י|נ|י:צ:'|י|	K|e|n|i:c|h:i|
ב|א|ס|י|ל|	B|a|s|i|l:e|
א|ס|ט|י|	A|s|t|i|
ב:א:ס|י|ל|א|	B:a:s:s|i|l|a|
ב|י|ל|ו|ז|ו|ג|ל|ו|	B|e|l|o|z|o|g|l|u|
א|ס|ט|י|	E|s|t|i|
מ|א|ל:ו|	M|a|l:o:t|
ד|י|מ|ב|א|	D|e|m|b|a|
ש:ר:י|ר|	S:h:a:r:i|r|
ס|ט|י|פ:נ:ס|ן|	S|t|e|p:h:e:n:s|o:n|
ג:'|ו|ל|י|ו|ן|	J|o|l|e|o|n|
מ:ו:ח|ט|א|ר|י|	M:o:k:h|t|a|r|i|
ס:ו:פ|י|א|	S:o:p:h|i|a|
ג:'|א|נ|י|ז|	J|a|n|e|z|
ל:י:ג|ר:ו:ט|א:ל|י|	L:e:g:r:o|t:t:a:g|l|i:e|
ס|א|ט|ו|ש|י|	S|a|t|o|s:h|i|
י:ו:נ|י|ס|ק|ו|	U:n|e|s|c|o|
ט|א|ק|י|ו|צ:'|י|	T|a|k|e|u|c|h:i|
ג|ר|י|נ|י|ט|	G|r|e|n|e|t|
מ|א|ט|ס:ו:ק|א|	M|a|t|s:u:o:k|a|
י:נ:א|י|	Y:a:n:a|i|
ר:י:ג|י|י|ר|ו|	R:e:g:u|e|i|r|o|
ט|י|ר|ו|ס|י|ן|	T|y|r|o|s|i|n:e|
ש|ו|ק|י|י|ר|י|	S:h|u|k|e|i|r|i|
ק|א|ז|י|מ|י|ר|	K|a|z|i|m|i|r|
ד:א|י:א:ן|	D|i:a:n:n:e|
צ|'|ו|ב|א|נ|י|ט:ש|	C|h|o|v|a|n|e|c|
ק:ק:י|	K:a:k:h:i|
צ:'|י|ב|ו|	C|h:i|v|u|
ט|ס|ו|י|ו|ש|י|	T|s|u|y|o|s:h|i|
א:ו:ס|ו|א|ל|ד|	O:s|w|a|l|d|
ו|ו|נ|ד|ר|	W|o|n|d|e:r|
ד|א|ר|ב|י|	D|a|r|b|y|
נ:ס:ט|ר|ו|ב|	N:e:s:t|e:r|o|v|
מ:ח:ל|	M:a:h:a:l|
ק|א|ל:ו|	K|a|l:o:u|
מ|א|ר|י|א|נ|ו|	M|a|r|i|a|n|o|
ו|א|ק|ס|מ|א|ן|	W|a|k|s|m|a|n|
מ|י|ר|ב|ו|	M|i|r|b|e:a:u|
ה:א:ל|י|	H:a:l:l:e|y|
ה|י|ר|ו|	H|i|r|o|
ר|י|ו|	R|i|o|
ב:ל:ק|א|ס|	B:e:l:q|a|s|
מ|ו|ר|ד|ו|ר|	M|o|r|d|o|r|
א|ו|ס|ט|ר|א|ל|י|א|	A|u|s|t|r|a|l|i|a|
א|ל|ח:נ:ן|	E|l|h:a:n:a:n|
ד:י:י|ל:י|	D:a|i:l:l:y|
ק:ט:ע|	K:a:t:a|
ל:ח:ד|	L:a:h:a:d|
נ|א|מ|ב|א|ר|י|ן|	N|a|m|b|a|r|y|n|
מ|ו|ס|י|מ|י:ט:ש|	M|u|s|e|m|i:c|
ו|ל|י|ק|ו|	V|e:l|i|k|o|
ג:'|א:ל:ו|	J|a:l:o:o|
א:י:מ|ל|י|י|	I:m|l|a|y|
ה:ר|נ:ד:ל|	H:u:r|n:d:a:l:l|
מ|ו|נ|ט|י|ר|ו|	M|o|n|t|e|r|o|
ר|י|ד|נ|י|ק|	R|e|d|n|i|c|
ק|ו|ל|	C|o|l:e|
ה|א|י|ן|	H|e|i|n:t:j:e|
ג:'|ו|ט:ש|י|	J|o|c|h:i|
ה|י|נ|ק|ל|	H|i|n|k:e|l|
פ:ו:ס|י|	F:a:u:c|i|
ב|ר|ו|נ|ו|	B|r|u|n|o|
ר|י|ו|ק|י:צ:'|י|	R|y|o|k|i:c|h:i|
ל|א|מ:נ:ס|	L|a|m:m:e:n:s|
א:נ:י|	A:n:n:i:e|
פ|ו|ר|מ|א|ן|	F|o|r:e|m|a|n|
פ|ר|י|ד|ה|	F|r|i|d|a|
ס|ט|י|ا:נ:ר|	S|t|e|i:n:e:r|
מ|ק|מ|א|ה|ו|ן|	M|c|m|a|h|o|n|
ל|ו|ד|ז|א|	L|u|d|z|a|
ס:ר:ד|י|נ|י|א|	S:a:r:d|i|n|i|a|
ג:'|ה|א|ן|	J|a:h|a|n|
ט|י|ל|מ|א|ן|	T|i|l:l|m|a|n|
ב:ס:ט|	B:e:s:t|
ה|י|ו|נ|ד|א|י|	H|y|u|n|d|a|i|
ב|י|ר|א|ק|	B|i|r|a|k|
ט|י|ר|א|ס|י|ל|	T|e|e:r|a|s|i|l|
נ|ד|א|ו|	N|d|a|o|
ט|ו|ג:'|ו|	T|o|j|o|
פ|נ:א:ק|	P|e:n:n:a:c|
מ|א|ס|א|ר|ו|	M|a|s|a|r|u|
ה|י|ר|ו|ה|י|ט|ו|	H|i|r|o|h|i|t|o|
ה|ו|ר|י|	H|o|r|i|
ת:מ|י|ם|	T:a:m|i|m|
ש|ל|י|	S:h|e:l:l:e|y|
מ|ק|ל|א:ק:ל|א|ן|	M|c|l|a:c:h:l|a|n|
ל:ו|י|ז|י|א|נ|א|	L:o:u|i|s|i|a|n|a|
ס|פ|י|נ:ס|	S|p|e|n:c:e|
ל:ו:י|	L:e:v:y|
ק|א|ר|א|ק|א|ס|	C|a|r|a|c|a|s|
ח:מ|ד|א|ן|	H:a:m|d|a|n|
ק|ו|ר|י|	C|o|r|i|
ס:מ:י|ר|	S:a:m:i|r|
ג|א|ר|ב|ו|	G|a|r|b|o|
ל|י|ל|י|	L|i|l|y|
נ|י|ק:ס|ו|ן|	N|i|x|o|n|
ו|א|ל|ד|י|ס|	V|a|l|d|i|s|
ד:י:י|נ:ס|	D:a|n:e:s|
ח:מ:י|ס|	K:h:a:m:i|s|
נ|א:נ:י|נ|ג|א|	N|a:n:n:i|n|g|a|
ק|ר|ו:ג:ר|	K|r|u:e:g:e:r|
ו|א|ל|ד|ז|	V|a|l|d:e|s|
ב|י|ר|נ:ו:ל|י|	B|e|r|n:o:u:l:l|i|
ס|מ:י:ח|	S|a:m:i:h|
נ|י|ק|ו:ל:ה|	N|i|c|o:l:e:t|
א|מ|י|ל|י|ו|	E|m|i|l|i|o|
ב:ג:ד|א|ד|	B:a:g:h:d|a|d|
א|ק|א|ק|י|	A|k|a|k|i|
ב|ו|ש|	B|o|s:c:h|
נ|י|ק|ו|ל|א|	N|i|c|o|l|a|
פ|ו|מ|י|ה|י|ק|ו|	F|u|m|i|h|i|k|o|
פ:ו:ר|ס|ק|א|ל|	F:o:r:s|s|k|a|l|
ג:':י|י:מ:ז|	J|a:m:e:s|
כ:ר:מ|י|	K:a:r:m|i|
י:א:ו|נ|ד|י|	Y:a:o:u|n|d|e|
נ:ח:ל|	N:a:h:a:l|
ר|א|מ|י|ן|	R|a|m|i|n|
י:א:כ|ו|ר|	Y:a:k:h:o|u|r|
ט|ר|ט|ו|ס|	T:a|r|t|u|s|
מ|א|נ|ט|ל|	M|a|n|t:e|l:l|
ס|ו|נ|ג|ו|ל|	S|o|n|g|u|l|
ב|א|נ|י|ל|	B|a|n|e|l|
ג|ו|י|ס|ד|ו|ן|	G|u|e|s|d|o|n|
ה:י:י|ס|ר|ר|	H:e:i:s|s|e:r|e:r|
ט:ו:מ|ו|ט|	T:o:m:m|o|t|
ו|י|ל:נ:ד|ר|	W|i|l:a:n:d|e:r|
ה|ר|ץ|	H|e:r|t:z|
פ|ו|ר|ו|ש|	P|o|r|u|s:h|
ש|א|ג|א|ר|י|	S:h|a|g|a|r|i|
מ:ו:ח|מ:ד:ו|	M:u:h:a|m:m:a:d:u|
ס:י:ל|	S:e:a:l:e|
א:ו|נ:ק|י|ן|	O|n:c:k|e|n|
מ|א|ט|י|א|ס|	M|a|t|i|a|s|
ב|ר|א|ד|ב:ר:י|	B|r|a|d|b:u:r:y|
א:ו:ק|א|פ|ו|ר|	O:k|a|f|o|r|
ק:א:י|י|ב:ו:ט|	C:a:i:l:l|e|b:o:t:t:e|
פ:כ:נ|ר|	F:e:c:h:n|e:r|
ח:מ|י|ט|	H:a:m|i|t|
ד:ה:ב|	D:a:h:a:b|
מ:ז:ר|ח|י|	M:i:z:r:a|h|i|
פ|י|ר|א|ס|	F|i|r|a|s|
נ|י|ל|ס:ן|	N|i|e:l|s:e:n|
ק:ו:ר|י|ג|א|ן|	C:o:r:r|i|g|a|n|
ר|ו|פ|ר|ט|	R|u|p|e:r|t|
ח:מ|י|ד|	H:a:m|i|d|
ב:א:י|י|ס|ט|א|	B:a:l:l|e|s|t|a|
ר:ו:ס|ו|	R:o:u:s:s|e:a:u|
ב|ו|נ|ס|א|י|	B|o|n|s|a|i|
ק|י:י:ן|	C|a:i:n:e|
ד|ג:'|ו|ק|ו|ב|י:ט:ש|	D|j|o|k|o|v|i:c|
ג|ו|ט|ה|י|ל|ף|	G|o|t:t|h|e|l|f|
מ|ו|ר|ט|א|ל|א|	M|u|r|t|a|l|a|
מ|א|ר|ק|ו|נ|י|	M|a|r|c|o|n|i|
נ:ב|ר|א|ס|ק|א|	N:e:b|r|a|s|k|a|
פ|י|ס|ק|א|ט|ו|ר|	P|i|s|c|a|t|o|r|
ד|י|ל|י:י|נ:י|	D|e|l|a|n:e:y|
ל:י:ן|	L:y:n:n:e|
ד|ו|מ|י|נ|י|ק|א|	D|o|m|i|n|i|c|a|
ק|ר|י:פ:ן|	C|r|i:p:p:e:n|
ס|א|ר|ק|ו|ז|י|	S|a|r|k|o|z|y|
ג|א|נ|י|א|	G|a|n|e|a|
ט|י|ר|נ:י|	T|i|e:r|n:e:y|
ב|ו|ג|א|נ|ד|א|	B|u|g|a|n|d|a|
ק|ו|נ|א|ק|ר|י|	C|o|n|a|k|r|y|
א:ש|ר|	A:s:h|e:r|
ג|ו:ל|ד|	G|o:u:l|d|
ב|א|ד|א|ל|ו|נ|א|	B|a|d|a|l|o|n|a|
ח:מ|י:ד:ו|	H:a:m|i:d:o:u|
ב|א:י|ק|י|	B|i|k:e|y|
ט|ח:י:ה|	T:a|h:e:y:y:a|
ב:ח:ר|	B:a:h:a:r|
מ|ר:י:ם|	M|e:r:i:e:m|
ט:א:י|ט|ו|ס|	T:i|t|u|s|
ק|א|ל|ק|ו|ט|א|	C|a|l|c|u|t:t|a|
ס|ו|ט|נ|ר|	S|u|t:t|n|e:r|
ג:'|ו:נ:ס|ט|ו|ן|	J|o:h:n:s|t|o|n|
ב:נ:י|מ|י|ן|	B:i:n:y:a|m|i|n|
ז:ט:ק|י|ן|	Z:e:t:k|i|n|
ס|א|י|א|ק|א|	S|a|y|a|k|a|
מ|א:ק:ג|י:נ:ס|	M|c:g:u:i:n|n:e:s:s|
ע:ק:ר|ו|ר|	A:k:r:o|u|r|
מ|א|ט|א|ד|י|	M|a|t|a|d|i|
מ|ל|	M|e:l|
ס|ק|ו|ל|י|	S|c|u|l:l|i|
ט:ל:פ|א|ח|	T:a:l:f|a|h|
ל|י|ל|י|א|ן|	L|i|l:l|i|a|n|
ק|א|נ|ס|ו|	Q|a|n|s|o|
ג:'|א|ק|ו|ב|	J|a|k|u|b|
ל:ו:פ|	L:u:p:e|
ה:א|י|ד|ר|ו|ג|ר|א|פ:י|ק|	H|y|d|r|o|g|r|a|p:h:i|c|
ב|א|ו|ה|א|ו|ס|	B|a|u|h|a|u|s|
ג:ו:ו|א|ר|א|	G:u:e:v|a|r|a|
ג|י|ט|ו|ל|י|ו|	G|e|t|u|l|i|o|
מ|ו|נ|ט|י|נ|י|ג|ר|ו|	M|o|n|t|e|n|e|g|r|o|
ד:ר:י|ד|א|	D:e:r:r:i|d|a|
ר|א|ב|ש|א|ן|	R|a|v|s:h|a|n|
ט|ו|ל|ס|ט|ו|י|	T|o|l|s|t|o|y|
ר|א|ד|י|ק|	R|a|d|e|k|
ל|ו|ק|ו|י|ל|	L|u|k|o|i|l|
ד|י|י|	D|a|y|
פ|ל|א|ס|י|ל|	P|l|a|s|i|l|
מ|א|ב|ר|ו|ס|	M|a|v|r|o|s|
ג|ר|ד|	G|e:r|d|
ב|י|ר|ק|ל|י|	B|e|r|k|l:e|y|
ל|א|מ|י|א|	L|a|m|i|a|
ב|י:נ:י|ס|ו|ן|	B|e:n:e:n|s|o|n|
ק:א:ר|א:ס:ו|	C:a:r:r|a:s:s:o|
ה|ו|ס:א:י|	H|o|u:s:s:a:y|
פ|ו|י|ר|ו|ס|	F|o|i|r|o|s|
ט|ו|ס|ק|א|נ|י|	T|u|s|c|a|n|y|
מ|י|ה|א|ל|י|	M|i|h|a|l|y|
ק|ו|ר|ב:ר|	C|o|r|v:e:r|
פ|י|ר|ו|ק:ס|י|ק|א|ם|	P|i|r|o|x|i|c|a|m|
נ|ו|ע|ם|	N|o|a|m|
ה|א|נ|ק|ו:ק|	H|a|n|c|o:c:k|
ק:א:מ|ל|	K:a:m:i|l|
ג:'|ח:ש|	J|a:h:s:h|
ה:ל:מ|ו|ט|	H:e:l:m|u|t|
א:ו:ר|ל|י:נ:ז|	O:r|l|e:a:n:s|
מ|א|ר|ס|י|א|נ|ו|	M|a|r|c|i|a|n|o|
פ:י:ל|י|פ|ס|	P:h:i:l:l|i|p|s|
פ:א:ו|	P:h:a:u|
ש|א|ט|י|ל|י|	S:h|a|t|i|l|i|
א|ב|ר:ה:ם|	A|v|r:a:h:a:m|
ג|ו|נ|ט|ר|	G|u|n|t|e:r|
ה:י:י|ד|ן|	H:a|d:e|n|
ג:'|ר|א|נ|י|מ|ו|	G|e:r|o|n|i|m|o|
א|ב|ר:ה:ם|	A|b|r:a:h:a:m|
ד:א:ו|ד|	D:a:w:o:o|d|
ו|י|ט|ו|ל|ד|	W|i|t|o|l|d|
פ|ו|ל|ר|	F|u|l:l|e:r|
ג:'|ו:ל:י|	J|u:l:i:e|
ק|י|ר|ש:נ:י|ר|	K|i|r|c:h:n:e|r|
פ:ה:ד|	F:a:h:a:d|
ג:':י|י:מ:י|	J|a:m:i:e|
ס:א:נ|א|	S:a:n:a|a|
ג|ר|י:י|ס|	G|r|a|c:e|
ק|ו|מ|ו|	C|o|m|o|
מ:נ|ש:ה|	M:e:n|a:s:h:e|
י|א|נ|ק|ו|ל|ו|ב|ס|ק|י|	J|a|n|k|u|l|o|v|s|k|i|
ה:י:ו|ב|ר|ט|	H:u|b|e:r|t|
ג:'|א|ו|א|ד|	J|a|w|a|d|
ק|א|ב|א|ז|א:ש:ב|ל|י|	K|a|v|a|z|a:s:h:v:i|l|i|
ק|ר|ו|ט|י|ק|ו|ב|	K|r|u|t|i|k|o|v|
ד:ו|א:י:ט|	D|w:i:g:h:t|
ס:ל:י|מ|א|ן|	S:u:l:a:y|m|a|n|
ק|א|נ|י|ט|ו|	K|a|n|e|t|o|
פ|ר|י|ז|	F|r|i|z|
מ|י:ט:ש|	M|i:t:c:h|
ג|ו|ס|ט:א:ב|	G|u|s|t:a:v:e|
ז|ק:א:ת|	Z|a:k:a:t|
ד|י|ב|י|נ|ד|ר|א|	D|e|v|e|n|d|r|a|
ס|ו|ל|י:י:מ|ן|	S|u|l|a:i:m:a|n|
א:ו|ד|נ|ס|י|	O|d:e|n|s|e|
פ|י|ל|	P|e|e:l|
ק|א|מ|ד|ן|	C|a|m|d:e|n|
ד|ז|ו|ד|ז|ו|א|ש|ב|י|ל|י|	D|z|o|d|z|u|a|s:h|v|i|l|i|
ו|א|ל|ק|	V|a|l|k:e|
פ|י|ר|ו:צ:י|	P|e|r|u:z:z:i|
ב|א|ש|י|	B|a|s:h|i|
ד|י|ו|נ|י|ס|י|ו|ס|	D|i|o|n|y|s|i|u|s|
ל|ו|פ|ו|ל|י|א|נ|ס|ק|י|	L|u|p|o|l|i|a|n|s|k|i|
א:ו:ס|ל|ו|	O:s|l|o|
ט|י|י:ל|ו|ר|	T:a|y|l|o|r|
ק|ו|ק|י|	K|o|k|i|
ש|י|פ|א:ר:ד|	S:h|e|p|h:e:r:d|
ב|ל|א|ז|י|י|	B|l|a|z|e|j|
ע|ב|א|ן|	A|b|a|n:e|
מ:י:א|ק|י|	M:i:y:a|k|e|
נ:א:מ|י|	N:a:m:i|e|
ב:ו|ר|ב|א|ק|י|	B:o:u|r|b|a|k|i|
ס|ט|י|פ|א|ן|	S|t|e|f|a|n|
ג:'|י|ה|א|י|	J|i|h|a|i|
א:י:ת|ן|	E:i:t:a|n|
ס:ב:א|ר|ו|	S:b:a:r|r|o|
מ|ק|ד|ו|ר|מ|א|נ|ד|	M|c|d|o|r|m|a|n|d|
ש:ו:ן|	S:e:a:n|
ה:א:פ|ל|	H:a:p:p:e|l|
פ:א|נ:י|ו|ל|	P|a:g:n|o|l|
ס|ו|ר|י|ן|	S|o|r|i|n|
ח|נ|א|ן|	H:a|n|a|n|
ק|ו|א|ר|י|ס|מ|א|	Q|u|a|r|e|s|m|a|
א:ש|ל|י|	A:s:h|l:e|y|
ג:'|י|ן|	J|e|a:n|
ק|ו|ל|ו|מ|ב|ו|ס|	C|o|l|u|m|b|u|s|
ל:י:ן|	L:e:a:n|
ז:י:ז|י|	Z:e:e:z:e|e|
ד:א:פ|י|	D:u:f:f|y|
י|ו|ש|י|מ|ו|ט|ו|	Y|o|s:h|i|m|o|t|o|
ו|י|נ|א|ל|ד|א|	W|y|n|a|l|d|a|
ב|ו|ד|א|ר|ט|	B|o|d|a|r|t|
ו|א|ס|י|ל|	V|a|s|y|l|
ג:'|א|ר|ד|ל|	J|a|r|d:e|l|
ו|י|ל|י|א|ם|	W|i|l:l|i|a|m|
ס|ו|צ:'|ו|פ|א|ר|י|ק|	S|u|c|h|o:p|a|r|e|k|
ע|ז|י|ז:ו|	A|z|i|z:o:u|
ק|א|ר|א:מ:נ|ל|י|ס|	K|a|r|a:m:a:n|l|i|s|
ז|ו|ר|י|ן|	Z|o|r|i|n|
פ|א|ר|י:ר:א|	P|a|r|r:e:i:r:a|
ק|ו|ק|א|	K|u|k|a|
ל|ו|ק|א|	L|u|k|a|
ג|י|ל|ס|נ|ק|י|ר|ש|ן|	G|e|l|s:e|n|k|i|r|c:h:e|n|
ב:ו|ו:א|	B|o:i:s|
נ|א|ת:א:נ|י|א|ל|	N|a|t:h:a:n|i|e|l|
ק|א|ו|ז|י|ו|	C|a|u|s|i|o|
מ|א|ק|ס|י|ם|	M|a|k|s|i|m|
ג|ר:א:ם|	G|r:a:e:m:e|
מ|י|ט|ש|ל|	M|i|t|c:h:e|l|
פ|י|ו|נ|ט|י|ק|	P|i|o|n|t|e|k|
ב:י:ל|י|	B:i:l:l:i|e|
ס|ו|י|ו|ז|	S|o|y|u|z|
ק|י:י|ט|	K|a|t:e|
מ|א|ט|י|	M|a|t|e|
ס|ל|ו|ב|ו|ד|א|ן|	S|l|o|b|o|d|a|n|
ס|י|ב:י:ל|	S|e|v:i:l:l:e|
נ|י|ה|א|ט|	N|i|h|a|t|
ד:ו:ס|ן|	D:a:w:s:o|n|
ק|א|ט|י|	C|a|t|e|
מ|ו|מ|ס|י|ל|ו|	M|o|m|c|i|l|o|
ק:י:ל|ד|	K:j:e:l|d|
ב|י|נ:ה|	B|i|n:e:t|
ק|א|ה:נ:מ|א|ן|	K|a|h:n:e:m|a|n|
ס|ט|א|נ|ק|ו|ב|י:ט:ש|	S|t|a|n|k|o|v|i:c|
י|ו|י:צ:'|י:ר:ו|	Y|o|i:c|h:i:r:o|
ק|ל|א|י|פ|י|ד|א|	K|l|a|i|p|e|d|a|
ב|א|ר|ב|י|ר|א|	B|a|r|b|e|r|a|
ט|א|ק|א|נ|ו|	T|a|k|a|n|o|
ט|ד|מ|ו|ר|	T:a|d|m|o|r|
ב|א|ר|ב:ר:א|	B|a|r|b:a:r:a|
ל|ו|א|נ|ד|א|	L|u|a|n|d|a|
ד|א|י|ק|י|	D|a|i|k|i|
ל:י:ב|	L:e:i:b|
ב:ק:ר|	B:a:k:a:r|
ט|ו|ר|י|ל|י|	T|o|r|e|l:l|i|
ע:מ:ק|	E:m:e:k|
ס|ט|א|ן|	S|t|a|n|
ס|א|מ|ב|ו|ר|א|	S|a|m|b|o|r|a|
ס|א|ל|א|נ|ד|ר|א|	S|a|l|a|n|d|r|a|
ח:מ|ו:ש|	H:a:m|o:u:c:h:e|
ז:ו:א|ג|י|	Z:o:u:a|g|i|
ז:ו:ס|	Z:u:s:e|
א:י|נ|ס|ו|ל|י|ן|	I|n|s|u|l|i|n|
ל|י|פ|י|ל|י|ר|	L|e|p|i|l:l|e|r|
מ|א|ר|י|ס|ק|א|	M|a|r|e|s|c|a|
ב|א|מ|י|ר|	B|a|m|i|r|
ט|ו|ג|א|ש|י|	T|o|g|a|s:h|i|
פ|א|ר|ו|	P|a|r|o|
ש|א|ו|ק|א|ט|	S:h|a|u|k|a|t|
ק|ר|ו|נ:נ|ב|ר|ג|	C|r|o|n:e:n|b|e:r|g|
ז|א:ק|	Z|a:c:k|
מ|י|נ|ט|א|ל|	M|e|n|t|a|l|
א:ו:ר|ו:י:ל|	O:r|w:e:l:l|
ב|א|ל|מ|ו|נ|ט|	B|a|l|m|o|n|t|
ד|ג:'|ב|ו|	D|j|v|u|
ק|ו|נ|ס|ט|א|נ|ט|י:נ:ו|	K|o|n|s|t|a|n|t|i:n:o:u|
פ|ו|ר|ט|מ|א|ן|	P|o|r|t|m|a|n|
ר|א:ג:ח|	R|a:g:e:h|
ג:ו:נ|ו|ה:י:ו|	G:o:n:n|o|h:y:o:e|
ע|א|מ|י|ר|	A|a|m|i|r|
ס:מ:ב|ו:ס:ק|	S:a:m:b|u:s:a:c|
ק:א:ו|נ:ט:י|	C|o:u:n:t:y|
א:י|ו|פ|א|ן|	I|o|f|a|n|
מ|א|ל|ק|ו|	M|a|l|k|o|
ג:ל:י|ן|	G:l:e:n|n|
מ|א|מ|ו|ר|ו|	M|a|m|o|r|u|
ע:ב:ד|א|ן|	A:b:a:d|a|n|
נ:י:י|ד|ר|	N:a|d|e:r|
א|ו|ג|ו|ס|ט|א|	A|u|g|u|s|t|a|
פ|ר|א|ט|י|	P|r|a|t|i|
מ|א|ל|י|י|ז|'|א|	M|a|l|a|y|s|i|a|
ג:א:ס|י|ד|	G:a:s:s|i|d|
ח:מ|ו:ד|	H:a:m|o:u:d|
מ|ו|נ|ט:י:ר|י|י|	M|o|n|t:e:r:r|e|y|
ו:י:י|נ|א|	V:i:e:n|n|a|
ס|ו|נ|ג|	S|o|n|g|
ט|ו|נ|ג|	T|o|n|g|
ו|ו|נ|ג|	W|o|n|g|
ה|ו|נ|ג|	H|o|n|g|
ל|ו|נ|ג|	L|o|n|g|
ג|ר|ט|י|	G|e:r|t|y|
י:ו:ס|י|	Y:o:s:s|i|
מ:ח:מ|ו|ד|י|	M:a:h:m|u|d|i|
ג:מ:י|ל|	G:a:m:i|l|
ה|א:ג:ן|	H|a:g:e:n|
ב|ל|א|ט|ר|	B|l|a|t:t|e:r|
ב|י|ח|א|ר|	B|i|h|a|r|
פ:י|ז:י:י|	P|e:z:z:e:y|
א:פ:ג|א|נ|י|	A:f:g:h|a|n|i|
מ|א|ר|ש|א|ל|	M|a|r|s:h|a|l:l|
ס:מ:א|ח:ה|	S|a:m:a:h:a|
א|נ|ד|ר|ס:ן|	A|n|d|r:e|s:e:n|
מ|ו|ר|א|ד|י|	M|o|r|a|d|i|
ל|י|נ|ז|	L|i|n|z|
ו:ל:י|ד|	W:a:l:e:e|d|
ר:ו:ת|ש|י|ל|ד|	R:o:t:h|s:c:h|i|l|d|
נ|י|י|ר|א|	N|e|i|r|a|
ר|ו|ב|י|נ|ס|ט|י|ן|	R|u|b|i|n|s|t:e|i|n|
ב|א|ס|ט|ן|	B|a|s|t:e|n|
מ:ק:א|ן|	M:c:c:a:n|n|
מ|א|ר|מ|א|ד|ו|ק|	M|a|r|m|a|d|u|k:e|
ר|י|נ|ז|ו|	R|e|n|z|o|
ג|א|ב|ר|א|ס|	G|a|v|r|a|s|
ט|י|מ|ב:ק:ט|ו|	T|i|m|b:u:k:t|u|
ר:א:ב|ו|ס|י|ס|	R:a:v:o|u|s|i|s|
ג|א|ר:ד:ר|	G|a|a:r:d:e:r|
מ|ו|ר|י|א|ל|	M|u|r|i|e|l|
א:ו:ל|ס:ן|	O:l|s:s:o:n|
ס|א|ב|א|	S|a|b|a|
מ|ו|נ|ט:י:ס|ו|ר|י|	M|o|n|t:e:s:s|o|r|i|
ד:י:ק|ו|ב|	D:i:c:k|o|v|
ל|ו|ל|א|	L|o|l|a|
נ|ו|ר|ד|י|ס|ק|	N|o|r|d|i|s|k|
ג:'|מ:א:ל|	C|e:m:a:l|
י|ו|ט|י|ר|פ|י|	E|u|t|e|r|p|e|
פ|י|ס|ט|ו|נ|י|	P|i|s|t|o|n|e|
ר|ו|נ|י|	R|o|n|i|
ג:'|ו:נ:י|	J|o:h:n:n:y|
ט|ו|נ|י|	T|o|n|i|
ג|ל|ן|	G|l:e|n|
ג|ו|ל|ד|	G|o|l|d|
ו|ו|ל|	W|o|l:e|
ה|א:ת:א|י|ר|א|ט|א|נ|א|ק:ו:ל|	H|a:t:h:a|i|r|a|t:t|a|n|a|k:o:o:l|
ע:ו:ד|א|י|	O:d|a|y|
ז|י|נ|ג|ן|	Z|e|n|g|i:n|
